business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-12-20,SHLB,906.0,996.6,906.0,996.6,170.0,163662.8
2022-12-21,SHLB,978.3,1096.2,978.3,1096.2,130.0,137509.9
2022-12-22,SHLB,1075.0,1205.8,1075.0,1205.8,220.0,260500.5
2022-12-26,SHLB,1205.8,1326.3,1205.8,1326.3,130.0,168153.5
2022-12-27,SHLB,1352.8,1458.9,1352.8,1458.9,150.0,216232.0
2022-12-28,SHLB,1488.0,1604.7,1488.0,1604.7,170.0,269937.0
2022-12-29,SHLB,1604.6,1765.1,1604.6,1765.1,250.0,436517.0
2023-01-01,SHLB,1800.0,1941.6,1800.0,1941.6,350.0,676084.0
2023-01-02,SHLB,1980.4,2135.7,1980.4,2135.7,3500.0,7471146.0
2023-01-03,SHLB,2178.4,2349.2,2075.0,2203.0,19859.0,43365012.6
2023-01-04,SHLB,2203.0,2215.0,2150.0,2215.0,12332.0,26763013.0
2023-01-05,SHLB,2215.0,2436.5,2215.0,2436.5,5240.0,12260149.0
2023-01-08,SHLB,2485.2,2485.2,2332.0,2336.5,11098.0,26441196.0
2023-01-09,SHLB,2292.2,2355.0,2292.2,2312.0,11957.0,27792911.0
2023-01-10,SHLB,2281.0,2356.0,2210.0,2244.0,7907.0,18017095.0
2023-01-12,SHLB,2280.0,2302.0,2231.0,2289.0,7738.0,17532512.2
2023-01-17,SHLB,2329.9,2329.9,2257.0,2265.0,6847.0,15613871.2
2023-01-18,SHLB,2265.0,2345.0,2252.0,2298.0,5249.0,12140742.5
2023-01-19,SHLB,2255.0,2299.0,2255.0,2270.0,4575.0,10376397.0
2023-01-23,SHLB,2270.0,2366.0,2250.0,2320.1,7755.0,18091506.0
2023-01-24,SHLB,2281.0,2350.0,2281.0,2340.0,2975.0,6886153.0
2023-01-25,SHLB,2321.2,2420.0,2321.2,2405.0,5299.0,12679239.0
2023-01-26,SHLB,2400.0,2414.0,2365.0,2365.0,2446.0,5852304.5
2023-01-29,SHLB,2355.0,2404.0,2353.5,2359.0,3435.0,8166067.5
2023-01-30,SHLB,2400.0,2400.0,2278.1,2310.0,5100.0,11782066.0
2023-01-31,SHLB,2264.0,2309.0,2263.0,2300.0,2520.0,5731641.5
2023-02-01,SHLB,2260.1,2300.0,2260.0,2267.0,1475.0,3350527.5
2023-02-02,SHLB,2267.0,2289.9,2220.0,2222.0,3473.0,7805912.5
2023-02-05,SHLB,2222.0,2266.0,2220.0,2221.0,2850.0,6374105.6
2023-02-06,SHLB,2201.1,2240.0,2200.5,2240.0,1711.0,3794406.0
2023-02-07,SHLB,2225.2,2310.0,2225.2,2299.9,1858.0,4231172.0
2023-02-08,SHLB,2318.9,2330.0,2254.0,2269.0,1804.0,4112763.0
2023-02-09,SHLB,2270.0,2280.0,2235.1,2265.0,1285.0,2890962.7
2023-02-12,SHLB,2221.0,2244.0,2141.0,2200.0,2640.0,5824218.0
2023-02-14,SHLB,2165.0,2190.0,2157.3,2172.0,1595.0,3468158.0
2023-02-15,SHLB,2172.0,2190.0,2130.0,2130.0,2028.0,4365471.5
2023-02-16,SHLB,2100.1,2110.0,2055.0,2090.0,2479.0,5146728.0
2023-02-20,SHLB,2051.0,2072.0,2015.5,2040.0,1336.0,2717505.0
2023-02-22,SHLB,2020.0,2020.0,1917.0,1920.0,3258.0,6403828.6
2023-02-23,SHLB,1882.0,1882.0,1728.0,1728.0,6906.0,12002636.0
2023-02-26,SHLB,1693.5,1769.0,1555.2,1701.0,4663.0,7572111.0
2023-02-27,SHLB,1735.0,1735.0,1620.1,1679.0,1544.0,2572284.0
2023-02-28,SHLB,1651.0,1708.0,1650.0,1675.0,1442.0,2414455.1
2023-03-01,SHLB,1653.0,1705.5,1601.0,1608.1,2862.0,4659563.1
2023-03-02,SHLB,1600.0,1600.0,1560.1,1569.0,1924.0,3033282.0
2023-03-05,SHLB,1537.7,1610.0,1508.0,1510.0,1097.0,1674702.6
2023-03-07,SHLB,1510.0,1538.0,1452.4,1474.9,1315.0,1956137.0
2023-03-09,SHLB,1474.9,1533.0,1474.9,1515.0,900.0,1357810.0
2023-03-12,SHLB,1530.0,1540.0,1485.0,1525.0,1130.0,1702694.0
2023-03-13,SHLB,1505.0,1524.0,1465.0,1519.0,663.0,991290.3
2023-03-14,SHLB,1490.0,1515.0,1490.0,1495.0,490.0,733230.0
2023-03-15,SHLB,1470.2,1477.0,1470.0,1471.0,483.0,710657.0
2023-03-16,SHLB,1475.0,1500.0,1420.0,1500.0,1154.0,1679835.0
2023-03-19,SHLB,1470.0,1470.0,1350.0,1390.0,8230.0,11148561.0
2023-03-20,SHLB,1390.0,1409.0,1375.5,1380.0,548.0,762357.0
2023-03-22,SHLB,1380.0,1405.0,1315.1,1376.0,1797.0,2433032.5
2023-03-23,SHLB,1348.5,1375.0,1250.0,1282.0,2006.0,2612993.5
2023-03-26,SHLB,1256.4,1256.4,1190.0,1190.0,2878.0,3477962.7
2023-03-27,SHLB,1167.0,1194.0,1102.0,1194.0,2014.0,2263591.9
2023-03-28,SHLB,1180.0,1313.3,1126.2,1313.3,1856.0,2301544.6
2023-03-29,SHLB,1290.0,1290.0,1241.0,1270.0,757.0,953097.6
2023-03-30,SHLB,1265.0,1265.0,1221.1,1230.0,1091.0,1343826.0
2023-04-02,SHLB,1230.0,1275.0,1207.0,1228.0,780.0,971869.0
