business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-01,SIFC,0.0,194.0,191.0,191.0,105.0,20190.0
2012-01-02,SIFC,0.0,188.0,182.0,182.0,130.0,24050.0
2012-01-03,SIFC,0.0,179.0,173.0,173.0,239.0,41794.0
2012-01-04,SIFC,0.0,173.0,173.0,173.0,293.0,50689.0
2012-01-05,SIFC,0.0,176.0,176.0,176.0,57.0,10032.0
2012-01-08,SIFC,0.0,179.0,179.0,179.0,44.0,7876.0
2012-01-09,SIFC,0.0,176.0,167.0,170.0,491.0,83506.0
2012-01-11,SIFC,0.0,167.0,167.0,167.0,60.0,10020.0
2012-01-12,SIFC,0.0,170.0,170.0,170.0,200.0,34000.0
2012-01-16,SIFC,0.0,170.0,170.0,170.0,186.0,31620.0
2012-01-17,SIFC,0.0,170.0,170.0,170.0,403.0,68510.0
2012-01-23,SIFC,0.0,170.0,170.0,170.0,39.0,6630.0
2012-01-25,SIFC,0.0,170.0,170.0,170.0,140.0,23800.0
2012-01-26,SIFC,0.0,170.0,167.0,170.0,125.0,21148.0
2012-01-31,SIFC,0.0,171.0,170.0,170.0,71.0,12101.0
2012-02-01,SIFC,0.0,170.0,167.0,170.0,149.0,24913.0
2012-02-13,SIFC,0.0,170.0,170.0,170.0,34.0,5780.0
2012-02-14,SIFC,0.0,171.0,167.0,167.0,847.0,142620.0
2012-02-15,SIFC,0.0,168.0,168.0,168.0,160.0,26880.0
2012-02-23,SIFC,0.0,165.0,165.0,165.0,17.0,2805.0
2012-02-26,SIFC,0.0,162.0,162.0,162.0,70.0,11340.0
2012-02-27,SIFC,0.0,168.0,165.0,168.0,120.0,19920.0
2012-03-04,SIFC,0.0,168.0,165.0,165.0,342.0,56991.0
2012-03-12,SIFC,0.0,168.0,168.0,168.0,413.0,69384.0
2012-03-13,SIFC,0.0,170.0,170.0,170.0,400.0,68000.0
2012-03-14,SIFC,0.0,170.0,170.0,170.0,27.0,4590.0
2012-03-18,SIFC,170.0,168.0,168.0,168.0,80.0,13440.0
2012-03-19,SIFC,0.0,169.0,167.0,167.0,161.0,26941.0
2012-03-20,SIFC,0.0,168.0,167.0,168.0,180.0,30160.0
2012-03-21,SIFC,0.0,168.0,165.0,165.0,418.0,70044.0
2012-03-25,SIFC,0.0,171.0,168.0,171.0,290.0,49020.0
2012-03-27,SIFC,0.0,168.0,168.0,168.0,63.0,10584.0
2012-03-28,SIFC,0.0,168.0,166.0,168.0,536.0,90018.0
2012-04-01,SIFC,0.0,170.0,170.0,170.0,200.0,34000.0
2012-04-02,SIFC,0.0,168.0,165.0,168.0,300.0,50301.0
2012-04-03,SIFC,0.0,168.0,168.0,168.0,120.0,20160.0
2012-04-04,SIFC,0.0,169.0,168.0,168.0,754.0,126992.0
2012-04-10,SIFC,0.0,168.0,168.0,168.0,40.0,6720.0
2012-04-19,SIFC,0.0,171.0,171.0,171.0,1132.0,193572.0
2012-04-24,SIFC,0.0,174.0,174.0,174.0,1735.0,301890.0
2012-04-26,SIFC,0.0,183.0,177.0,183.0,1988.0,363714.0
