business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-01-02,SIL,0.0,104.0,104.0,104.0,40.0,4160.0
2012-01-09,SIL,0.0,106.0,106.0,106.0,20.0,2120.0
2012-01-12,SIL,0.0,107.0,107.0,107.0,10.0,1070.0
2012-01-16,SIL,0.0,105.0,105.0,105.0,10.0,1050.0
2012-01-17,SIL,0.0,106.0,101.0,101.0,1080.0,112720.0
2012-01-18,SIL,0.0,101.0,101.0,101.0,270.0,27270.0
2012-01-26,SIL,0.0,103.0,103.0,103.0,50.0,5150.0
2012-01-31,SIL,0.0,108.0,105.0,108.0,1000.0,105110.0
2012-02-01,SIL,0.0,111.0,110.0,110.0,2000.0,220100.0
2012-02-02,SIL,0.0,112.0,108.0,108.0,550.0,61240.0
2012-02-06,SIL,0.0,108.0,106.0,106.0,180.0,19120.0
2012-02-07,SIL,0.0,106.0,104.0,104.0,460.0,48290.0
2012-02-08,SIL,0.0,104.0,104.0,104.0,140.0,14560.0
2012-02-09,SIL,0.0,104.0,104.0,104.0,250.0,26000.0
2012-02-12,SIL,0.0,106.0,104.0,104.0,40.0,4200.0
2012-02-13,SIL,0.0,103.0,103.0,103.0,150.0,15450.0
2012-02-14,SIL,0.0,104.0,102.0,102.0,470.0,48280.0
2012-02-15,SIL,0.0,102.0,100.0,100.0,340.0,34600.0
2012-02-16,SIL,0.0,101.0,100.0,101.0,610.0,61180.0
2012-02-23,SIL,0.0,99.0,99.0,99.0,440.0,43560.0
2012-02-29,SIL,0.0,106.0,100.0,106.0,80.0,8240.0
2012-03-01,SIL,0.0,104.0,100.0,101.0,210.0,21320.0
2012-03-04,SIL,0.0,100.0,98.0,100.0,300.0,29760.0
2012-03-11,SIL,0.0,100.0,99.0,99.0,60.0,5970.0
2012-03-13,SIL,0.0,100.0,100.0,100.0,150.0,15000.0
2012-03-14,SIL,0.0,104.0,102.0,104.0,50.0,5120.0
2012-03-18,SIL,104.0,102.0,102.0,102.0,60.0,6120.0
