business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2013-09-08,SINDU,0.0,140.0,140.0,140.0,1000.0,140000.0
2013-09-10,SINDU,0.0,138.0,136.0,136.0,250.0,34200.0
2013-09-17,SINDU,0.0,134.0,132.0,132.0,710.0,94020.0
2013-09-19,SINDU,0.0,130.0,130.0,130.0,2500.0,325000.0
2013-09-30,SINDU,0.0,128.0,124.0,124.0,950.0,119200.0
2013-10-01,SINDU,0.0,122.0,118.0,118.0,750.0,89900.0
2013-10-03,SINDU,0.0,116.0,112.0,112.0,1000.0,113200.0
2013-10-17,SINDU,0.0,110.0,110.0,110.0,2070.0,227700.0
2013-12-12,SINDU,0.0,108.0,106.0,106.0,400.0,42800.0
2013-12-18,SINDU,0.0,104.0,104.0,104.0,440.0,45760.0
2013-12-26,SINDU,0.0,106.0,106.0,106.0,500.0,53000.0
2013-12-29,SINDU,0.0,108.0,108.0,108.0,260.0,28080.0
2014-01-02,SINDU,0.0,106.0,106.0,106.0,1800.0,190800.0
2014-01-12,SINDU,0.0,110.0,108.0,110.0,600.0,65400.0
2014-01-13,SINDU,0.0,112.0,108.0,108.0,4700.0,509400.0
2014-01-16,SINDU,0.0,108.0,108.0,108.0,210.0,22680.0
2014-01-22,SINDU,0.0,108.0,108.0,108.0,200.0,21600.0
2014-01-23,SINDU,0.0,110.0,110.0,110.0,100.0,11000.0
2014-01-26,SINDU,0.0,108.0,106.0,106.0,2550.0,271300.0
2014-02-03,SINDU,0.0,108.0,108.0,108.0,200.0,21600.0
2014-02-05,SINDU,0.0,118.0,110.0,118.0,300.0,34400.0
2014-02-06,SINDU,0.0,126.0,120.0,126.0,970.0,117980.0
2014-02-09,SINDU,0.0,124.0,124.0,124.0,1160.0,143840.0
2014-02-18,SINDU,0.0,126.0,126.0,126.0,490.0,61740.0
2014-02-20,SINDU,0.0,124.0,124.0,124.0,350.0,43400.0
2014-02-23,SINDU,0.0,124.0,124.0,124.0,1000.0,124000.0
2014-02-24,SINDU,0.0,130.0,126.0,130.0,2480.0,314000.0
2014-02-25,SINDU,0.0,134.0,132.0,132.0,2500.0,330800.0
2014-02-26,SINDU,0.0,130.0,128.0,130.0,1400.0,180000.0
2014-03-05,SINDU,0.0,136.0,132.0,136.0,1330.0,177880.0
2014-03-06,SINDU,0.0,136.0,136.0,136.0,1000.0,136000.0
2014-03-09,SINDU,0.0,140.0,134.0,140.0,2580.0,352200.0
2014-03-10,SINDU,0.0,148.0,142.0,148.0,2620.0,382740.0
2014-03-11,SINDU,0.0,159.0,150.0,159.0,1800.0,274800.0
2014-03-12,SINDU,0.0,163.0,159.0,159.0,720.0,116450.0
2014-03-13,SINDU,0.0,158.0,158.0,158.0,1000.0,158000.0
2014-03-17,SINDU,0.0,161.0,157.0,157.0,2380.0,380340.0
2014-03-19,SINDU,0.0,154.0,151.0,151.0,750.0,114570.0
2014-03-20,SINDU,0.0,148.0,140.0,140.0,3820.0,547640.0
2014-03-24,SINDU,0.0,138.0,136.0,136.0,810.0,111160.0
2014-03-25,SINDU,0.0,136.0,134.0,136.0,610.0,81960.0
2014-03-31,SINDU,0.0,134.0,134.0,134.0,310.0,41540.0
2014-04-01,SINDU,0.0,132.0,130.0,130.0,3910.0,510780.0
2014-04-03,SINDU,0.0,128.0,128.0,128.0,500.0,64000.0
2014-04-09,SINDU,0.0,126.0,122.0,122.0,930.0,116200.0
2014-04-13,SINDU,0.0,124.0,124.0,124.0,70.0,8680.0
2014-04-15,SINDU,0.0,126.0,126.0,126.0,250.0,31500.0
2014-04-16,SINDU,0.0,130.0,128.0,130.0,700.0,90600.0
2014-04-17,SINDU,0.0,128.0,124.0,124.0,900.0,113550.0
2014-04-21,SINDU,0.0,122.0,122.0,122.0,1050.0,128100.0
2014-04-23,SINDU,0.0,124.0,124.0,124.0,1200.0,148800.0
2014-04-28,SINDU,0.0,126.0,126.0,126.0,1000.0,126000.0
2014-05-05,SINDU,0.0,128.0,126.0,128.0,1110.0,141860.0
2014-05-08,SINDU,0.0,126.0,126.0,126.0,210.0,26460.0
2014-05-18,SINDU,0.0,128.0,128.0,128.0,350.0,44800.0
2014-05-19,SINDU,0.0,126.0,126.0,126.0,200.0,25200.0
2014-05-22,SINDU,0.0,128.0,128.0,128.0,750.0,96000.0
