business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-03-27,SMH,391.0,430.1,391.0,430.1,1220.0,521679.5
2023-03-28,SMH,438.7,473.1,438.7,473.1,1120.0,529026.0
2023-03-29,SMH,480.0,520.4,480.0,520.4,2500.0,1299954.0
2023-03-30,SMH,530.8,572.4,530.8,572.4,5950.0,3403512.0
2023-04-02,SMH,572.4,629.6,579.0,585.0,37769.0,23284501.0
2023-04-03,SMH,575.0,576.0,550.2,560.1,26213.0,14664131.2
2023-04-04,SMH,549.0,611.0,548.9,577.0,8930.0,5087702.0
2023-04-05,SMH,572.0,601.5,570.0,598.9,8391.0,4956748.8
2023-04-06,SMH,590.1,599.0,583.0,586.9,5259.0,3096594.0
2023-04-09,SMH,578.0,580.0,560.0,560.0,11750.0,6703907.0
2023-04-10,SMH,560.0,577.0,560.0,570.0,3660.0,2077840.0
2023-04-11,SMH,560.2,580.0,560.2,579.9,2983.0,1708036.0
2023-04-12,SMH,570.1,599.0,570.1,588.0,4623.0,2721195.0
2023-04-13,SMH,588.0,588.5,570.1,570.1,5773.0,3351953.3
2023-04-16,SMH,570.1,587.5,569.9,574.0,5025.0,2883801.5
2023-04-17,SMH,563.1,580.0,563.1,575.0,8530.0,4897826.0
2023-04-18,SMH,585.0,586.5,560.0,569.8,6700.0,3780847.0
2023-04-20,SMH,552.1,571.0,552.1,569.9,8395.0,4718324.9
2023-04-23,SMH,559.1,568.9,550.1,568.9,7820.0,4354383.0
2023-04-24,SMH,557.6,566.0,550.2,560.1,2552.0,1422976.2
2023-04-25,SMH,552.0,569.8,542.3,569.8,4498.0,2480087.8
2023-04-26,SMH,578.5,578.5,555.0,560.1,6570.0,3701788.0
2023-04-27,SMH,549.2,563.0,549.2,563.0,2935.0,1636027.0
2023-04-30,SMH,555.0,558.0,545.2,545.2,3883.0,2133924.1
2023-05-02,SMH,540.1,548.3,540.1,548.3,810.0,441643.0
2023-05-03,SMH,538.0,545.0,538.0,538.4,670.0,361421.0
2023-05-04,SMH,528.1,549.0,528.1,549.0,1195.0,642776.0
2023-05-07,SMH,538.1,550.0,510.0,550.0,2250.0,1188207.0
2023-05-08,SMH,539.0,539.5,520.0,539.5,1560.0,821616.0
2023-05-09,SMH,545.0,545.0,530.0,533.3,1620.0,866484.0
2023-05-10,SMH,532.0,550.0,527.0,550.0,4170.0,2250743.0
2023-05-11,SMH,539.0,554.0,530.2,554.0,3180.0,1743926.0
2023-05-14,SMH,554.0,559.8,536.0,545.0,6839.0,3714603.0
2023-05-15,SMH,535.0,540.6,527.1,540.6,910.0,487389.0
2023-05-16,SMH,532.0,540.0,530.0,540.0,1030.0,550319.0
2023-05-17,SMH,535.0,548.0,535.0,548.0,5148.0,2782146.0
2023-05-18,SMH,537.1,554.9,537.1,552.0,2710.0,1479033.0
2023-05-21,SMH,542.0,560.0,541.0,550.0,5816.0,3182639.0
2023-05-22,SMH,541.0,547.0,538.1,543.3,1250.0,680872.0
2023-05-23,SMH,540.1,561.2,540.1,558.1,4290.0,2374431.0
2023-05-24,SMH,547.0,564.8,547.0,557.0,2520.0,1394123.0
2023-05-28,SMH,550.0,558.9,547.3,552.0,3481.0,1921125.3
2023-05-30,SMH,542.0,550.0,528.0,529.0,5280.0,2843099.0
2023-05-31,SMH,529.0,530.0,495.4,510.0,5126.0,2633778.0
2023-06-01,SMH,501.2,514.8,500.0,511.0,3598.0,1826366.5
2023-06-04,SMH,521.2,530.0,511.0,529.5,3305.0,1731137.5
2023-06-05,SMH,530.0,530.0,510.3,519.9,3968.0,2060582.6
2023-06-06,SMH,511.0,529.3,511.0,529.3,3585.0,1849433.0
2023-06-07,SMH,534.9,540.0,523.1,527.1,7176.0,3827760.5
2023-06-08,SMH,530.2,550.0,530.0,549.0,5379.0,2908535.0
2023-06-11,SMH,538.1,566.0,538.1,566.0,5797.0,3246545.0
2023-06-12,SMH,577.0,577.0,545.0,558.0,5035.0,2773800.5
2023-06-13,SMH,546.9,574.0,546.9,565.9,4985.0,2810774.1
2023-06-14,SMH,577.0,577.0,555.0,568.0,6380.0,3627220.0
2023-06-15,SMH,579.0,579.0,553.6,560.1,4776.0,2668447.6
2023-06-18,SMH,569.0,574.0,555.7,568.0,1650.0,931232.0
2023-06-19,SMH,579.3,579.3,559.0,565.0,3537.0,1984807.0
2023-06-20,SMH,553.9,601.0,553.9,567.1,8620.0,4917946.0
2023-06-21,SMH,567.1,575.0,555.0,557.0,5015.0,2832672.5
2023-06-22,SMH,550.1,570.0,550.1,568.0,1620.0,904634.0
2023-06-25,SMH,556.8,568.0,552.1,568.0,3624.0,2022870.0
2023-06-26,SMH,579.0,579.0,552.1,562.0,2990.0,1672751.0
2023-06-27,SMH,555.0,572.0,555.0,560.0,5461.0,3068225.0
2023-06-28,SMH,555.0,559.9,550.0,556.0,4356.0,2414333.0
2023-07-02,SMH,545.1,566.0,545.1,558.9,7455.0,4115901.9
2023-07-03,SMH,547.9,552.0,540.0,550.9,2929.0,1593612.0
2023-07-04,SMH,541.0,553.0,541.0,553.0,3507.0,1923021.3
2023-07-05,SMH,542.0,546.8,535.6,546.8,2920.0,1580043.0
2023-07-06,SMH,536.0,541.0,515.6,541.0,2667.0,1401792.0
2023-07-09,SMH,530.2,550.8,520.1,550.8,1905.0,1018656.0
2023-07-10,SMH,540.0,558.5,530.1,530.8,760.0,412914.0
2023-07-11,SMH,530.0,541.4,520.1,530.0,2930.0,1536862.0
2023-07-12,SMH,520.5,560.0,520.5,549.0,4064.0,2169061.6
2023-07-13,SMH,550.0,561.0,540.0,549.0,5883.0,3237594.5
2023-07-16,SMH,545.0,564.8,540.0,564.8,4768.0,2632309.8
2023-07-17,SMH,554.0,570.0,550.0,570.0,1545.0,867739.0
2023-07-18,SMH,579.5,579.5,562.0,577.0,2785.0,1590751.0
2023-07-19,SMH,576.0,605.0,570.9,590.0,4667.0,2733910.9
2023-07-20,SMH,599.9,599.9,582.0,585.2,1930.0,1132988.5
2023-07-23,SMH,578.0,596.0,578.0,595.0,2030.0,1200316.0
2023-07-24,SMH,584.0,600.0,580.5,584.0,1251.0,737077.0
2023-07-25,SMH,574.0,594.0,574.0,582.0,1897.0,1103417.0
2023-07-26,SMH,582.0,589.0,571.2,582.9,3071.0,1786331.7
2023-07-27,SMH,571.7,599.0,570.0,599.0,25007.0,14523744.8
2023-07-30,SMH,599.0,631.0,599.0,617.3,13966.0,8668888.0
2023-07-31,SMH,629.5,649.0,609.0,614.0,17877.0,10970628.0
2023-08-01,SMH,625.0,625.0,602.0,602.0,5055.0,3065009.0
2023-08-02,SMH,602.0,605.0,593.0,599.9,2270.0,1359493.0
2023-08-03,SMH,590.3,629.0,590.3,629.0,10386.0,6395247.0
2023-08-06,SMH,629.0,629.0,593.9,594.0,4005.0,2432054.0
2023-08-07,SMH,587.1,612.0,587.1,612.0,6179.0,3713014.8
2023-08-08,SMH,612.0,624.0,590.3,600.0,6813.0,4084340.6
2023-08-09,SMH,588.0,619.9,580.3,614.9,4443.0,2648280.0
2023-08-10,SMH,612.0,622.0,596.1,608.2,4083.0,2510133.5
2023-08-13,SMH,620.3,620.3,598.5,615.0,2900.0,1769389.0
2023-08-14,SMH,627.0,627.0,600.0,600.0,3550.0,2159572.0
2023-08-15,SMH,612.0,612.0,588.1,597.8,1425.0,842322.0
2023-08-16,SMH,609.0,609.0,579.0,607.0,4675.0,2758703.0
2023-08-17,SMH,594.9,595.0,583.2,583.3,3597.0,2115419.1
2023-08-20,SMH,578.0,604.8,578.0,590.0,2173.0,1267496.8
2023-08-21,SMH,579.0,590.0,570.1,588.7,2555.0,1484516.9
2023-08-22,SMH,588.7,595.0,580.0,595.0,1050.0,615094.0
2023-08-23,SMH,585.0,609.0,585.0,608.0,1902.0,1134749.4
2023-08-24,SMH,608.0,608.0,578.0,585.0,1479.0,879856.0
2023-08-27,SMH,573.3,575.0,560.0,575.0,3695.0,2100287.0
2023-08-28,SMH,565.6,577.0,555.0,571.0,2170.0,1220393.0
2023-08-29,SMH,560.0,570.0,549.1,570.0,982.0,545804.0
2023-08-30,SMH,560.1,571.3,560.1,570.0,440.0,249251.0
2023-09-03,SMH,559.0,559.0,540.0,551.9,480.0,262392.0
2023-09-04,SMH,562.0,565.0,541.2,565.0,532.0,292379.6
2023-09-05,SMH,553.7,560.0,542.7,560.0,410.0,224841.0
2023-09-07,SMH,548.8,557.0,535.5,545.0,1530.0,834522.0
2023-09-10,SMH,536.0,547.8,535.5,547.8,460.0,248233.0
2023-09-11,SMH,540.0,595.0,540.0,563.0,2745.0,1560485.0
2023-09-12,SMH,574.0,584.0,551.9,570.0,580.0,326178.0
2023-09-13,SMH,581.0,599.0,558.6,596.7,865.0,502121.0
2023-09-17,SMH,585.0,587.5,556.0,567.0,1684.0,962148.0
2023-09-18,SMH,556.0,599.0,555.7,583.0,540.0,312681.0
2023-09-19,SMH,572.0,593.0,562.0,588.0,790.0,448109.0
2023-09-21,SMH,599.0,619.5,587.1,617.0,6280.0,3809328.0
2023-09-24,SMH,605.0,620.0,590.0,591.0,2015.0,1210027.0
2023-09-25,SMH,581.3,602.0,580.1,601.0,3749.0,2244476.0
2023-09-26,SMH,613.0,632.0,601.0,616.0,18780.0,11517434.1
2023-09-27,SMH,603.7,603.7,568.5,579.9,4753.0,2742394.0
2023-10-01,SMH,568.4,591.0,547.0,591.0,9035.0,4991485.4
2023-10-02,SMH,579.2,579.2,551.0,574.0,3432.0,1924406.2
2023-10-03,SMH,578.0,578.0,549.0,560.0,2059.0,1147961.5
2023-10-04,SMH,560.0,578.0,550.1,563.0,2808.0,1580344.0
2023-10-05,SMH,567.0,573.0,551.8,552.0,5360.0,2965376.0
2023-10-08,SMH,545.1,563.9,545.1,557.9,2625.0,1447995.7
2023-10-09,SMH,547.0,566.0,540.1,566.0,2130.0,1170551.0
2023-10-10,SMH,555.0,555.0,538.6,549.9,2495.0,1355613.4
2023-10-11,SMH,539.3,551.0,530.0,544.0,4011.0,2145403.7
2023-10-12,SMH,535.0,536.0,502.1,520.0,11428.0,5863477.5
2023-10-16,SMH,509.7,541.0,486.3,541.0,4505.0,2225425.0
2023-10-17,SMH,551.8,551.8,503.1,506.1,1710.0,878624.0
2023-10-18,SMH,516.0,526.0,511.0,513.1,855.0,442901.0
2023-10-19,SMH,507.1,530.0,507.1,529.0,1490.0,770710.0
2023-10-29,SMH,518.5,520.0,492.0,515.0,330.0,167648.0
2023-10-30,SMH,507.0,515.0,505.0,515.0,590.0,299787.0
2023-10-31,SMH,505.2,514.9,504.7,511.0,1170.0,591354.0
2023-11-01,SMH,520.0,521.0,501.0,511.0,310.0,156769.0
2023-11-02,SMH,502.1,513.0,500.0,503.0,1655.0,837124.5
2023-11-05,SMH,493.0,504.6,493.0,504.0,970.0,482609.0
2023-11-06,SMH,512.0,513.0,503.0,512.0,1320.0,673124.0
