business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2020-12-29,SRD80,0.0,1000.0,1000.0,1000.0,10.0,10000.0
2020-12-30,SRD80,0.0,1060.0,1020.0,1060.0,300.0,313400.0
2020-12-31,SRD80,0.0,1080.0,1059.0,1059.0,68.0,72390.0
2021-01-03,SRD80,0.0,1050.0,1050.0,1050.0,200.0,210000.0
2021-01-04,SRD80,0.0,1050.0,1050.0,1050.0,50.0,52500.0
2021-01-05,SRD80,0.0,1056.0,1050.0,1056.0,100.0,105300.0
2021-01-06,SRD80,0.0,1061.0,1061.0,1061.0,75.0,79575.0
2021-01-12,SRD80,0.0,1065.0,1065.0,1065.0,25.0,26625.0
2021-01-13,SRD80,0.0,1044.0,1044.0,1044.0,12.0,12528.0
2021-01-17,SRD80,0.0,1025.0,1025.0,1025.0,63.0,64575.0
2021-01-24,SRD80,0.0,1020.0,1020.0,1020.0,50.0,51000.0
2021-01-25,SRD80,0.0,1006.0,1005.0,1005.0,215.0,216175.0
2021-01-27,SRD80,0.0,1005.0,1005.0,1005.0,25.0,25125.0
2021-01-28,SRD80,0.0,1005.0,1005.0,1005.0,25.0,25125.0
2021-02-03,SRD80,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2021-02-08,SRD80,0.0,1015.0,1015.0,1015.0,25.0,25375.0
2021-02-09,SRD80,0.0,1031.0,1011.0,1031.0,50.0,51050.0
2021-02-10,SRD80,0.0,1021.0,1016.0,1020.0,125.0,127425.0
2021-02-11,SRD80,0.0,1025.0,1025.0,1025.0,25.0,25625.0
2021-02-22,SRD80,0.0,1045.0,1045.0,1045.0,200.0,209000.0
2021-02-28,SRD80,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-03-02,SRD80,0.0,1040.0,1040.0,1040.0,100.0,104000.0
2021-03-03,SRD80,0.0,1026.0,1020.0,1026.0,75.0,76650.0
2021-03-04,SRD80,0.0,1035.0,1035.0,1035.0,500.0,517500.0
2021-03-07,SRD80,0.0,1025.0,1025.0,1025.0,100.0,102500.0
2021-03-14,SRD80,0.0,1045.0,1045.0,1045.0,75.0,78375.0
2021-03-16,SRD80,0.0,1050.0,1050.0,1050.0,200.0,210000.0
2021-03-17,SRD80,0.0,1055.0,1046.0,1046.0,75.0,78775.0
2021-03-18,SRD80,0.0,1045.0,1045.0,1045.0,25.0,26125.0
2021-04-01,SRD80,0.0,1025.0,1025.0,1025.0,25.0,25625.0
2021-04-05,SRD80,0.0,1040.0,1026.0,1040.0,525.0,545650.0
2021-04-13,SRD80,0.0,1050.0,1050.0,1050.0,100.0,105000.0
2021-04-20,SRD80,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-04-29,SRD80,0.0,1035.0,1035.0,1035.0,10.0,10350.0
2021-05-10,SRD80,0.0,1045.0,1045.0,1045.0,25.0,26125.0
2021-05-11,SRD80,0.0,1045.0,1025.0,1045.0,50.0,51750.0
2021-05-16,SRD80,0.0,1045.0,1045.0,1045.0,50.0,52250.0
2021-05-17,SRD80,0.0,1030.0,1030.0,1030.0,25.0,25750.0
2021-05-18,SRD80,0.0,1035.0,1035.0,1035.0,25.0,25875.0
2021-05-24,SRD80,0.0,1045.0,1045.0,1045.0,50.0,52250.0
2021-05-25,SRD80,0.0,1060.0,1040.0,1060.0,70.0,73700.0
2021-05-30,SRD80,0.0,1055.0,1050.0,1055.0,92.0,96975.0
2021-06-02,SRD80,0.0,1055.0,1055.0,1040.0,200.0,208000.0
2021-06-03,SRD80,0.0,1045.0,1045.0,1045.0,50.0,52250.0
2021-06-07,SRD80,1050.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-06-09,SRD80,1047.0,1047.0,1047.0,1047.0,50.0,52350.0
2021-06-10,SRD80,1047.0,1060.0,1060.0,1060.0,50.0,53000.0
2021-06-13,SRD80,1060.0,1065.0,1065.0,1065.0,100.0,106500.0
2021-06-15,SRD80,1086.0,1086.0,1086.0,1086.0,1250.0,1357500.0
2021-06-21,SRD80,1080.0,1080.0,1080.0,1080.0,25.0,27000.0
2021-06-24,SRD80,1059.0,1059.0,1047.0,1047.0,50.0,52650.0
2021-06-27,SRD80,1045.0,1045.0,1041.0,1045.0,300.0,313100.0
2021-06-28,SRD80,1043.0,1051.0,1040.0,1051.0,1725.0,1808575.0
2021-06-30,SRD80,1043.0,1043.0,1043.0,1043.0,25.0,26075.0
2021-07-01,SRD80,1045.0,1045.0,1045.0,1045.0,50.0,52250.0
2021-07-04,SRD80,1065.0,1065.0,1065.0,1065.0,25.0,26625.0
2021-07-12,SRD80,1047.0,1047.0,1047.0,1047.0,10.0,10470.0
2021-07-15,SRD80,1067.0,1067.0,1048.0,1048.0,150.0,159100.0
2021-07-18,SRD80,1028.0,1028.0,1028.0,1028.0,50.0,51400.0
2021-08-01,SRD80,1030.0,1030.0,1025.0,1025.0,75.0,77000.0
2021-08-02,SRD80,1021.2,1021.2,1021.2,1021.2,25.0,25530.0
2021-08-03,SRD80,1030.0,1035.0,1030.0,1035.0,75.0,77375.0
2021-08-04,SRD80,1025.0,1025.0,1025.0,1025.0,100.0,102500.0
2021-08-05,SRD80,1006.0,1006.0,1006.0,1006.0,25.0,25150.0
2021-08-08,SRD80,1020.0,1040.0,1020.0,1040.0,125.0,129500.0
2021-08-09,SRD80,1040.0,1040.0,1040.0,1040.0,175.0,182000.0
2021-08-10,SRD80,1040.1,1040.1,1040.1,1040.1,25.0,26002.5
2021-08-11,SRD80,1040.1,1040.1,1040.1,1040.1,50.0,52005.0
2021-08-12,SRD80,1040.1,1040.0,1040.0,1040.0,25.0,26000.0
2021-08-16,SRD80,1055.0,1055.0,1046.0,1046.0,500.0,527275.0
2021-08-18,SRD80,1050.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-08-25,SRD80,1040.0,1040.0,1040.0,1040.0,25.0,26000.0
2021-08-26,SRD80,1030.0,1030.0,1030.0,1030.0,25.0,25750.0
2021-09-02,SRD80,1016.1,1016.1,1016.0,1016.0,825.0,838220.0
2021-09-07,SRD80,1019.0,1019.0,1019.0,1019.0,100.0,101900.0
2021-09-08,SRD80,1019.0,1019.0,1019.0,1019.0,25.0,25475.0
2021-09-09,SRD80,1016.0,1016.0,1016.0,1016.0,50.0,50800.0
2021-09-13,SRD80,1015.0,1015.0,1015.0,1015.0,25.0,25375.0
2021-09-21,SRD80,1003.0,1003.0,1002.0,1002.0,400.0,400930.0
2021-09-28,SRD80,1015.0,1015.0,1015.0,1015.0,25.0,25375.0
2021-09-29,SRD80,1034.9,1034.9,1034.9,1034.9,20.0,20698.0
2021-09-30,SRD80,1014.3,1014.3,1014.3,1014.3,50.0,50715.0
2021-10-03,SRD80,1002.0,1002.0,990.0,1000.0,500.0,498550.0
2021-10-24,SRD80,1005.0,1018.0,1005.0,1018.0,177.0,178236.0
2021-10-25,SRD80,1018.0,1018.0,1018.0,1018.0,11.0,11198.0
2021-10-28,SRD80,1014.0,1017.0,1014.0,1017.0,175.0,177800.0
2021-11-08,SRD80,1000.0,1000.0,1000.0,1000.0,50.0,50000.0
2021-11-09,SRD80,1000.0,1000.0,1000.0,1000.0,25.0,25000.0
2021-11-25,SRD80,1001.0,1001.0,1001.0,1001.0,25.0,25025.0
2021-11-28,SRD80,1005.0,1005.0,1000.0,1000.0,25.0,25060.0
2021-12-02,SRD80,1000.0,1000.0,1000.0,1000.0,125.0,125000.0
2021-12-05,SRD80,1000.0,1000.1,1000.0,1000.0,1150.0,1150010.0
2021-12-06,SRD80,1000.0,1000.0,1000.0,1000.0,100.0,100000.0
2021-12-08,SRD80,1000.0,1000.0,1000.0,1000.0,50.0,50000.0
2021-12-09,SRD80,1000.0,1000.0,1000.0,1000.0,96.0,96000.0
2021-12-22,SRD80,1000.0,1000.0,1000.0,1000.0,72.0,72000.0
2021-12-23,SRD80,1000.0,1000.0,1000.0,1000.0,25.0,25000.0
2022-01-11,SRD80,1005.0,1025.0,1005.0,1025.0,50.0,50750.0
2022-01-13,SRD80,1025.0,1025.0,1025.0,1025.0,45.0,46125.0
2022-01-19,SRD80,1015.0,1015.0,1015.0,1015.0,1000.0,1015000.0
2022-01-20,SRD80,1000.0,1000.0,1000.0,1000.0,632.0,632000.0
2022-01-24,SRD80,1000.0,1000.0,1000.0,1000.0,368.0,368000.0
2022-01-26,SRD80,980.0,980.0,980.0,980.0,25.0,24500.0
2022-02-07,SRD80,989.0,989.0,989.0,989.0,27.0,26703.0
2022-02-16,SRD80,989.0,989.0,989.0,989.0,25.0,24725.0
2022-02-20,SRD80,980.0,980.0,980.0,980.0,1059.0,1037820.0
2022-02-27,SRD80,980.0,980.0,980.0,980.0,100.0,98000.0
2022-03-07,SRD80,980.0,980.0,975.0,975.0,300.0,293000.0
2022-03-09,SRD80,960.0,960.0,960.0,960.0,100.0,96000.0
2022-03-13,SRD80,950.0,950.0,950.0,950.0,25.0,23750.0
2022-03-16,SRD80,950.0,950.0,950.0,950.0,25.0,23750.0
2022-03-31,SRD80,934.6,934.6,934.5,934.5,50.0,46727.5
2022-04-12,SRD80,953.1,953.1,953.1,953.1,25.0,23827.5
2022-04-25,SRD80,972.1,972.1,972.1,972.1,10.0,9721.0
2022-05-04,SRD80,953.0,953.0,953.0,953.0,100.0,95300.0
2022-05-17,SRD80,935.5,935.5,935.5,935.5,10.0,9355.0
2022-06-06,SRD80,954.2,960.0,954.2,960.0,100.0,95942.0
2022-06-20,SRD80,960.0,960.0,951.0,951.0,450.0,430650.0
2022-06-21,SRD80,952.0,952.0,950.3,950.3,740.0,704174.0
2022-06-22,SRD80,942.5,942.5,942.0,942.0,80.0,75375.0
2022-06-23,SRD80,945.1,945.1,945.0,945.0,525.0,496127.5
2022-07-15,SRD80,963.9,975.0,963.9,975.0,25.0,24264.0
2022-07-17,SRD80,955.5,955.5,936.0,936.0,70.0,65731.0
2022-07-18,SRD80,945.0,945.0,945.0,945.0,50.0,47250.0
2022-07-20,SRD80,926.1,930.0,925.0,930.0,150.0,139055.0
2022-07-21,SRD80,930.0,940.0,930.0,940.0,200.0,187000.0
2022-07-22,SRD80,935.0,935.0,935.0,935.0,425.0,397375.0
2022-07-26,SRD80,925.0,925.0,925.0,925.0,25.0,23125.0
2022-07-28,SRD80,927.0,927.0,927.0,927.0,10.0,9270.0
2022-07-31,SRD80,920.1,920.1,920.0,920.0,100.0,92002.5
2022-08-01,SRD80,930.0,930.0,930.0,930.0,100.0,93000.0
2022-08-08,SRD80,940.0,940.0,940.0,940.0,25.0,23500.0
2022-08-11,SRD80,930.1,930.1,930.1,930.1,25.0,23252.5
2022-08-14,SRD80,930.0,940.0,930.0,940.0,45.0,42050.0
2022-08-29,SRD80,958.7,958.7,958.7,958.7,25.0,23967.5
2022-09-01,SRD80,940.0,940.0,940.0,940.0,25.0,23500.0
2022-09-02,SRD80,945.0,945.0,945.0,945.0,50.0,47250.0
2022-09-04,SRD80,946.0,946.0,945.0,945.0,50.0,47275.0
2022-09-05,SRD80,963.8,963.9,963.8,963.9,50.0,48192.5
2022-09-06,SRD80,947.0,947.0,947.0,947.0,10.0,9470.0
2022-09-12,SRD80,965.9,965.9,965.9,965.9,15.0,14488.5
2022-09-20,SRD80,950.0,950.0,950.0,950.0,25.0,23750.0
2022-09-22,SRD80,950.0,950.0,950.0,950.0,50.0,47500.0
2022-09-29,SRD80,950.1,950.1,950.1,950.1,20.0,19002.0
2022-10-09,SRD80,969.0,969.0,969.0,969.0,50.0,48450.0
2022-10-19,SRD80,965.0,965.0,965.0,965.0,200.0,193000.0
2022-12-01,SRD80,980.0,980.0,980.0,980.0,25.0,24500.0
2022-12-11,SRD80,980.0,980.0,980.0,980.0,25.0,24500.0
2022-12-14,SRD80,990.0,990.0,990.0,990.0,500.0,495000.0
2023-01-30,SRD80,970.3,970.3,970.3,970.3,50.0,48515.0
2023-02-09,SRD80,989.1,989.1,989.1,989.1,25.0,24727.5
2023-03-05,SRD80,989.0,989.0,989.0,989.0,25.0,24725.0
