business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2012-02-01,STC,0.0,256.0,256.0,256.0,10.0,2560.0
2012-02-13,STC,0.0,261.0,261.0,261.0,10.0,2610.0
2012-09-13,STC,0.0,202.0,202.0,202.0,10.0,2020.0
2012-10-15,STC,0.0,218.0,206.0,218.0,57.0,12102.0
2012-10-17,STC,0.0,226.0,222.0,226.0,41.0,9206.0
2013-06-23,STC,0.0,209.0,209.0,209.0,36.0,7524.0
2013-09-05,STC,0.0,213.0,213.0,213.0,15.0,3195.0
2014-02-25,STC,0.0,217.0,217.0,217.0,108.0,23436.0
2014-03-20,STC,0.0,217.0,217.0,217.0,10.0,2170.0
2014-07-13,STC,0.0,204.0,200.0,204.0,167.0,34028.0
2014-11-20,STC,0.0,208.0,208.0,208.0,663.0,137904.0
2014-11-23,STC,0.0,212.0,212.0,212.0,72.0,15264.0
2015-03-02,STC,0.0,224.0,216.0,224.0,220.0,49160.0
2015-03-04,STC,0.0,235.0,235.0,235.0,1420.0,333700.0
2015-04-23,STC,0.0,210.0,210.0,210.0,21279.0,4468590.0
2015-05-25,STC,0.0,220.0,220.0,220.0,5451.0,1199220.0
2015-07-22,STC,0.0,224.0,224.0,224.0,14553.0,3259872.0
2015-09-03,STC,0.0,228.0,228.0,228.0,3654.0,833112.0
2015-09-29,STC,0.0,236.0,232.0,236.0,4305.0,1000736.0
2016-06-28,STC,0.0,215.0,215.0,215.0,450.0,96750.0
2016-11-21,STC,0.0,223.0,219.0,223.0,1195.0,266445.0
2016-12-21,STC,0.0,231.0,227.0,231.0,37.0,8507.0
2017-01-19,STC,0.0,239.0,235.0,239.0,111.0,26485.0
2017-03-29,STC,0.0,251.0,243.0,251.0,17675.0,4299921.0
2017-04-03,STC,0.0,261.0,256.0,261.0,160.0,41710.0
2017-04-25,STC,0.0,276.0,266.0,276.0,562.0,153622.0
2017-05-11,STC,0.0,286.0,281.0,286.0,318.0,90898.0
2017-07-25,STC,0.0,246.0,242.0,246.0,1499.0,368714.0
2017-11-06,STC,0.0,255.0,250.0,255.0,1468.0,374290.0
2017-11-26,STC,0.0,265.0,260.0,265.0,43.0,11345.0
2018-02-04,STC,0.0,280.0,270.0,280.0,71.0,19675.0
2018-02-12,STC,0.0,308.0,285.0,308.0,1806.0,538562.0
2018-05-27,STC,0.0,250.0,250.0,250.0,10.0,2500.0
2018-07-16,STC,0.0,260.0,255.0,260.0,1913.0,497330.0
2018-08-06,STC,0.0,270.0,265.0,270.0,201.0,54215.0
2018-08-09,STC,0.0,280.0,275.0,280.0,1778.0,497790.0
2018-08-12,STC,0.0,290.0,285.0,290.0,190.0,55050.0
2018-08-21,STC,0.0,304.0,304.0,304.0,10.0,3040.0
2018-09-06,STC,0.0,319.0,319.0,319.0,10.0,3190.0
2018-09-17,STC,0.0,334.0,334.0,334.0,10.0,3340.0
2018-09-23,STC,0.0,364.0,350.0,364.0,496.0,180334.0
2018-09-30,STC,0.0,378.0,371.0,378.0,148.0,55874.0
2018-11-15,STC,0.0,415.0,415.0,415.0,10.0,4150.0
2019-01-02,STC,0.0,435.0,435.0,435.0,10.0,4350.0
2019-01-08,STC,0.0,456.0,456.0,456.0,10.0,4560.0
2019-01-14,STC,0.0,478.0,478.0,478.0,10.0,4780.0
2019-01-30,STC,0.0,501.0,501.0,501.0,10.0,5010.0
2019-05-06,STC,0.0,440.0,420.0,440.0,1403.0,601384.0
2019-06-12,STC,0.0,484.0,462.0,484.0,3010.0,1439620.0
2019-07-04,STC,0.0,484.0,484.0,484.0,8.0,3944.0
2019-07-07,STC,0.0,484.0,484.0,484.0,2.0,986.0
2019-07-08,STC,0.0,484.0,484.0,484.0,62000.0,30008000.0
2019-07-15,STC,0.0,484.0,484.0,484.0,8000.0,3872000.0
2019-07-31,STC,0.0,493.0,493.0,493.0,10.0,4930.0
2019-08-07,STC,0.0,527.0,517.0,527.0,20.0,10440.0
2019-08-11,STC,0.0,575.0,553.0,575.0,229.0,131345.0
2019-08-26,STC,0.0,603.0,603.0,603.0,10.0,6030.0
2019-09-16,STC,0.0,627.0,615.0,627.0,20.0,12420.0
2019-09-23,STC,0.0,658.0,658.0,658.0,10.0,6580.0
2019-11-05,STC,0.0,658.0,658.0,658.0,40000.0,26320000.0
2019-11-06,STC,0.0,723.0,671.0,723.0,50.0,34850.0
2019-11-07,STC,0.0,795.0,737.0,795.0,3285.0,2610125.0
2019-11-13,STC,0.0,858.0,810.0,858.0,24357.0,20508274.0
2019-11-14,STC,0.0,943.0,875.0,943.0,50.0,45460.0
2019-11-17,STC,0.0,1037.0,961.0,1037.0,50.0,49950.0
2019-11-18,STC,0.0,1140.0,1057.0,1140.0,150.0,168940.0
2019-11-19,STC,0.0,1254.0,1162.0,1254.0,348.0,434102.0
2019-11-20,STC,0.0,1379.0,1279.0,1379.0,659.0,906291.0
2019-11-21,STC,0.0,1516.0,1406.0,1516.0,7993.0,12042967.0
2019-11-24,STC,0.0,1607.0,1365.0,1365.0,4851.0,6983360.0
2019-11-25,STC,0.0,1392.0,1265.0,1349.0,1776.0,2311569.0
2019-11-26,STC,0.0,1430.0,1375.0,1430.0,30.0,42070.0
2019-11-27,STC,0.0,1402.0,1295.0,1331.0,852.0,1122924.0
2019-11-28,STC,0.0,1357.0,1250.0,1252.0,683.0,866738.0
2019-12-01,STC,0.0,1230.0,1203.0,1203.0,1340.0,1618262.0
2019-12-02,STC,0.0,1256.0,1159.0,1256.0,7589.0,8887213.0
2019-12-03,STC,0.0,1236.0,1188.0,1188.0,440.0,529790.0
2019-12-04,STC,0.0,1220.0,1165.0,1201.0,934.0,1109240.0
2019-12-05,STC,0.0,1288.0,1200.0,1263.0,4426.0,5405405.0
2019-12-08,STC,0.0,1297.0,1238.0,1297.0,1605.0,2044210.0
2019-12-09,STC,0.0,1426.0,1312.0,1360.0,2559.0,3488282.0
2019-12-10,STC,0.0,1454.0,1360.0,1450.0,3151.0,4478679.0
2019-12-11,STC,0.0,1562.0,1471.0,1562.0,5950.0,8929985.0
2019-12-12,STC,0.0,1592.0,1490.0,1490.0,3249.0,4869310.0
2019-12-15,STC,0.0,1607.0,1518.0,1550.0,4138.0,6412616.0
2019-12-16,STC,0.0,1580.0,1522.0,1536.0,2500.0,3833300.0
2019-12-17,STC,0.0,1687.0,1512.0,1596.0,6126.0,9518525.0
2019-12-18,STC,0.0,1699.0,1566.0,1628.0,6936.0,11281202.0
2019-12-19,STC,0.0,1660.0,1582.0,1622.0,2208.0,3539018.0
2019-12-22,STC,0.0,1599.0,1562.0,1591.0,2248.0,3537944.0
2019-12-23,STC,0.0,1673.0,1560.0,1610.0,2072.0,3348854.0
2019-12-24,STC,0.0,1698.0,1550.0,1616.0,11942.0,18728589.0
2019-12-25,STC,0.0,1645.0,1600.0,1619.0,485.0,781484.0
2019-12-26,STC,0.0,1754.0,1587.0,1754.0,7732.0,12832412.0
2019-12-29,STC,0.0,1929.0,1760.0,1929.0,6968.0,13106565.0
2019-12-30,STC,0.0,2037.0,1928.0,1989.0,12438.0,24665952.0
2019-12-31,STC,0.0,2048.0,1950.0,1999.0,6471.0,13040720.0
2020-01-01,STC,0.0,2019.0,1930.0,1970.0,4384.0,8623361.0
2020-01-02,STC,0.0,2008.0,1932.0,1980.0,980.0,1913260.0
2020-01-05,STC,0.0,2058.0,1950.0,2005.0,3169.0,6282773.0
2020-01-06,STC,0.0,2004.0,1930.0,1964.0,1354.0,2638920.0
