business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-10-31,TPC,254.2,259.2,254.2,259.2,20.0,5134.0
2021-11-01,TPC,259.2,269.5,259.2,269.5,22.0,5854.2
2021-11-02,TPC,274.8,285.8,274.8,285.8,38.0,10647.2
2021-11-03,TPC,288.7,300.2,288.7,300.2,40.0,11705.1
2021-11-08,TPC,300.2,330.2,300.2,330.2,130.0,41305.8
2021-11-09,TPC,336.8,363.2,336.8,363.2,170.0,61095.0
2021-11-11,TPC,370.4,399.5,370.4,399.5,309.0,122727.8
2021-11-14,TPC,407.4,439.4,407.4,439.4,530.0,232095.0
2021-11-15,TPC,448.1,483.3,448.1,483.3,3302.0,1594638.6
2021-11-16,TPC,492.9,531.6,492.9,531.6,2260.0,1200368.0
2021-11-17,TPC,542.2,584.7,542.2,584.7,1840.0,1074379.0
2021-11-18,TPC,596.3,643.1,596.3,643.1,40896.0,26029588.2
2021-11-21,TPC,655.0,655.9,602.0,616.0,25206.0,15762591.0
2021-11-22,TPC,616.0,616.0,590.0,600.0,14200.0,8460547.0
2021-11-23,TPC,588.0,595.0,585.0,588.0,6265.0,3688080.8
2021-11-24,TPC,590.0,599.7,554.4,575.0,8705.0,4972471.5
2021-11-25,TPC,571.0,587.0,569.2,570.0,7276.0,4183681.6
2021-11-28,TPC,558.6,591.6,526.0,548.1,9850.0,5420410.0
2021-11-29,TPC,540.0,565.0,538.0,546.3,5680.0,3132511.0
2021-11-30,TPC,546.0,590.9,538.0,585.0,5912.0,3314131.0
2021-12-01,TPC,585.0,595.0,556.0,570.0,3338.0,1902363.0
2021-12-02,TPC,559.0,570.0,544.0,565.0,8735.0,4858539.0
2021-12-05,TPC,570.0,570.0,529.2,549.9,5217.0,2840928.9
2021-12-06,TPC,539.0,560.0,507.0,539.9,6515.0,3419928.0
2021-12-07,TPC,530.0,550.0,515.0,524.9,6517.0,3419647.1
2021-12-08,TPC,515.1,518.0,499.0,509.0,4730.0,2395931.5
2021-12-09,TPC,500.0,527.0,500.0,507.0,3765.0,1898855.0
2021-12-12,TPC,497.0,507.0,461.3,489.9,5500.0,2627234.0
2021-12-13,TPC,480.2,489.8,445.0,445.0,3131.0,1419992.5
2021-12-14,TPC,445.0,489.5,437.0,489.5,2824.0,1354829.9
2021-12-15,TPC,499.2,510.0,451.5,480.5,6477.0,3123590.0
