business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2023-08-13,TSHL,255.0,280.5,255.0,280.5,3951.0,1107132.1
2023-08-14,TSHL,286.1,308.5,286.1,308.5,8672.0,2674381.4
2023-08-15,TSHL,314.6,339.3,277.7,287.1,56896.0,16763567.0
2023-08-16,TSHL,281.4,303.0,264.9,294.0,16159.0,4428101.4
2023-08-17,TSHL,288.2,291.3,271.5,287.0,10938.0,3097843.8
2023-08-20,TSHL,282.0,285.9,267.1,272.6,11601.0,3154169.0
2023-08-21,TSHL,269.0,272.0,261.0,261.0,6816.0,1814623.4
2023-08-22,TSHL,260.0,264.9,253.0,257.0,5900.0,1512930.2
2023-08-23,TSHL,257.0,269.2,253.0,266.0,14937.0,3901181.5
2023-08-24,TSHL,261.0,263.0,254.3,257.0,6972.0,1798541.0
2023-08-27,TSHL,251.9,253.0,245.1,247.0,6217.0,1545899.7
2023-08-28,TSHL,243.0,256.0,240.0,241.0,4331.0,1048832.0
2023-08-29,TSHL,240.0,255.0,230.6,237.0,8770.0,2070844.0
2023-08-30,TSHL,232.3,235.7,227.7,231.0,10631.0,2465814.7
2023-09-03,TSHL,231.1,254.1,231.1,254.1,17722.0,4311325.5
2023-09-04,TSHL,250.0,279.5,245.0,279.5,25428.0,6906827.7
2023-09-05,TSHL,274.0,307.4,274.0,295.0,30903.0,9263211.3
2023-09-07,TSHL,289.1,317.0,284.0,317.0,26341.0,7672766.3
2023-09-10,TSHL,310.7,343.7,294.0,343.7,32028.0,9940369.0
2023-09-11,TSHL,336.9,378.0,310.9,378.0,36763.0,11884785.1
2023-09-12,TSHL,370.5,370.5,340.2,340.2,13382.0,4559858.3
2023-09-13,TSHL,333.4,333.4,308.0,313.0,31300.0,9954421.0
2023-09-17,TSHL,307.0,344.3,307.0,337.7,60120.0,19743840.1
2023-09-18,TSHL,331.0,371.4,331.0,371.4,31462.0,11420670.1
2023-09-19,TSHL,364.0,408.5,364.0,408.5,30301.0,11718097.5
2023-09-21,TSHL,400.4,449.3,395.0,449.3,63479.0,26219770.1
2023-09-24,TSHL,440.4,493.0,404.4,493.0,67281.0,27623441.1
2023-09-25,TSHL,483.2,483.2,443.7,443.7,16499.0,7321640.3
2023-09-26,TSHL,434.9,434.9,399.4,419.0,43195.0,17548537.5
2023-09-27,TSHL,410.7,414.2,395.0,402.1,23671.0,9506298.8
2023-10-01,TSHL,394.1,399.0,367.6,370.0,23847.0,8987770.2
2023-10-02,TSHL,362.7,399.0,350.0,394.9,17718.0,6834952.9
2023-10-03,TSHL,387.1,402.0,381.0,395.0,11415.0,4439349.5
2023-10-04,TSHL,398.0,410.0,372.0,388.1,13416.0,5313621.6
2023-10-05,TSHL,395.0,395.0,377.1,380.0,4117.0,1564598.3
2023-10-08,TSHL,380.0,387.0,357.0,359.0,14992.0,5493442.4
2023-10-09,TSHL,352.0,392.6,352.0,375.0,13904.0,5190708.5
2023-10-10,TSHL,368.1,377.4,357.0,358.0,8607.0,3143374.2
2023-10-11,TSHL,351.0,372.0,351.0,354.3,6217.0,2217606.9
2023-10-12,TSHL,352.0,366.0,341.0,350.0,7649.0,2685576.5
2023-10-16,TSHL,343.0,349.0,330.0,342.7,9757.0,3291050.1
2023-10-17,TSHL,349.5,356.0,327.0,330.0,6540.0,2198934.5
2023-10-18,TSHL,330.0,340.6,330.0,336.0,2270.0,761749.0
2023-10-19,TSHL,330.0,346.0,330.0,334.9,3786.0,1268959.3
2023-10-29,TSHL,328.3,328.3,315.4,322.3,4285.0,1367978.0
2023-10-30,TSHL,315.9,330.0,315.0,329.9,2580.0,829595.0
2023-10-31,TSHL,324.0,326.0,317.0,323.0,2022.0,650215.0
2023-11-01,TSHL,317.0,329.0,317.0,319.0,3166.0,1014983.0
2023-11-02,TSHL,325.0,325.0,310.0,316.0,4243.0,1328802.3
2023-11-05,TSHL,309.7,317.0,300.3,317.0,2639.0,808172.5
