business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2022-05-27,ULBSL,1211.0,1259.9,1211.0,1259.9,40.0,49171.0
2022-05-30,ULBSL,1257.7,1363.6,1257.7,1363.6,70.0,90771.0
2022-05-31,ULBSL,1363.6,1475.8,1363.6,1475.8,50.0,71263.6
2022-06-01,ULBSL,1505.3,1535.4,1505.3,1535.4,30.0,45524.0
2022-06-02,ULBSL,1566.1,1597.4,1566.1,1597.4,20.0,31635.0
2022-06-03,ULBSL,1603.3,1757.1,1603.3,1757.1,60.0,101003.0
2022-06-06,ULBSL,1792.2,1932.8,1792.2,1932.8,130.0,247816.0
2022-06-07,ULBSL,1971.4,2126.0,1971.4,2126.0,190.0,400152.0
2022-06-08,ULBSL,2168.5,2338.6,2168.5,2338.6,90.0,206304.0
2022-06-09,ULBSL,2385.3,2572.4,2385.3,2572.4,160.0,406999.0
2022-06-10,ULBSL,2572.0,2829.6,2572.0,2829.6,1857.0,5223049.2
2022-06-13,ULBSL,2886.1,3112.5,2700.0,2702.0,20060.0,56364035.0
2022-06-14,ULBSL,2740.0,2740.0,2560.0,2564.0,11051.0,28760198.2
2022-06-15,ULBSL,2565.0,2565.0,2425.0,2508.2,5667.0,14031019.5
2022-06-16,ULBSL,2460.0,2550.0,2460.0,2550.0,3304.0,8256605.6
2022-06-17,ULBSL,2599.9,2601.0,2526.3,2545.0,1720.0,4391421.2
2022-06-19,ULBSL,2530.0,2550.0,2490.1,2502.0,2230.0,5591690.0
2022-06-20,ULBSL,2455.0,2500.0,2405.1,2415.0,3197.0,7799295.6
2022-06-21,ULBSL,2400.0,2510.0,2400.0,2499.0,2325.0,5742481.5
2022-06-22,ULBSL,2461.0,2476.0,2420.1,2465.0,1530.0,3742084.2
2022-06-23,ULBSL,2418.0,2430.0,2380.0,2386.0,2552.0,6123800.0
2022-06-24,ULBSL,2360.0,2478.6,2343.0,2428.0,855.0,2055319.0
2022-06-26,ULBSL,2476.5,2574.0,2445.0,2540.0,2977.0,7511151.5
2022-06-27,ULBSL,2565.0,2590.0,2470.0,2496.1,2608.0,6555563.9
2022-06-28,ULBSL,2461.0,2499.9,2447.0,2485.0,1137.0,2802359.0
2022-06-29,ULBSL,2435.4,2550.0,2435.4,2525.0,1688.0,4239658.0
2022-06-30,ULBSL,2525.0,2697.0,2525.0,2645.0,3160.0,8366140.0
2022-07-01,ULBSL,2696.0,2697.0,2598.0,2656.0,1478.0,3922518.5
2022-07-03,ULBSL,2650.0,2799.0,2601.9,2799.0,2651.0,7148651.0
2022-07-04,ULBSL,2854.9,2998.8,2742.0,2750.0,4905.0,14040845.0
2022-07-05,ULBSL,2695.0,2906.7,2645.0,2710.0,2558.0,6988640.0
2022-07-06,ULBSL,2730.0,2758.9,2663.0,2730.0,1991.0,5411855.4
2022-07-07,ULBSL,2730.0,2849.9,2702.0,2716.0,1485.0,4086079.0
2022-07-08,ULBSL,2770.0,2770.0,2670.7,2675.0,945.0,2541877.0
2022-07-11,ULBSL,2625.0,2625.0,2572.0,2595.0,1830.0,4762202.0
2022-07-12,ULBSL,2600.0,2630.0,2560.0,2620.0,1218.0,3177854.3
2022-07-13,ULBSL,2660.0,2686.9,2620.0,2686.9,1417.0,3787064.8
2022-07-14,ULBSL,2700.0,2740.0,2664.0,2690.0,1739.0,4691962.0
2022-07-15,ULBSL,2638.0,2699.0,2637.1,2699.0,500.0,1334843.0
2022-07-17,ULBSL,2675.0,2798.0,2675.0,2748.0,1120.0,3071339.0
2022-07-18,ULBSL,2750.0,2835.0,2725.0,2833.0,2226.0,6213659.0
2022-07-19,ULBSL,2833.0,2950.0,2833.0,2939.1,3657.0,10574039.5
2022-07-20,ULBSL,2885.0,2973.0,2881.0,2940.0,2685.0,7917331.0
2022-07-21,ULBSL,2943.1,2995.0,2892.0,2945.0,1695.0,4986324.0
2022-07-22,ULBSL,2949.0,2960.0,2903.1,2935.0,1001.0,2927967.1
2022-07-24,ULBSL,2991.0,3119.8,2931.0,3050.0,3901.0,11716466.2
2022-07-25,ULBSL,3050.0,3264.0,3050.0,3210.0,3446.0,11032784.3
2022-07-26,ULBSL,3210.0,3229.0,3130.0,3132.0,5092.0,16193097.7
2022-07-27,ULBSL,3071.0,3264.0,3069.4,3230.0,2983.0,9503319.0
2022-07-28,ULBSL,3230.0,3348.0,3220.0,3260.0,5604.0,18445185.0
2022-07-29,ULBSL,3226.0,3400.0,3195.0,3300.0,2612.0,8601654.5
2022-07-31,ULBSL,3237.1,3395.0,3237.1,3385.0,2786.0,9289854.2
2022-08-01,ULBSL,3385.0,3406.0,3320.0,3356.0,2836.0,9514078.0
2022-08-02,ULBSL,3380.0,3423.1,3288.9,3380.0,3011.0,10091810.0
2022-08-03,ULBSL,3330.0,3387.0,3247.0,3310.0,4539.0,15078315.0
2022-08-04,ULBSL,3350.0,3358.0,3221.0,3343.9,4319.0,14242297.5
2022-08-05,ULBSL,3339.0,3456.0,3317.0,3449.0,11197.0,37950268.0
2022-08-07,ULBSL,3517.0,3786.0,3452.0,3764.0,6313.0,22948747.7
2022-08-08,ULBSL,3700.0,3819.0,3700.0,3799.0,3768.0,14115585.6
2022-08-09,ULBSL,3723.1,3760.0,3648.7,3710.0,5165.0,19079504.0
2022-08-10,ULBSL,3700.0,3814.8,3627.0,3814.8,4147.0,15382635.8
2022-08-11,ULBSL,3750.0,3815.0,3701.0,3799.0,2995.0,11231313.8
2022-08-14,ULBSL,3740.0,3770.0,3680.0,3680.0,2507.0,9285181.0
2022-08-15,ULBSL,3680.0,3858.0,3660.0,3858.0,3030.0,11355755.0
2022-08-16,ULBSL,3869.0,3869.0,3732.0,3732.0,3241.0,12240225.0
2022-08-17,ULBSL,3670.0,3750.0,3670.0,3706.0,1057.0,3925200.5
2022-08-18,ULBSL,3701.0,3750.0,3701.0,3708.0,1408.0,5246122.8
2022-08-21,ULBSL,3690.0,3772.0,3690.0,3700.0,672.0,2497705.0
2022-08-22,ULBSL,3645.0,3740.0,3645.0,3700.0,1455.0,5382297.0
2022-08-23,ULBSL,3710.0,3825.0,3710.0,3800.0,2565.0,9681379.0
2022-08-24,ULBSL,3731.0,3800.0,3731.0,3737.3,1556.0,5843662.1
2022-08-25,ULBSL,3740.0,3798.0,3730.5,3798.0,3574.0,13429353.0
2022-08-26,ULBSL,3800.0,3800.0,3725.5,3794.0,715.0,2693087.0
2022-08-28,ULBSL,3720.0,3750.0,3680.4,3715.0,1322.0,4898391.0
2022-08-29,ULBSL,3642.1,3670.0,3642.1,3656.3,1081.0,3955581.0
2022-08-30,ULBSL,3700.0,3700.0,3606.1,3650.0,650.0,2363940.0
2022-08-31,ULBSL,3698.0,3698.0,3600.0,3600.0,580.0,2090372.0
2022-09-01,ULBSL,3550.0,3651.0,3510.0,3600.0,1942.0,6904433.0
2022-09-02,ULBSL,3528.1,3600.0,3528.1,3600.0,230.0,824355.0
2022-09-04,ULBSL,3580.0,3625.0,3580.0,3588.1,1097.0,3947491.0
2022-09-05,ULBSL,3658.0,3658.0,3590.0,3595.0,490.0,1774431.0
2022-09-06,ULBSL,3541.1,3600.0,3541.1,3543.0,257.0,911835.3
2022-09-07,ULBSL,3508.0,3520.1,3472.2,3507.0,933.0,3263501.0
2022-09-08,ULBSL,3507.0,3615.0,3455.1,3615.0,981.0,3438497.5
2022-09-11,ULBSL,3543.0,3543.0,3500.0,3501.0,580.0,2039897.0
2022-09-12,ULBSL,3529.0,3529.0,3412.1,3444.0,1460.0,5033321.0
2022-09-13,ULBSL,3444.0,3550.0,3411.1,3441.0,690.0,2377275.0
2022-09-14,ULBSL,3465.0,3550.0,3465.0,3485.0,1022.0,3584120.0
2022-09-15,ULBSL,3427.0,3468.8,3390.0,3400.0,1211.0,4147645.7
