business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2020-12-20,UMRH,0.0,325.0,296.0,325.0,18040.0,5857700.0
2020-12-21,UMRH,0.0,340.0,293.0,293.0,11030.0,3252100.0
2020-12-22,UMRH,0.0,280.0,264.0,264.0,1350.0,363590.0
2020-12-23,UMRH,0.0,259.0,238.0,238.0,6220.0,1485360.0
2020-12-24,UMRH,0.0,241.0,215.0,223.0,13540.0,2995720.0
2020-12-27,UMRH,0.0,224.0,215.0,216.0,9428.0,2063074.0
2020-12-28,UMRH,0.0,220.0,208.0,212.0,7002.0,1469730.0
2020-12-29,UMRH,0.0,212.0,204.0,204.0,5620.0,1153380.0
2020-12-30,UMRH,0.0,212.0,200.0,212.0,4831.0,975433.0
2020-12-31,UMRH,0.0,222.0,204.0,219.0,5800.0,1200620.0
2021-01-03,UMRH,0.0,240.0,206.0,224.0,5328.0,1147238.0
2021-01-04,UMRH,0.0,226.0,212.0,222.0,3855.0,840160.0
2021-01-05,UMRH,0.0,240.0,211.0,232.0,4390.0,987010.0
2021-01-06,UMRH,0.0,244.0,220.0,230.0,3710.0,831240.0
2021-01-07,UMRH,0.0,230.0,222.0,230.0,10950.0,2487190.0
2021-01-10,UMRH,0.0,241.0,218.0,224.0,3264.0,727390.0
2021-01-11,UMRH,0.0,230.0,218.0,219.0,2250.0,497770.0
2021-01-12,UMRH,0.0,227.0,215.0,226.0,5165.0,1161270.0
2021-01-13,UMRH,0.0,238.0,218.0,225.0,11441.0,2589928.0
2021-01-17,UMRH,0.0,236.0,221.0,222.0,1770.0,398630.0
2021-01-18,UMRH,0.0,224.0,220.0,221.0,1390.0,308400.0
2021-01-19,UMRH,0.0,222.0,216.0,216.0,5464.0,1195033.0
2021-01-20,UMRH,0.0,230.0,216.0,222.0,4284.0,943042.0
2021-01-21,UMRH,0.0,244.0,220.0,244.0,2660.0,595024.0
2021-01-24,UMRH,0.0,256.0,222.0,237.0,10419.0,2438721.0
2021-01-25,UMRH,0.0,248.0,228.0,240.0,5656.0,1323078.0
2021-01-26,UMRH,0.0,247.0,225.0,234.0,4067.0,974826.0
2021-01-27,UMRH,0.0,238.0,226.0,234.0,4791.0,1107324.0
2021-01-28,UMRH,0.0,248.0,224.0,248.0,3055.0,703300.0
2021-01-31,UMRH,0.0,248.0,224.0,229.0,5640.0,1308321.0
2021-02-01,UMRH,0.0,242.0,226.0,236.0,6595.0,1531850.0
2021-02-02,UMRH,0.0,241.0,228.0,237.0,12840.0,3034968.0
2021-02-03,UMRH,0.0,257.0,235.0,248.0,19524.0,4828562.0
2021-02-04,UMRH,0.0,248.0,240.0,244.0,12669.0,3090425.0
2021-02-07,UMRH,0.0,252.0,232.0,249.0,13527.0,3327032.0
2021-02-08,UMRH,0.0,249.0,237.0,242.0,5610.0,1361250.0
2021-02-09,UMRH,0.0,249.0,237.0,238.0,4380.0,1051190.0
2021-02-10,UMRH,0.0,242.0,235.0,242.0,4360.0,1033390.0
2021-02-11,UMRH,0.0,248.0,232.0,242.0,5256.0,1254510.0
2021-02-14,UMRH,0.0,240.0,230.0,233.0,1884.0,440695.0
2021-02-15,UMRH,0.0,248.0,229.0,243.0,4219.0,996176.0
