business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2018-06-20,WNLB,0.0,312.0,312.0,312.0,10.0,3120.0
2018-06-25,WNLB,0.0,327.0,327.0,327.0,10.0,3270.0
2018-06-27,WNLB,0.0,343.0,343.0,343.0,10.0,3430.0
2018-07-25,WNLB,0.0,360.0,360.0,360.0,40.0,14470.0
2018-07-30,WNLB,0.0,381.0,367.0,381.0,30.0,11220.0
2018-08-02,WNLB,0.0,388.0,388.0,388.0,10.0,3880.0
2018-08-23,WNLB,0.0,402.0,395.0,402.0,20.0,7970.0
2018-08-30,WNLB,0.0,422.0,422.0,422.0,10.0,4220.0
2018-09-03,WNLB,0.0,430.0,430.0,430.0,10.0,4300.0
2018-09-13,WNLB,0.0,472.0,438.0,472.0,50.0,22730.0
2018-09-16,WNLB,0.0,481.0,481.0,481.0,10.0,4810.0
2018-10-03,WNLB,0.0,490.0,490.0,490.0,10.0,4900.0
2018-10-08,WNLB,0.0,499.0,499.0,499.0,10.0,4990.0
2018-10-09,WNLB,0.0,533.0,523.0,533.0,20.0,10560.0
2018-10-10,WNLB,0.0,543.0,543.0,543.0,10.0,5430.0
2018-10-11,WNLB,0.0,564.0,553.0,564.0,20.0,11170.0
2018-10-14,WNLB,0.0,597.0,575.0,597.0,30.0,17580.0
2018-10-15,WNLB,0.0,608.0,608.0,608.0,10.0,6080.0
2018-10-22,WNLB,0.0,632.0,620.0,632.0,20.0,12520.0
2018-10-24,WNLB,0.0,656.0,644.0,656.0,110.0,70960.0
2018-10-28,WNLB,0.0,695.0,669.0,695.0,30.0,20460.0
2018-10-29,WNLB,0.0,708.0,708.0,708.0,10.0,7080.0
2018-10-30,WNLB,0.0,778.0,722.0,778.0,50.0,37510.0
2018-10-31,WNLB,0.0,855.0,793.0,855.0,2410.0,2059000.0
2018-11-01,WNLB,0.0,889.0,786.0,790.0,6470.0,5233640.0
2018-11-04,WNLB,0.0,775.0,733.0,756.0,1107.0,839452.0
2018-11-05,WNLB,0.0,775.0,744.0,756.0,740.0,562370.0
2018-11-06,WNLB,0.0,760.0,756.0,756.0,30.0,22720.0
2018-11-11,WNLB,0.0,756.0,715.0,721.0,360.0,260720.0
2018-11-12,WNLB,0.0,721.0,690.0,691.0,830.0,580940.0
2018-11-13,WNLB,0.0,714.0,679.0,701.0,570.0,398690.0
2018-11-14,WNLB,0.0,729.0,696.0,714.0,830.0,586360.0
2018-11-15,WNLB,0.0,714.0,696.0,701.0,280.0,197290.0
2018-11-18,WNLB,0.0,708.0,696.0,696.0,476.0,332196.0
2018-11-19,WNLB,0.0,696.0,670.0,671.0,1034.0,701752.0
2018-11-20,WNLB,0.0,671.0,659.0,660.0,450.0,297660.0
2018-11-21,WNLB,0.0,660.0,650.0,651.0,290.0,189570.0
