Date,Symbol,Open,High,Low,Close,Volume,Value
2012-01-01,development,262.08,262.08,262.08,262.08,0,
2012-01-02,development,263.71,263.71,263.71,263.71,0,
2012-01-03,development,263.23,263.23,263.23,263.23,0,
2012-01-04,development,261.5,261.5,261.5,261.5,0,
2012-01-05,development,260.89,260.89,260.89,260.89,0,
2012-01-08,development,260.75,260.75,260.75,260.75,0,
2012-01-09,development,260.53,260.53,260.53,260.53,0,
2012-01-10,development,258.32,258.32,258.32,258.32,0,
2012-01-11,development,256.57,256.57,256.57,256.57,0,
2012-01-12,development,255.88,255.88,255.88,255.88,0,
2012-01-16,development,256.42,256.42,256.42,256.42,0,
2012-01-17,development,256.45,256.45,256.45,256.45,0,
2012-01-18,development,256.28,256.28,256.28,256.28,0,
2012-01-19,development,256.02,256.02,256.02,256.02,0,
2012-01-22,development,256.04,256.04,256.04,256.04,0,
2012-01-23,development,255.26,255.26,255.26,255.26,0,
2012-01-25,development,254.91,254.91,254.91,254.91,0,
2012-01-26,development,254.92,254.92,254.92,254.92,0,
2012-01-29,development,254.62,254.62,254.62,254.62,0,
2012-01-31,development,253.49,253.49,253.49,253.49,0,
2012-02-01,development,253.89,253.89,253.89,253.89,0,
2012-02-02,development,253.52,253.52,253.52,253.52,0,
2012-02-05,development,252.13,252.13,252.13,252.13,0,
2012-02-06,development,251.92,251.92,251.92,251.92,0,
2012-02-07,development,252.2,252.2,252.2,252.2,0,
2012-02-08,development,250.81,250.81,250.81,250.81,0,
2012-02-09,development,249.64,249.64,249.64,249.64,0,
2012-02-12,development,249.03,249.03,249.03,249.03,0,
2012-02-13,development,248.32,248.32,248.32,248.32,0,
2012-02-14,development,247.58,247.58,247.58,247.58,0,
2012-02-15,development,246.6,246.6,246.6,246.6,0,
2012-02-16,development,246.54,246.54,246.54,246.54,0,
2012-02-21,development,246.13,246.13,246.13,246.13,0,
2012-02-23,development,245.64,245.64,245.64,245.64,0,
2012-02-26,development,235.36,235.36,235.36,235.36,0,
2012-02-27,development,234.95,234.95,234.95,234.95,0,
2012-02-28,development,235.05,235.05,235.05,235.05,0,
2012-02-29,development,235.19,235.19,235.19,235.19,0,
2012-03-01,development,235.24,235.24,235.24,235.24,0,
2012-03-04,development,235.69,235.69,235.69,235.69,0,
2012-03-05,development,236.16,236.16,236.16,236.16,0,
2012-03-06,development,235.36,235.36,235.36,235.36,0,
2012-03-11,development,234.85,234.85,234.85,234.85,0,
2012-03-12,development,234.01,234.01,234.01,234.01,0,
2012-03-13,development,234.6,234.6,234.6,234.6,0,
2012-03-14,development,234.33,234.33,234.33,234.33,0,
2012-03-15,development,234.86,234.86,234.86,234.86,0,
2012-03-18,development,237.75,237.75,237.75,237.75,0,
2012-03-19,development,237.84,237.84,237.84,237.84,0,
2012-03-20,development,237.6,237.6,237.6,237.6,0,
2012-03-21,development,236.15,236.15,236.15,236.15,0,
2012-03-25,development,235.64,235.64,235.64,235.64,0,
2012-03-26,development,235.15,235.15,235.15,235.15,0,
2012-03-27,development,234.39,234.39,234.39,234.39,0,
2012-03-28,development,235.3,235.3,235.3,235.3,0,
2012-03-29,development,233.65,233.65,233.65,233.65,0,
2012-04-01,development,233.17,233.17,233.17,233.17,0,
2012-04-02,development,232.72,232.72,232.72,232.72,0,
2012-04-03,development,231.97,231.97,231.97,231.97,0,
2012-04-04,development,230.97,230.97,230.97,230.97,0,
2012-04-05,development,231.15,231.15,231.15,231.15,0,
2012-04-08,development,231.67,231.67,231.67,231.67,0,
2012-04-09,development,232.03,232.03,232.03,232.03,0,
2012-04-10,development,231.61,231.61,231.61,231.61,0,
2012-04-11,development,232.5,232.5,232.5,232.5,0,
2012-04-12,development,236.06,236.06,236.06,236.06,0,
2012-04-15,development,240.26,240.26,240.26,240.26,0,
2012-04-16,development,242.44,242.44,242.44,242.44,0,
2012-04-17,development,244.3,244.3,244.3,244.3,0,
2012-04-18,development,246.45,246.45,246.45,246.45,0,
2012-04-19,development,249.07,249.07,249.07,249.07,0,
2012-04-22,development,253.59,253.59,253.59,253.59,0,
2012-04-24,development,257.13,257.13,257.13,257.13,0,
2012-04-25,development,262.62,262.62,262.62,262.62,0,
2012-04-26,development,268.42,268.42,268.42,268.42,0,
2012-04-29,development,272.78,272.78,272.78,272.78,0,
2012-04-30,development,272.12,272.12,272.12,272.12,0,
2012-05-02,development,270.89,270.89,270.89,270.89,0,
2012-05-03,development,273.19,273.19,273.19,273.19,0,
2012-05-07,development,275.89,275.89,275.89,275.89,0,
2012-05-08,development,278.59,278.59,278.59,278.59,0,
2012-05-09,development,276.92,276.92,276.92,276.92,0,
2012-05-10,development,275.44,275.44,275.44,275.44,0,
2012-05-13,development,272.9,272.9,272.9,272.9,0,
2012-05-14,development,270.81,270.81,270.81,270.81,0,
2012-05-15,development,273.55,273.55,273.55,273.55,0,
2012-05-16,development,276.27,276.27,276.27,276.27,0,
2012-05-17,development,277.91,277.91,277.91,277.91,0,
2012-05-20,development,274.4,274.4,274.4,274.4,0,
2012-05-21,development,275.22,275.22,275.22,275.22,0,
2012-05-22,development,273.39,273.39,273.39,273.39,0,
2012-05-23,development,272.28,272.28,272.28,272.28,0,
2012-05-24,development,270.54,270.54,270.54,270.54,0,
2012-05-27,development,272.78,272.78,272.78,272.78,0,
2012-05-29,development,269.26,269.26,269.26,269.26,0,
2012-05-30,development,267.46,267.46,267.46,267.46,0,
2012-05-31,development,264.88,264.88,264.88,264.88,0,
2012-06-03,development,264.37,264.37,264.37,264.37,0,
2012-06-04,development,262.45,262.45,262.45,262.45,0,
2012-06-05,development,258.69,258.69,258.69,258.69,0,
2012-06-06,development,255.33,255.33,255.33,255.33,0,
2012-06-07,development,254.09,254.09,254.09,254.09,0,
2012-06-10,development,251.61,251.61,251.61,251.61,0,
2012-06-11,development,251.55,251.55,251.55,251.55,0,
2012-06-12,development,250.34,250.34,250.34,250.34,0,
2012-06-13,development,249.44,249.44,249.44,249.44,0,
2012-06-14,development,248.16,248.16,248.16,248.16,0,
2012-06-17,development,246.94,246.94,246.94,246.94,0,
2012-06-18,development,247.02,247.02,247.02,247.02,0,
2012-06-19,development,245.13,245.13,245.13,245.13,0,
2012-06-20,development,245.22,245.22,245.22,245.22,0,
2012-06-21,development,245.5,245.5,245.5,245.5,0,
2012-06-25,development,246.49,246.49,246.49,246.49,0,
2012-06-26,development,245.84,245.84,245.84,245.84,0,
2012-06-27,development,246.86,246.86,246.86,246.86,0,
2012-06-28,development,247.62,247.62,247.62,247.62,0,
