Date,Symbol,Open,High,Low,Close,Volume,Value
2012-01-01,finance,268.36,268.36,268.36,268.36,0,
2012-01-02,finance,268.12,268.12,268.12,268.12,0,
2012-01-03,finance,267.77,267.77,267.77,267.77,0,
2012-01-04,finance,267.34,267.34,267.34,267.34,0,
2012-01-05,finance,267.43,267.43,267.43,267.43,0,
2012-01-08,finance,267.61,267.61,267.61,267.61,0,
2012-01-09,finance,267.55,267.55,267.55,267.55,0,
2012-01-10,finance,268.23,268.23,268.23,268.23,0,
2012-01-11,finance,268.16,268.16,268.16,268.16,0,
2012-01-12,finance,268.32,268.32,268.32,268.32,0,
2012-01-16,finance,268.01,268.01,268.01,268.01,0,
2012-01-17,finance,268.17,268.17,268.17,268.17,0,
2012-01-18,finance,267.94,267.94,267.94,267.94,0,
2012-01-19,finance,267.62,267.62,267.62,267.62,0,
2012-01-22,finance,267.99,267.99,267.99,267.99,0,
2012-01-23,finance,267.9,267.9,267.9,267.9,0,
2012-01-25,finance,267.57,267.57,267.57,267.57,0,
2012-01-26,finance,267.22,267.22,267.22,267.22,0,
2012-01-29,finance,266.19,266.19,266.19,266.19,0,
2012-01-31,finance,265.36,265.36,265.36,265.36,0,
2012-02-01,finance,265.08,265.08,265.08,265.08,0,
2012-02-02,finance,264.68,264.68,264.68,264.68,0,
2012-02-05,finance,264.81,264.81,264.81,264.81,0,
2012-02-06,finance,264.41,264.41,264.41,264.41,0,
2012-02-07,finance,263.68,263.68,263.68,263.68,0,
2012-02-08,finance,263.4,263.4,263.4,263.4,0,
2012-02-09,finance,262.8,262.8,262.8,262.8,0,
2012-02-12,finance,261.99,261.99,261.99,261.99,0,
2012-02-13,finance,261.36,261.36,261.36,261.36,0,
2012-02-14,finance,261.21,261.21,261.21,261.21,0,
2012-02-15,finance,261.52,261.52,261.52,261.52,0,
2012-02-16,finance,260.99,260.99,260.99,260.99,0,
2012-02-21,finance,261.23,261.23,261.23,261.23,0,
2012-02-23,finance,260.76,260.76,260.76,260.76,0,
2012-02-26,finance,260.51,260.51,260.51,260.51,0,
2012-02-27,finance,259.65,259.65,259.65,259.65,0,
2012-02-28,finance,260.14,260.14,260.14,260.14,0,
2012-02-29,finance,260.37,260.37,260.37,260.37,0,
2012-03-01,finance,260.45,260.45,260.45,260.45,0,
2012-03-04,finance,260.08,260.08,260.08,260.08,0,
2012-03-05,finance,260.36,260.36,260.36,260.36,0,
2012-03-06,finance,260.42,260.42,260.42,260.42,0,
2012-03-11,finance,259.69,259.69,259.69,259.69,0,
2012-03-12,finance,259.24,259.24,259.24,259.24,0,
2012-03-13,finance,259.02,259.02,259.02,259.02,0,
2012-03-14,finance,258.37,258.37,258.37,258.37,0,
2012-03-15,finance,258.68,258.68,258.68,258.68,0,
