Date,Symbol,Open,High,Low,Close,Volume,Value
2012-01-01,hotels_and_tourism,405.52,405.52,405.52,405.52,0,
2012-01-02,hotels_and_tourism,404.76,404.76,404.76,404.76,0,
2012-01-03,hotels_and_tourism,404.76,404.76,404.76,405.14,0,
2012-01-04,hotels_and_tourism,406.28,406.28,406.28,406.28,0,
2012-01-05,hotels_and_tourism,406.28,406.28,406.28,406.28,0,
2012-01-08,hotels_and_tourism,405.71,405.71,405.71,405.71,0,
2012-01-09,hotels_and_tourism,405.71,405.71,405.71,405.71,0,
2012-01-10,hotels_and_tourism,405.71,405.71,405.71,405.71,0,
2012-01-11,hotels_and_tourism,405.71,405.71,405.71,405.71,0,
2012-01-12,hotels_and_tourism,405.71,405.71,405.71,405.71,0,
2012-01-16,hotels_and_tourism,405.71,405.71,405.71,406.85,0,
2012-01-17,hotels_and_tourism,407.23,407.23,407.23,407.23,0,
2012-01-18,hotels_and_tourism,407.23,407.23,407.23,407.23,0,
2012-01-19,hotels_and_tourism,407.23,407.23,407.23,407.23,0,
2012-01-22,hotels_and_tourism,407.23,407.23,407.23,407.23,0,
2012-01-23,hotels_and_tourism,411.3,411.3,411.3,411.3,0,
2012-01-25,hotels_and_tourism,410.54,410.54,410.54,410.54,0,
2012-01-26,hotels_and_tourism,411.3,411.3,411.3,411.3,0,
2012-01-29,hotels_and_tourism,411.3,411.3,411.3,411.3,0,
2012-01-31,hotels_and_tourism,410.73,410.73,410.73,410.73,0,
2012-02-01,hotels_and_tourism,433.79,433.79,433.79,433.79,0,
2012-02-02,hotels_and_tourism,433.79,433.79,433.79,433.79,0,
2012-02-05,hotels_and_tourism,433.79,433.79,433.79,433.79,0,
2012-02-06,hotels_and_tourism,433.79,433.79,433.79,433.79,0,
2012-02-07,hotels_and_tourism,433.41,433.41,433.41,433.41,0,
2012-02-08,hotels_and_tourism,433.41,433.41,433.41,433.41,0,
2012-02-09,hotels_and_tourism,433.03,433.03,433.03,433.03,0,
2012-02-12,hotels_and_tourism,433.03,433.03,433.03,428.96,0,
2012-02-13,hotels_and_tourism,433.03,433.03,433.03,428.96,0,
2012-02-14,hotels_and_tourism,433.03,433.03,433.03,428.96,0,
2012-02-15,hotels_and_tourism,433.03,433.03,433.03,428.96,0,
2012-02-16,hotels_and_tourism,433.03,433.03,433.03,428.96,0,
2012-02-21,hotels_and_tourism,428.4,428.4,428.4,428.4,0,
2012-02-23,hotels_and_tourism,427.27,427.27,427.27,427.27,0,
2012-02-26,hotels_and_tourism,426.13,426.13,426.13,426.13,0,
2012-02-27,hotels_and_tourism,430.39,430.39,430.39,430.39,0,
2012-02-28,hotels_and_tourism,430.01,430.01,430.01,430.01,0,
2012-02-29,hotels_and_tourism,429.44,429.44,429.44,429.44,0,
2012-03-01,hotels_and_tourism,429.44,429.44,429.44,429.44,0,
2012-03-04,hotels_and_tourism,429.44,429.44,429.44,429.44,0,
2012-03-05,hotels_and_tourism,430.01,430.01,430.01,430.01,0,
2012-03-06,hotels_and_tourism,432.72,432.72,432.72,432.72,0,
2012-03-11,hotels_and_tourism,432.72,432.72,432.72,432.72,0,
2012-03-12,hotels_and_tourism,433.28,433.28,433.28,433.28,0,
2012-03-13,hotels_and_tourism,433.28,433.28,433.28,433.28,0,
2012-03-14,hotels_and_tourism,433.28,433.28,433.28,433.28,0,
2012-03-15,hotels_and_tourism,432.91,432.91,432.91,432.91,0,
2012-03-18,hotels_and_tourism,432.91,432.91,432.91,432.91,0,
2012-03-19,hotels_and_tourism,432.34,432.34,432.34,432.34,0,
