Date,Symbol,Open,High,Low,Close,Volume,Value
2018-07-17,life_insurance,6199.45,6243.03,6120.55,6125.34,22671,17945182.0
2018-07-18,life_insurance,6125.34,6152.67,6044.83,6057.69,0,
2018-07-19,life_insurance,6057.69,6080.65,6007.91,6014.14,14421,10738088.0
2018-07-22,life_insurance,6014.14,6014.14,5928.55,5943.86,14402,11557537.0
2018-07-23,life_insurance,5943.86,6004.85,5932.42,5998.72,12487,9386717.0
2018-07-24,life_insurance,5998.72,6113.7,5998.72,6019.33,18264,12392465.0
2018-07-25,life_insurance,5998.72,6027.27,5977.18,5991.26,11396,8889702.0
2018-07-26,life_insurance,5991.26,5991.26,5931.97,5942.18,19914,16015921.0
2018-07-29,life_insurance,5942.18,6003.94,5942.18,5994.85,16456,13861770.0
2018-07-30,life_insurance,5994.85,5995.22,5957.79,5974.34,11283,9139680.0
2018-07-31,life_insurance,5946.73,5946.73,5946.73,5946.73,14408,11022810.0
2018-08-01,life_insurance,5946.73,5978.35,5938.69,5975.57,25110,18292446.0
2018-08-02,life_insurance,5975.57,5979.98,5944.31,5949.51,23653,21869655.0
2018-08-05,life_insurance,5949.51,5980.02,5938.07,5953.15,8173,6305472.0
2018-08-06,life_insurance,5953.15,5999.06,5920.53,5936.42,12614,11295473.0
2018-08-07,life_insurance,5936.42,5952.45,5892.71,5896.59,15907,13504334.0
2018-08-08,life_insurance,5896.59,5911.67,5867.24,5874.23,15167,10895360.0
2018-08-09,life_insurance,5874.23,5880.49,5761.36,5771.4,36832,32264749.0
2018-08-12,life_insurance,5771.4,5806.14,5559.18,5578.03,59775,56106237.0
2018-08-13,life_insurance,5578.03,5699.83,5495.62,5688.88,24453,19875354.0
2018-08-14,life_insurance,5688.88,5714.6,5644.97,5701.89,19558,17908560.0
2018-08-15,life_insurance,5701.89,5834.25,5686.8,5831.71,27368,21230858.0
2018-08-16,life_insurance,5831.71,5882.06,5779.91,5801.84,31602,23963437.0
2018-08-19,life_insurance,5801.84,5823.85,5716.26,5736.98,21926,15601578.0
2018-08-20,life_insurance,5736.98,5725.54,5646.71,5661.78,24684,17331860.0
2018-08-21,life_insurance,5736.98,5681.04,5633.97,5661.27,11900,8623806.0
2018-08-22,life_insurance,5661.27,5661.27,5593.19,5604.67,19588,13662418.0
2018-08-23,life_insurance,5604.67,5604.83,5566.03,5566.03,29907,20766548.0
2018-08-26,life_insurance,5566.03,5586.68,5533.98,5564.15,13100,9449082.0
2018-08-28,life_insurance,5564.15,5579.95,5522.23,5533.12,28553,23195708.0
2018-08-29,life_insurance,5533.12,5542.27,5493.61,5494.94,21971,19386718.0
2018-08-30,life_insurance,5494.94,5527.7,5476.63,5521.15,25897,21388379.0
2018-09-02,life_insurance,5521.15,5539.19,5494.8,5520.07,43364,36113824.0
2018-09-03,life_insurance,5592.55,5592.55,5592.55,5592.55,142939,123287728.0
2018-09-04,life_insurance,5592.55,5629.26,5553.21,5592.01,46427,38702534.0
2018-09-05,life_insurance,5592.01,5734.22,5598.88,5687.2,57074,42622742.0
2018-09-06,life_insurance,5592.01,5725.61,5607.65,5648.38,51838,36593598.0
2018-09-09,life_insurance,5648.38,5648.38,5566.39,5580.96,20323,16396400.0
2018-09-10,life_insurance,5580.96,5598.59,5558.0,5560.78,16112,11813691.0
2018-09-11,life_insurance,5560.78,5611.85,5560.78,5579.41,21541,17048813.0
2018-09-12,life_insurance,5579.41,5613.7,5561.63,5583.39,9926,8160813.0
2018-09-13,life_insurance,5583.39,5619.35,5568.77,5572.21,29102,22476777.0
2018-09-16,life_insurance,5572.21,5694.84,5572.21,5620.71,36352,25784893.0
2018-09-17,life_insurance,5572.21,5807.0,5612.69,5740.44,43167,30367943.0
2018-09-18,life_insurance,5740.44,5802.22,5713.99,5760.05,65227,42091545.0
2018-09-20,life_insurance,5760.05,5765.13,5680.24,5680.24,24123,16899707.0
2018-09-23,life_insurance,5760.05,5680.24,5630.58,5656.77,26155,19198591.0
2018-09-25,life_insurance,5656.77,5706.77,5662.85,5694.13,35797,26083827.0
2018-09-26,life_insurance,5694.13,5748.59,5697.85,5724.61,51524,40760998.0
2018-09-27,life_insurance,5724.61,5740.63,5684.38,5695.54,31790,26429281.0
2018-09-30,life_insurance,5695.54,5734.39,5668.15,5676.53,25691,19893292.0
2018-10-01,life_insurance,5676.53,5691.95,5597.97,5597.97,28676,21224790.0
2018-10-02,life_insurance,5597.97,5644.78,5594.83,5612.59,35336,25625368.0
2018-10-03,life_insurance,5612.59,5612.59,5568.45,5575.14,33352,26595406.0
2018-10-04,life_insurance,5575.14,5600.6,5545.74,5575.69,39164,27647461.0
2018-10-07,life_insurance,5521.4,5521.4,5521.4,5521.4,35561,28480371.0
2018-10-08,life_insurance,5516.69,5516.69,5516.69,5516.69,28482,20615044.0
2018-10-09,life_insurance,5516.69,5547.72,5498.06,5498.06,24660,18413840.0
2018-10-10,life_insurance,5498.06,5501.82,5475.17,5496.88,13244,9722788.0
2018-10-11,life_insurance,5496.88,5522.77,5460.57,5504.65,22900,18015339.0
2018-10-14,life_insurance,5504.65,5567.83,5508.98,5562.14,8159,5752777.0
2018-10-15,life_insurance,5562.14,5583.1,5532.46,5564.78,9594,6743703.0
2018-10-21,life_insurance,5564.78,5599.48,5564.78,5599.48,2211,1591963.0
2018-10-22,life_insurance,5599.48,5602.25,5559.87,5580.72,10629,7393984.0
2018-10-23,life_insurance,5580.72,5581.19,5544.22,5549.09,12998,10411276.0
2018-10-24,life_insurance,5549.09,5590.91,5544.69,5575.46,18129,11630889.0
2018-10-25,life_insurance,5575.46,5575.7,5553.17,5563.07,17441,10893573.0
2018-10-28,life_insurance,5563.07,5563.07,5503.78,5521.47,18525,13753913.0
2018-10-29,life_insurance,5509.5,5509.5,5509.5,5509.5,22534,17183072.0
2018-10-30,life_insurance,5509.5,5551.24,5503.28,5533.17,30645,31016069.0
2018-10-31,life_insurance,5533.17,5548.29,5495.05,5532.93,15945,14786244.0
2018-11-01,life_insurance,5532.93,5555.44,5507.33,5546.25,27142,28494615.0
2018-11-04,life_insurance,5546.25,5539.3,5447.28,5458.73,51516,55830775.0
2018-11-05,life_insurance,5458.73,5528.07,5439.28,5508.35,18835,13672506.0
2018-11-06,life_insurance,5468.33,5468.33,5468.33,5468.33,890,717531.0
2018-11-11,life_insurance,5483.5,5489.08,5423.32,5439.22,3705,2597082.0
2018-11-12,life_insurance,5436.43,5436.43,5345.22,5348.69,9566,7552021.0
2018-11-13,life_insurance,5350.98,5435.92,5334.16,5432.82,13553,11711925.0
2018-11-14,life_insurance,5433.52,5433.93,5376.96,5422.88,10055,8055211.0
2018-11-15,life_insurance,5427.13,5463.58,5415.35,5421.49,12365,8727530.0
2018-11-18,life_insurance,5422.42,5422.42,5371.32,5372.84,15816,12050110.0
2018-11-19,life_insurance,5361.39,5386.12,5340.07,5342.38,13197,10363245.0
2018-11-20,life_insurance,5342.97,5354.1,5303.84,5318.52,11243,7804794.0
2018-11-21,life_insurance,5311.65,5350.78,5296.94,5350.69,0,
2018-11-22,life_insurance,5343.83,5355.27,5316.24,5315.27,8169,8012187.0
2018-11-25,life_insurance,5314.04,5315.15,5270.87,5272.95,14661,11067688.0
2018-11-26,life_insurance,5273.32,5273.32,5203.61,5205.9,0,24981400.0
2018-11-27,life_insurance,5205.08,5243.93,5191.96,5202.57,26777,17839079.0
2018-11-28,life_insurance,5204.54,5210.64,5179.82,5189.12,27967,19844469.0
2018-11-29,life_insurance,5188.93,5189.29,5128.71,5135.64,0,33202800.0
2018-12-02,life_insurance,5112.75,5119.04,5014.84,5029.96,68003,49605733.0
2018-12-03,life_insurance,5013.94,5102.86,4997.51,5043.54,38890,25356671.0
2018-12-04,life_insurance,5036.64,5080.26,5033.71,5063.54,30223,22795756.0
2018-12-05,life_insurance,5062.62,5062.62,4967.53,4967.53,37865,29128376.0
2018-12-06,life_insurance,4928.62,5015.82,4923.9,5011.6,26510,17595232.0
2018-12-09,life_insurance,5025.34,5025.34,4992.23,5018.24,21068,16414040.0
2018-12-10,life_insurance,5004.51,5119.66,5004.51,5116.94,33159,25123289.0
2018-12-11,life_insurance,5084.89,5124.98,5084.89,5091.21,29585,23554758.0
2018-12-12,life_insurance,5086.63,5114.85,5077.13,5114.85,22649,17917652.0
2018-12-13,life_insurance,5107.42,5161.17,5091.3,5145.13,0,14835600.0
2018-12-16,life_insurance,5141.2,5287.22,5141.2,5278.5,28976,20695371.0
2018-12-17,life_insurance,5281.28,5484.34,5281.28,5474.46,37620,25810788.0
2018-12-18,life_insurance,5476.31,5540.74,5391.4,5424.52,59178,38687382.0
2018-12-19,life_insurance,5417.98,5445.92,5325.13,5387.97,62178,49107008.0
2018-12-20,life_insurance,5401.06,5434.85,5379.79,5407.48,42560,26530663.0
2018-12-23,life_insurance,5450.97,5676.21,5450.97,5654.81,83481,60441483.0
2018-12-24,life_insurance,5667.19,5818.65,5586.59,5723.09,145481,112869874.0
2018-12-25,life_insurance,5716.6,5716.6,5648.16,5693.73,40883,28020691.0
