Date,Symbol,Open,High,Low,Close,Volume,Value
2016-04-21,manufacturing_and_processing,2249.57,2249.57,2249.57,2249.57,,
2016-04-24,manufacturing_and_processing,2319.37,2319.37,2319.37,2319.37,,
2016-04-25,manufacturing_and_processing,2319.37,2319.37,2319.37,2319.37,,
2016-04-26,manufacturing_and_processing,2354.24,2354.24,2354.24,2354.24,,
2016-04-27,manufacturing_and_processing,2354.24,2354.24,2354.24,2354.24,,
2016-04-28,manufacturing_and_processing,2354.24,2354.24,2354.24,2354.24,,
2016-05-02,manufacturing_and_processing,2354.24,2354.24,2354.24,2354.24,,
2016-05-03,manufacturing_and_processing,2387.97,2387.97,2387.97,2387.97,,
2016-05-04,manufacturing_and_processing,2387.97,2387.97,2387.97,2387.97,,
2016-05-05,manufacturing_and_processing,2350.61,2350.61,2350.61,2350.61,,
2016-05-08,manufacturing_and_processing,2268.62,2268.62,2268.62,2268.62,,
2016-05-09,manufacturing_and_processing,2268.62,2268.62,2268.62,2268.62,,
2016-05-10,manufacturing_and_processing,2297.21,2297.21,2297.21,2297.21,,
2016-05-11,manufacturing_and_processing,2284.18,2284.18,2284.18,2284.18,,
2016-05-12,manufacturing_and_processing,2284.18,2284.18,2284.18,2284.18,,
2016-05-15,manufacturing_and_processing,2284.18,2284.18,2284.18,2284.18,,
2016-05-16,manufacturing_and_processing,2284.18,2284.18,2284.18,2284.18,,
2016-05-17,manufacturing_and_processing,2284.18,2284.18,2284.18,2284.18,,
2016-05-18,manufacturing_and_processing,2253.05,2253.05,2253.05,2253.05,,
2016-05-19,manufacturing_and_processing,2218.39,2218.39,2218.39,2218.39,,
2016-05-22,manufacturing_and_processing,2184.45,2184.45,2184.45,2184.45,,
2016-05-23,manufacturing_and_processing,2187.65,2187.65,2187.65,2187.65,,
2016-05-24,manufacturing_and_processing,2121.8,2121.8,2121.8,2121.8,,
2016-05-25,manufacturing_and_processing,2090.25,2090.25,2090.25,2090.25,,
2016-05-26,manufacturing_and_processing,2153.56,2153.56,2153.56,2153.56,,
2016-05-29,manufacturing_and_processing,2153.56,2153.56,2153.56,2153.56,,
2016-05-30,manufacturing_and_processing,2287.44,2287.44,2287.44,2287.44,0.0,5962930.0
2016-05-31,manufacturing_and_processing,2322.73,2322.73,2322.73,2322.73,0.0,346810.0
2016-06-01,manufacturing_and_processing,2308.15,2308.15,2308.15,2308.15,0.0,1720000.0
2016-06-02,manufacturing_and_processing,2313.34,2313.34,2313.34,2313.34,0.0,2759800.0
2016-06-05,manufacturing_and_processing,2313.39,2313.39,2313.39,2313.39,0.0,5229840.0
2016-06-06,manufacturing_and_processing,2313.39,2313.39,2313.39,2313.39,0.0,
2016-06-07,manufacturing_and_processing,2313.39,2313.39,2287.55,2313.39,0.0,4803580.0
2016-06-08,manufacturing_and_processing,2313.39,2339.33,2292.68,2339.33,0.0,5900600.0
2016-06-09,manufacturing_and_processing,2313.39,2339.33,2292.68,2339.33,0.0,5900600.0
2016-06-12,manufacturing_and_processing,2339.33,2339.33,2339.33,2339.33,0.0,
2016-06-13,manufacturing_and_processing,2313.34,2313.34,2313.34,2313.34,0.0,3450000.0
2016-06-14,manufacturing_and_processing,2355.65,2355.65,2355.65,2355.65,0.0,2814840.0
2016-06-15,manufacturing_and_processing,2373.65,2373.65,2373.65,2373.65,0.0,2180340.0
2016-06-16,manufacturing_and_processing,2392.01,2392.01,2392.01,2392.01,0.0,3541110.0
2016-06-19,manufacturing_and_processing,2392.01,2396.1,2396.1,2396.1,0.0,734810.0
2016-06-20,manufacturing_and_processing,2396.1,2359.78,2359.78,2359.78,0.0,5175000.0
2016-06-21,manufacturing_and_processing,2396.1,2359.78,2359.78,2359.78,0.0,5175000.0
2016-06-22,manufacturing_and_processing,2359.78,2395.58,2359.83,2395.58,0.0,1386930.0
2016-06-23,manufacturing_and_processing,2430.44,2430.44,2430.44,2430.44,0.0,420460.0
2016-06-26,manufacturing_and_processing,2430.44,2394.11,2394.11,2394.11,0.0,4550000.0
2016-06-27,manufacturing_and_processing,2394.11,2398.48,2398.48,2398.48,0.0,32680.0
2016-06-28,manufacturing_and_processing,2398.48,2412.87,2372.63,2412.87,0.0,2470310.0
2016-06-29,manufacturing_and_processing,2412.87,2417.31,2417.31,2417.31,0.0,3398000.0
2016-06-30,manufacturing_and_processing,2417.31,2407.34,2407.34,2407.34,0.0,700000.0
2016-07-03,manufacturing_and_processing,2407.34,2407.34,2407.34,2407.34,0.0,
2016-07-04,manufacturing_and_processing,2407.34,2407.34,2407.34,2407.34,0.0,
2016-07-05,manufacturing_and_processing,2407.34,2430.46,2407.34,2430.46,0.0,2071520.0
2016-07-06,manufacturing_and_processing,2430.46,2451.9,2435.51,2451.9,0.0,1246250.0
2016-07-10,manufacturing_and_processing,2457.36,2457.36,2457.36,2457.36,0.0,2061500.0
2016-07-11,manufacturing_and_processing,2457.36,2490.64,2462.95,2485.97,0.0,4071850.0
2016-07-12,manufacturing_and_processing,2485.97,2516.87,2492.11,2516.87,0.0,8466540.0
2016-07-13,manufacturing_and_processing,2516.87,2550.83,2523.62,2550.83,0.0,467960.0
2016-07-14,manufacturing_and_processing,2550.83,2581.52,2558.26,2581.52,0.0,230570.0
2016-07-17,manufacturing_and_processing,2581.52,2621.96,2589.56,2621.96,0.0,6582630.0
2016-07-18,manufacturing_and_processing,2621.96,2666.42,2630.82,2666.42,0.0,346240.0
2016-07-19,manufacturing_and_processing,2666.42,2706.66,2676.17,2706.66,0.0,301840.0
2016-07-20,manufacturing_and_processing,2706.66,2759.65,2717.23,2759.65,0.0,796780.0
2016-07-21,manufacturing_and_processing,2759.65,2829.77,2771.24,2828.73,0.0,11193300.0
2016-07-24,manufacturing_and_processing,2759.65,2829.77,2771.24,2828.73,0.0,11193300.0
2016-07-25,manufacturing_and_processing,2831.94,2831.94,2831.94,2831.94,0.0,3336840.0
2016-07-26,manufacturing_and_processing,2831.94,2819.12,2767.56,2767.56,0.0,
2016-07-27,manufacturing_and_processing,2767.56,2790.95,2754.42,2754.42,0.0,872520.0
2016-07-28,manufacturing_and_processing,2754.42,2742.42,2694.13,2694.13,0.0,1053790.0
2016-07-31,manufacturing_and_processing,2694.13,2693.04,2642.17,2657.24,0.0,3645930.0
2016-08-01,manufacturing_and_processing,2657.24,2634.02,2600.81,2614.66,0.0,6210760.0
2016-08-02,manufacturing_and_processing,2614.66,2648.69,2624.68,2648.69,0.0,1152940.0
2016-08-03,manufacturing_and_processing,2648.69,2637.98,2607.29,2607.29,0.0,594260.0
2016-08-04,manufacturing_and_processing,2556.02,2556.02,2556.02,2556.02,0.0,1103590.0
2016-08-07,manufacturing_and_processing,2556.02,2531.32,2474.03,2474.03,0.0,2372010.0
2016-08-08,manufacturing_and_processing,2474.03,2482.48,2448.8,2482.48,0.0,2853840.0
2016-08-09,manufacturing_and_processing,2482.48,2482.48,2482.48,2482.48,0.0,
2016-08-10,manufacturing_and_processing,2482.48,2541.4,2490.52,2541.4,0.0,860700.0
2016-08-11,manufacturing_and_processing,2541.4,2558.99,2535.12,2535.12,0.0,2872690.0
2016-08-14,manufacturing_and_processing,2535.12,2535.12,2535.12,2535.12,0.0,8445000.0
