Date,Symbol,Open,High,Low,Close,Volume,Value
2012-01-01,nepse,318.74,318.74,318.74,318.74,319,
2012-01-02,nepse,324.38,324.38,324.38,324.38,324,
2012-01-03,nepse,324.15,324.15,324.15,324.15,324,
2012-01-04,nepse,318.99,318.99,318.99,318.99,319,
2012-01-05,nepse,319.56,319.56,319.56,319.56,320,
2012-01-08,nepse,318.91,318.91,318.91,318.91,319,
2012-01-09,nepse,318.91,318.91,318.91,318.91,319,
2012-01-10,nepse,319.6,319.6,319.6,319.6,320,
2012-01-11,nepse,321.39,321.39,321.39,321.39,321,
2012-01-12,nepse,323.58,323.58,323.58,323.58,324,
2012-01-16,nepse,322.16,322.16,322.16,322.16,322,
2012-01-17,nepse,322.13,322.13,322.13,322.13,322,
2012-01-18,nepse,319.92,319.92,319.92,319.92,320,
2012-01-19,nepse,320.53,320.53,320.53,320.53,321,
2012-01-22,nepse,320.18,320.18,320.18,320.18,320,
2012-01-23,nepse,317.84,317.84,317.84,317.84,318,
2012-01-25,nepse,317.59,317.59,317.59,317.59,318,
2012-01-26,nepse,316.67,316.67,316.67,316.67,317,
2012-01-29,nepse,316.52,316.52,316.52,316.52,317,
2012-01-31,nepse,315.95,315.95,315.95,315.95,316,
2012-02-01,nepse,316.76,316.76,316.76,316.76,317,
2012-02-02,nepse,316.43,316.43,316.43,316.43,316,
2012-02-05,nepse,314.7,314.7,314.7,314.7,315,
2012-02-06,nepse,313.94,313.94,313.94,313.94,314,
2012-02-07,nepse,313.07,313.07,313.07,313.07,313,
2012-02-08,nepse,312.43,312.43,312.43,312.43,312,
2012-02-09,nepse,312.09,312.09,312.09,312.09,312,
2012-02-12,nepse,311.87,311.87,311.87,311.87,312,
2012-02-13,nepse,312.79,312.79,312.79,312.79,313,
2012-02-14,nepse,311.86,311.86,311.86,311.86,312,
2012-02-15,nepse,311.76,311.76,311.76,311.76,312,
2012-02-16,nepse,312.12,312.12,312.12,312.12,312,
2012-02-21,nepse,311.86,311.86,311.86,311.86,312,
2012-02-23,nepse,312.58,312.58,312.58,312.58,313,
2012-02-26,nepse,312.45,312.45,312.45,312.45,312,
2012-02-27,nepse,312.33,312.33,312.33,312.33,312,
2012-02-28,nepse,314.69,314.69,314.69,314.69,315,
2012-02-29,nepse,315.12,315.12,315.12,315.12,315,
2012-03-01,nepse,317.36,317.36,317.36,317.36,317,
2012-03-04,nepse,315.74,315.74,315.74,315.74,316,
2012-03-05,nepse,316.43,316.43,316.43,316.43,316,
2012-03-06,nepse,315.86,315.86,315.86,315.86,316,
2012-03-11,nepse,315.41,315.41,315.41,315.41,315,
2012-03-12,nepse,313.83,313.83,313.83,313.83,314,
2012-03-13,nepse,313.92,313.92,313.92,313.92,314,
2012-03-14,nepse,313.03,313.03,313.03,313.03,313,
2012-03-15,nepse,310.79,310.79,310.79,310.79,311,
2012-03-18,nepse,303.2,303.2,303.2,303.2,303,
2012-03-19,nepse,302.8,302.8,302.8,302.8,303,
2012-03-20,nepse,301.6,301.6,301.6,301.6,302,
2012-03-21,nepse,303.69,303.69,303.69,303.69,304,
2012-03-25,nepse,302.67,302.67,302.67,302.67,303,
2012-03-26,nepse,300.79,300.79,300.79,300.79,301,
2012-03-27,nepse,300.48,300.48,300.48,300.48,300,
2012-03-28,nepse,300.14,300.14,300.14,300.14,300,
2012-03-29,nepse,298.89,298.89,298.89,298.89,299,
2012-04-01,nepse,299.34,299.34,299.34,299.34,299,
2012-04-02,nepse,301.3,301.3,301.3,301.3,301,
2012-04-03,nepse,301.69,301.69,301.69,301.69,302,
2012-04-04,nepse,301.87,301.87,301.87,301.87,302,
2012-04-05,nepse,302.43,302.43,302.43,302.43,302,
2012-04-08,nepse,302.9,302.9,302.9,302.9,303,
2012-04-09,nepse,303.7,303.7,303.7,303.7,304,
2012-04-10,nepse,306.01,306.01,306.01,306.01,306,
2012-04-11,nepse,309.19,309.19,309.19,309.19,309,
2012-04-12,nepse,319.94,319.94,319.94,319.94,320,
2012-04-15,nepse,337.35,337.35,337.35,337.35,337,
2012-04-16,nepse,336.29,336.29,336.29,336.29,336,
2012-04-17,nepse,336.29,336.29,336.29,336.29,336,
2012-04-18,nepse,347.91,347.91,347.91,347.91,348,
2012-04-19,nepse,354.77,354.77,354.77,354.77,355,
2012-04-22,nepse,369.09,369.09,369.09,369.09,369,
2012-04-24,nepse,388.34,388.34,388.34,388.34,388,
2012-04-25,nepse,409.41,409.41,409.41,409.41,409,
2012-04-26,nepse,425.46,425.46,425.46,425.46,425,
2012-04-29,nepse,422.99,422.99,422.99,422.99,423,
2012-04-30,nepse,404.73,404.73,404.73,404.73,405,
2012-05-02,nepse,384.38,384.38,384.38,384.38,384,
2012-05-03,nepse,404.24,404.24,404.24,404.24,404,
2012-05-07,nepse,428.43,428.43,428.43,428.43,428,
2012-05-08,nepse,432.82,432.82,432.82,432.82,433,
2012-05-09,nepse,419.77,419.77,419.77,419.77,420,
2012-05-10,nepse,411.39,411.39,411.39,411.39,411,
2012-05-13,nepse,390.62,390.62,390.62,390.62,391,
2012-05-14,nepse,373.18,373.18,373.18,373.18,373,
2012-05-15,nepse,391.89,391.89,391.89,391.89,392,
2012-05-16,nepse,412.19,412.19,412.19,412.19,412,
2012-05-17,nepse,416.37,416.37,416.37,416.37,416,
2012-05-20,nepse,408.6,408.6,408.6,408.6,409,
2012-05-21,nepse,414.14,414.14,414.14,414.14,414,
2012-05-22,nepse,406.08,406.08,406.08,406.08,406,
2012-05-23,nepse,385.66,385.66,385.66,385.66,386,
2012-05-24,nepse,398.59,398.59,398.59,398.59,399,
2012-05-27,nepse,412.87,412.87,412.87,412.87,413,
2012-05-29,nepse,391.89,391.89,391.89,391.89,392,
2012-05-30,nepse,373.2,373.2,373.2,373.2,373,
2012-05-31,nepse,373.55,373.55,373.55,373.55,374,
2012-06-03,nepse,390.98,390.98,390.98,390.98,391,
2012-06-04,nepse,381.58,381.58,381.58,381.58,382,
2012-06-05,nepse,373.03,373.03,373.03,373.03,373,
2012-06-06,nepse,365.53,365.53,365.53,365.53,366,
2012-06-07,nepse,369.77,369.77,369.77,369.77,370,
2012-06-10,nepse,363.53,363.53,363.53,363.53,364,
2012-06-11,nepse,366.31,366.31,366.31,366.31,366,
2012-06-12,nepse,367.92,367.92,367.92,367.92,368,
2012-06-13,nepse,366.2,366.2,366.2,366.2,366,
2012-06-14,nepse,364.67,364.67,364.67,364.67,365,
2012-06-17,nepse,360.98,360.98,360.98,360.98,361,
2012-06-18,nepse,362.63,362.63,362.63,362.63,363,
2012-06-19,nepse,361.5,361.5,361.5,361.5,362,
2012-06-20,nepse,363.52,363.52,363.52,363.52,364,
2012-06-21,nepse,365.14,365.14,365.14,365.14,365,
2012-06-25,nepse,375.4,375.4,375.4,375.4,375,
2012-06-26,nepse,368.47,368.47,368.47,368.47,368,
2012-06-27,nepse,373.75,373.75,373.75,373.75,374,
2012-06-28,nepse,377.47,377.47,377.47,377.47,377,
2012-07-01,nepse,374.51,374.51,374.51,374.51,375,
2012-07-02,nepse,372.92,372.92,372.92,372.92,373,
2012-07-03,nepse,374.25,374.25,374.25,374.25,374,
2012-07-04,nepse,377.18,377.18,377.18,377.18,377,
2012-07-05,nepse,377.38,377.38,377.38,377.38,377,
2012-07-08,nepse,377.72,377.72,377.72,377.72,378,
2012-07-09,nepse,380.12,380.12,380.12,380.12,380,
2012-07-10,nepse,385.3,385.3,385.3,385.3,385,
2012-07-11,nepse,384.08,384.08,384.08,384.08,384,
2012-07-12,nepse,383.48,383.48,383.48,383.48,383,
2012-07-15,nepse,389.72,389.72,389.72,389.72,390,
2012-07-16,nepse,384.92,384.92,384.92,384.92,385,
2012-07-17,nepse,386.02,386.02,386.02,386.02,386,
2012-07-18,nepse,392.01,392.01,392.01,392.01,392,
2012-07-19,nepse,395.46,395.46,395.46,395.46,395,
2012-07-22,nepse,404.73,404.73,404.73,404.73,405,
2012-07-23,nepse,408.35,408.35,408.35,408.35,408,
2012-07-24,nepse,406.28,406.28,406.28,406.28,406,
2012-07-25,nepse,405.02,405.02,405.02,405.02,405,
2012-07-26,nepse,401.54,401.54,401.54,401.54,402,
2012-07-29,nepse,396.02,396.02,396.02,396.02,396,
2012-07-30,nepse,400.59,400.59,400.59,400.59,401,
2012-07-31,nepse,400.99,400.99,400.99,400.99,401,
2012-08-01,nepse,402.19,402.19,402.19,402.19,402,
2012-08-05,nepse,402.93,402.93,402.93,402.93,403,
2012-08-06,nepse,403.15,403.15,403.15,403.15,403,
2012-08-07,nepse,404.13,404.13,404.13,404.13,404,
2012-08-08,nepse,402.46,402.46,402.46,402.46,402,
2012-08-12,nepse,399.2,399.2,399.2,399.2,399,
2012-08-13,nepse,399.78,399.78,399.78,399.78,400,
2012-08-14,nepse,397.18,397.18,397.18,397.18,397,
2012-08-15,nepse,392.01,392.01,392.01,392.01,392,
2012-08-16,nepse,398.26,398.26,398.26,398.26,398,
2012-08-19,nepse,395.67,395.67,395.67,395.67,396,
2012-08-21,nepse,396.26,396.26,396.26,396.26,396,
2012-08-22,nepse,396.83,396.83,396.83,396.83,397,
2012-08-23,nepse,397.53,397.53,397.53,397.53,398,
2012-08-26,nepse,397.17,397.17,397.17,397.17,397,
2012-08-27,nepse,405.78,405.78,405.78,405.78,406,
2012-08-28,nepse,406.16,406.16,406.16,406.16,406,
2012-08-29,nepse,407.07,407.07,407.07,407.07,407,
2012-08-30,nepse,405.82,405.82,405.82,405.82,406,
2012-09-02,nepse,411.86,411.86,411.86,411.86,412,
2012-09-03,nepse,411.82,411.82,411.82,411.82,412,
2012-09-04,nepse,409.07,409.07,409.07,409.07,409,
2012-09-05,nepse,407.36,407.36,407.36,407.36,407,
2012-09-06,nepse,408.44,408.44,408.44,408.44,408,
2012-09-09,nepse,407.89,407.89,407.89,407.89,408,
2012-09-10,nepse,407.63,407.63,407.63,407.63,408,
2012-09-11,nepse,412.48,412.48,412.48,412.48,412,
2012-09-12,nepse,414.35,414.35,414.35,414.35,414,
2012-09-13,nepse,418.89,418.89,418.89,418.89,419,
2012-09-16,nepse,420.83,420.83,420.83,420.83,421,
2012-09-17,nepse,422.25,422.25,422.25,422.25,422,
2012-09-18,nepse,425.47,425.47,425.47,425.47,425,
2012-09-19,nepse,421.79,421.79,421.79,421.79,422,
2012-09-20,nepse,420.44,420.44,420.44,420.44,420,
2012-09-23,nepse,415.17,415.17,415.17,415.17,415,
2012-09-24,nepse,414.53,414.53,414.53,414.53,415,
2012-09-25,nepse,414.07,414.07,414.07,414.07,414,
2012-09-26,nepse,413.65,413.65,413.65,413.65,414,
2012-09-27,nepse,415.7,415.7,415.7,415.7,416,
2012-09-30,nepse,415.01,415.01,415.01,415.01,415,
2012-10-01,nepse,416.86,416.86,416.86,416.86,417,
2012-10-02,nepse,417.39,417.39,417.39,417.39,417,
2012-10-03,nepse,417.29,417.29,417.29,417.29,417,
2012-10-04,nepse,423.53,423.53,423.53,423.53,424,
2012-10-07,nepse,427.9,427.9,427.9,427.9,428,
2012-10-08,nepse,426.57,426.57,426.57,426.57,427,
2012-10-09,nepse,426.13,426.13,426.13,426.13,426,
2012-10-10,nepse,424.75,424.75,424.75,424.75,425,
2012-10-11,nepse,424.43,424.43,424.43,424.43,424,
2012-10-14,nepse,426.62,426.62,426.62,426.62,427,
2012-10-15,nepse,427.3,427.3,427.3,427.3,427,
2012-10-17,nepse,433.16,433.16,433.16,433.16,433,
2012-10-18,nepse,436.7,436.7,436.7,436.7,437,
2012-10-30,nepse,447.83,447.83,447.83,447.83,448,
2012-10-31,nepse,451.43,451.43,451.43,451.43,451,
2012-11-01,nepse,447.98,447.98,447.98,447.98,448,
2012-11-04,nepse,452.08,452.08,452.08,452.08,452,
2012-11-05,nepse,458.17,458.17,458.17,458.17,458,
2012-11-06,nepse,463.36,463.36,463.36,463.36,463,
2012-11-07,nepse,475.15,475.15,475.15,475.15,475,
2012-11-08,nepse,482.5,482.5,482.5,482.5,483,
2012-11-11,nepse,475.49,475.49,475.49,475.49,475,
2012-11-12,nepse,480.84,480.84,480.84,480.84,481,
2012-11-18,nepse,492.8,492.8,492.8,492.8,493,
2012-11-20,nepse,501.51,501.51,501.51,501.51,502,
2012-11-21,nepse,499.31,499.31,499.31,499.31,499,
2012-11-22,nepse,497.07,497.07,497.07,497.07,497,
2012-11-25,nepse,497.36,497.36,497.36,497.36,497,
2012-11-26,nepse,494.85,494.85,494.85,494.85,495,
2012-11-27,nepse,493.16,493.16,493.16,493.16,493,
2012-11-28,nepse,492.83,492.83,492.83,492.83,493,
2012-11-29,nepse,488.98,488.98,488.98,488.98,489,
2012-12-02,nepse,483.8,483.8,483.8,483.8,484,
2012-12-03,nepse,481.93,481.93,481.93,481.93,482,
2012-12-04,nepse,490.36,490.36,490.36,490.36,490,
2012-12-05,nepse,499.77,499.77,499.77,499.77,500,
2012-12-06,nepse,497.67,497.67,497.67,497.67,498,
2012-12-09,nepse,488.01,488.01,488.01,488.01,488,
2012-12-10,nepse,487.8,487.8,487.8,487.8,488,
2012-12-11,nepse,488.9,488.9,488.9,488.9,489,
2012-12-12,nepse,492.98,492.98,492.98,492.98,493,
2012-12-13,nepse,496.92,496.92,496.92,496.92,497,
2012-12-16,nepse,509.03,509.03,509.03,509.03,509,
2012-12-17,nepse,513.32,513.32,513.32,513.32,513,
2012-12-18,nepse,510.24,510.24,510.24,510.24,510,
2012-12-19,nepse,513.85,513.85,513.85,513.85,514,
2012-12-20,nepse,517.87,517.87,517.87,517.87,518,
2012-12-23,nepse,519.64,519.64,519.64,519.64,520,
2012-12-24,nepse,525.67,525.67,525.67,525.67,526,
2012-12-26,nepse,536.51,536.51,536.51,536.51,537,
2012-12-27,nepse,541.1,541.1,541.1,541.1,541,
2012-12-31,nepse,534.13,534.13,534.13,534.13,534,
2013-01-01,nepse,530.79,530.79,530.79,530.79,531,
2013-01-02,nepse,531.9,531.9,531.9,531.9,532,
2013-01-03,nepse,533.59,533.59,533.59,533.59,534,
2013-01-06,nepse,531.77,531.77,531.77,531.77,532,
2013-01-07,nepse,529.28,529.28,529.28,529.28,529,
2013-01-08,nepse,528.86,528.86,528.86,528.86,529,
2013-01-09,nepse,525.46,525.46,525.46,525.46,525,
2013-01-10,nepse,528.93,528.93,528.93,528.93,529,
2013-01-13,nepse,529.84,529.84,529.84,529.84,530,
2013-01-15,nepse,530.24,530.24,530.24,530.24,530,
2013-01-16,nepse,528.13,528.13,528.13,528.13,528,
2013-01-17,nepse,520.91,520.91,520.91,520.91,521,
2013-01-20,nepse,508.36,508.36,508.36,508.36,508,
2013-01-21,nepse,518.27,518.27,518.27,518.27,518,
2013-01-22,nepse,522.63,522.63,522.63,522.63,523,
2013-01-23,nepse,517.19,517.19,517.19,517.19,517,
2013-01-24,nepse,514.31,514.31,514.31,514.31,514,
2013-01-27,nepse,514.49,514.49,514.49,514.49,514,
2013-01-28,nepse,514.47,514.47,514.47,514.47,514,
2013-01-30,nepse,511.92,511.92,511.92,511.92,512,
2013-01-31,nepse,510.88,510.88,510.88,510.88,511,
2013-02-03,nepse,515.97,515.97,515.97,515.97,516,
2013-02-04,nepse,516.51,516.51,516.51,516.51,517,
2013-02-05,nepse,515.33,515.33,515.33,515.33,515,
2013-02-06,nepse,513.19,513.19,513.19,513.19,513,
2013-02-07,nepse,512.62,512.62,512.62,512.62,513,
2013-02-10,nepse,514.77,514.77,514.77,514.77,515,
2013-02-12,nepse,532.92,532.92,532.92,532.92,533,
2013-02-13,nepse,527.01,527.01,527.01,527.01,527,
2013-02-14,nepse,530.2,530.2,530.2,530.2,530,
