Date,Symbol,Open,High,Low,Close,Volume,Value
2018-07-17,non_life_insurance,6199.45,6201.18,6111.78,6111.78,16906,13601200.0
2018-07-18,non_life_insurance,6111.78,6111.78,6045.31,6050.17,13360,11308000.0
2018-07-19,non_life_insurance,6050.17,6045.78,5959.83,5969.35,96753,58318800.0
2018-07-22,non_life_insurance,5969.35,5966.88,5858.15,5858.75,33610,22191500.0
2018-07-23,non_life_insurance,5858.75,5999.21,5835.4,5992.26,32145,26741000.0
2018-07-24,non_life_insurance,5992.26,6166.05,5988.61,6012.15,47590,33700500.0
2018-07-25,non_life_insurance,5992.26,6015.01,5925.16,5931.93,25998,16354200.0
2018-07-26,non_life_insurance,5931.93,5936.13,5891.43,5904.76,27051,17567000.0
2018-07-29,non_life_insurance,5904.76,5936.38,5901.31,5914.68,11183,9795970.0
2018-07-30,non_life_insurance,5914.68,5921.16,5892.2,5899.96,32551,23006500.0
2018-07-31,non_life_insurance,5899.96,5907.44,5869.4,5875.01,18586,13894000.0
2018-08-01,non_life_insurance,5875.01,5911.07,5865.23,5907.42,14436,11544900.0
2018-08-02,non_life_insurance,5907.42,5917.54,5848.36,5850.05,24773,17448100.0
2018-08-05,non_life_insurance,5850.05,5856.68,5819.13,5819.13,19517,15362100.0
2018-08-06,non_life_insurance,5819.13,5825.0,5806.67,5819.04,18824,13686700.0
2018-08-07,non_life_insurance,5819.04,5832.28,5794.42,5830.09,15868,10982400.0
2018-08-08,non_life_insurance,5830.09,5832.9,5803.88,5825.88,18980,13093000.0
2018-08-09,non_life_insurance,5825.88,5820.69,5750.63,5755.81,30965,21080800.0
2018-08-12,non_life_insurance,5755.81,5756.44,5641.64,5650.07,45363,30465500.0
2018-08-13,non_life_insurance,5650.07,5756.08,5641.01,5725.62,42063,27929200.0
2018-08-14,non_life_insurance,5725.62,5780.36,5701.53,5775.63,22429,18025400.0
2018-08-15,non_life_insurance,5775.63,6002.02,5775.36,5981.27,45056,30961700.0
2018-08-16,non_life_insurance,5981.27,6091.1,5933.08,5960.5,70039,56691600.0
2018-08-19,non_life_insurance,5960.5,5964.66,5856.77,5857.24,30228,23358100.0
2018-08-20,non_life_insurance,5857.24,5861.89,5797.5,5797.5,21860,16834600.0
2018-08-21,non_life_insurance,5857.24,5807.65,5778.94,5801.97,47417,31766200.0
2018-08-22,non_life_insurance,5801.97,5804.25,5769.56,5794.18,30043,19982200.0
2018-08-23,non_life_insurance,5794.18,5804.73,5722.75,5766.63,58645,46128400.0
2018-08-26,non_life_insurance,5766.63,5767.66,5721.49,5724.15,19819,15789200.0
2018-08-28,non_life_insurance,5724.15,5730.97,5708.91,5730.09,26619,19970900.0
2018-08-29,non_life_insurance,5730.09,5730.09,5690.76,5701.69,26086,17763600.0
2018-08-30,non_life_insurance,5701.69,5787.67,5695.11,5764.15,28292,21186800.0
2018-09-02,non_life_insurance,5764.15,5855.67,5758.11,5793.58,21256,14194600.0
2018-09-03,non_life_insurance,5793.58,5927.59,5783.12,5890.24,42232,26940300.0
2018-09-04,non_life_insurance,5890.24,5935.58,5853.95,5892.54,39929,25756200.0
2018-09-05,non_life_insurance,5892.54,6144.57,5886.88,6055.21,70976,52177100.0
2018-09-06,non_life_insurance,6055.21,6123.22,5955.31,5971.14,99239,70264900.0
2018-09-09,non_life_insurance,5971.14,5971.14,5879.27,5885.2,23530,16748300.0
2018-09-10,non_life_insurance,5885.2,5888.84,5819.78,5826.61,19408,13004200.0
2018-09-11,non_life_insurance,5826.61,5940.74,5761.19,5761.33,17069,21414400.0
2018-09-12,non_life_insurance,5761.33,5874.85,5702.58,5874.85,19355,25292700.0
2018-09-13,non_life_insurance,5874.85,5934.24,5811.25,5833.44,32901,26366400.0
2018-09-16,non_life_insurance,5833.44,5969.21,5836.88,5853.62,67061,47069500.0
2018-09-17,non_life_insurance,5853.62,6099.49,5834.06,6057.08,139236,89841300.0
2018-09-18,non_life_insurance,6057.08,6164.97,6051.81,6131.03,170639,112719000.0
2018-09-20,non_life_insurance,6131.03,6157.27,6003.09,6023.55,73210,51045200.0
2018-09-23,non_life_insurance,6023.55,6023.21,5954.22,5960.92,30650,22434800.0
2018-09-25,non_life_insurance,5960.92,6036.25,5963.26,6025.57,63947,39710700.0
2018-09-26,non_life_insurance,6025.57,6057.37,5972.65,6001.3,55740,35810600.0
2018-09-27,non_life_insurance,6001.3,6001.35,5913.34,5934.28,38532,26988000.0
2018-09-30,non_life_insurance,5934.28,5928.55,5868.4,5876.0,24407,18373400.0
2018-10-01,non_life_insurance,5876.0,5879.3,5793.5,5804.27,33127,23170000.0
