Date,Symbol,Open,High,Low,Close,Volume,Value
2016-05-29,others,764.81,764.81,764.81,764.81,0,1659900.0
2016-05-30,others,774.21,774.21,774.21,774.21,0,2254670.0
2016-05-31,others,776.56,776.56,776.56,776.56,0,3766560.0
2016-06-01,others,775.38,775.38,775.38,775.38,0,8969350.0
2016-06-02,others,777.73,777.73,777.73,777.73,0,4377910.0
2016-06-05,others,773.04,773.04,773.04,773.04,0,1554980.0
2016-06-06,others,773.04,777.73,770.69,775.38,0,4533900.0
2016-06-07,others,775.38,781.26,775.38,781.26,0,9160640.0
2016-06-08,others,781.26,787.13,765.99,781.26,0,6139850.0
2016-06-09,others,785.96,785.96,785.96,785.96,0,5806010.0
2016-06-12,others,785.96,787.13,780.08,787.13,0,9186800.0
2016-06-13,others,784.78,784.78,784.78,784.78,0,3218980.0
2016-06-14,others,781.26,781.26,781.26,781.26,0,3651960.0
2016-06-15,others,783.61,783.61,783.61,783.61,0,7162750.0
2016-06-16,others,783.61,783.61,783.61,783.61,0,5430920.0
2016-06-19,others,783.61,796.53,781.26,793.0,0,6754360.0
2016-06-20,others,793.0,795.35,787.13,793.0,0,8535690.0
2016-06-21,others,797.7,797.7,797.7,797.7,0,6466420.0
2016-06-22,others,797.7,798.88,790.65,790.65,0,5805430.0
2016-06-23,others,791.83,791.83,791.83,791.83,0,4547210.0
2016-06-26,others,791.83,798.88,788.31,791.83,0,7507020.0
2016-06-27,others,791.83,793.0,783.61,793.0,0,6967770.0
2016-06-28,others,793.0,797.7,789.48,797.7,0,3224250.0
2016-06-29,others,797.7,801.23,794.18,800.05,0,8418460.0
2016-06-30,others,800.05,805.93,798.88,803.58,0,10126200.0
2016-07-03,others,803.58,816.5,808.27,808.27,0,4249190.0
2016-07-04,others,808.27,810.62,798.88,805.93,0,5354850.0
2016-07-05,others,805.93,816.5,794.18,811.8,0,5051900.0
2016-07-06,others,811.8,816.5,812.97,812.97,0,875160.0
2016-07-10,others,812.97,812.97,812.97,812.97,0,2682000.0
2016-07-11,others,812.97,812.97,774.21,774.21,0,940840.0
2016-07-12,others,774.21,816.5,789.48,794.18,0,3388580.0
2016-07-13,others,794.18,822.23,798.23,816.16,0,17420100.0
2016-07-14,others,816.16,848.26,810.37,848.26,0,166587000.0
2016-07-17,others,848.26,873.12,843.05,873.12,0,130849000.0
2016-07-18,others,873.12,887.58,847.68,861.85,0,85397100.0
