Date,Symbol,Open,High,Low,Close,Volume,Value
2013-07-16,sensitive,126.69,126.69,126.69,126.69,0,
2013-07-17,sensitive,127.26,127.26,127.26,127.26,0,
2013-07-18,sensitive,129.95,129.95,129.95,129.95,0,
2013-07-21,sensitive,133.87,133.87,133.87,133.87,0,
2013-07-22,sensitive,133.15,133.15,133.15,133.15,0,
2013-07-23,sensitive,133.01,133.01,133.01,133.01,0,
2013-07-24,sensitive,131.94,131.94,131.94,131.94,0,
2013-07-25,sensitive,131.68,131.68,131.68,131.68,0,
2013-07-28,sensitive,132.79,132.79,132.79,132.79,0,
2013-07-29,sensitive,134.1,134.1,134.1,134.1,0,
2013-07-30,sensitive,135.86,135.86,135.86,135.86,0,
2013-07-31,sensitive,136.2,136.2,136.2,136.2,0,
2013-08-01,sensitive,136.02,136.02,136.02,136.02,0,
2013-08-04,sensitive,135.88,135.88,135.88,135.88,0,
2013-08-05,sensitive,134.6,134.6,134.6,134.6,0,
2013-08-06,sensitive,135.18,135.18,135.18,135.18,0,
2013-08-07,sensitive,134.92,134.92,134.92,134.92,0,
2013-08-08,sensitive,134.89,134.89,134.89,134.89,0,
2013-08-11,sensitive,133.99,133.99,133.99,133.99,0,
2013-08-12,sensitive,133.59,133.59,133.59,133.59,0,
2013-08-13,sensitive,133.58,133.58,133.58,133.58,0,
2013-08-14,sensitive,133.28,133.28,133.28,133.28,0,
2013-08-15,sensitive,133.18,133.18,133.18,133.18,0,
2013-08-18,sensitive,134.16,134.16,134.16,134.16,0,
2013-08-19,sensitive,135.18,135.18,135.18,135.18,0,
2013-08-20,sensitive,136.42,136.42,136.42,136.42,0,
2013-08-25,sensitive,136.3,136.3,136.3,136.3,0,
2013-08-26,sensitive,135.65,135.65,135.65,135.65,0,
2013-08-27,sensitive,137.05,137.05,137.05,137.05,0,
2013-08-29,sensitive,136.87,136.87,136.87,136.87,0,
2013-09-01,sensitive,136.67,136.67,136.67,136.67,0,
2013-09-02,sensitive,136.2,136.2,136.2,136.2,0,
2013-09-03,sensitive,135.67,135.67,135.67,135.67,0,
2013-09-04,sensitive,134.99,134.99,134.99,134.99,0,
2013-09-05,sensitive,135.22,135.22,135.22,135.22,0,
2013-09-08,sensitive,136.85,136.85,136.85,136.85,0,
2013-09-09,sensitive,136.7,136.7,136.7,136.7,0,
2013-09-10,sensitive,135.4,135.4,135.4,135.4,0,
2013-09-11,sensitive,135.65,135.65,135.65,135.65,0,
2013-09-12,sensitive,135.98,135.98,135.98,135.98,0,
2013-09-15,sensitive,135.86,135.86,135.86,135.86,0,
2013-09-16,sensitive,133.97,133.97,133.97,133.97,0,
2013-09-17,sensitive,133.66,133.66,133.66,133.66,0,
2013-09-19,sensitive,132.18,132.18,132.18,132.18,0,
2013-09-22,sensitive,130.46,130.46,130.46,130.46,0,
2013-09-23,sensitive,129.7,129.7,129.7,129.7,0,
2013-09-24,sensitive,130.6,130.6,130.6,130.6,0,
2013-09-25,sensitive,130.24,130.24,130.24,130.24,0,
2013-09-26,sensitive,129.83,129.83,129.83,129.83,0,
2013-09-29,sensitive,129.68,129.68,129.68,129.68,0,
2013-09-30,sensitive,129.8,129.8,129.8,129.8,0,
2013-10-01,sensitive,129.78,129.78,129.78,129.78,0,
2013-10-02,sensitive,130.11,130.11,130.11,130.11,0,
2013-10-03,sensitive,130.79,130.79,130.79,130.79,0,
2013-10-06,sensitive,131.92,131.92,131.92,131.92,0,
2013-10-07,sensitive,132.94,132.94,132.94,132.94,0,
2013-10-08,sensitive,133.15,133.15,133.15,133.15,0,
2013-10-09,sensitive,134.27,134.27,134.27,134.27,0,
2013-10-10,sensitive,135.93,135.93,135.93,135.93,0,
2013-10-17,sensitive,137.2,137.2,137.2,137.2,0,
2013-10-20,sensitive,140.53,140.53,140.53,140.53,0,
2013-10-21,sensitive,141.54,141.54,141.54,141.54,0,
2013-10-22,sensitive,139.73,139.73,139.73,139.73,0,
2013-10-23,sensitive,139.4,139.4,139.4,139.4,0,
2013-10-24,sensitive,139.12,139.12,139.12,139.12,0,
2013-10-27,sensitive,138.66,138.66,138.66,138.66,0,
2013-10-28,sensitive,138.0,138.0,138.0,138.0,0,
2013-10-29,sensitive,138.04,138.04,138.04,138.04,0,
2013-10-30,sensitive,137.76,137.76,137.76,137.76,0,
2013-10-31,sensitive,137.69,137.69,137.69,137.69,0,
2013-11-06,sensitive,137.46,137.46,137.46,137.46,0,
2013-11-07,sensitive,137.28,137.28,137.28,137.28,0,
2013-11-10,sensitive,136.94,136.94,136.94,136.94,0,
2013-11-11,sensitive,139.5,139.5,139.5,139.5,0,
2013-11-12,sensitive,141.22,141.22,141.22,141.22,0,
2013-11-13,sensitive,141.4,141.4,141.4,141.4,0,
2013-11-14,sensitive,141.54,141.54,141.54,141.54,0,
2013-11-21,sensitive,150.14,150.14,150.14,150.14,0,
2013-11-24,sensitive,154.5,154.5,154.5,154.5,0,
2013-11-25,sensitive,151.85,151.85,151.85,151.85,0,
2013-11-26,sensitive,151.94,151.94,151.94,151.94,0,
2013-11-27,sensitive,151.58,151.58,151.58,151.58,0,
2013-11-28,sensitive,150.35,150.35,150.35,150.35,0,
2013-12-01,sensitive,152.08,152.08,152.08,152.08,0,
