BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2018-05-04,AMFI,0.0,250,246,250,20,4960
2018-08-04,AMFI,0.0,260,255,260,20,5150
2018-09-04,AMFI,0.0,270,265,270,20,5350
2018-10-04,AMFI,0.0,280,275,280,20,5550
2018-11-04,AMFI,0.0,290,285,290,20,5750
2018-12-04,AMFI,0.0,300,295,300,20,5950
2018-04-16,AMFI,0.0,315,315,315,10,3150
2018-04-19,AMFI,0.0,321,321,321,10,3210
2018-04-26,AMFI,0.0,333,327,333,20,6600
2018-02-05,AMFI,0.0,339,339,339,10,3390
2018-09-05,AMFI,0.0,345,345,345,20,6900
2018-05-16,AMFI,0.0,362,362,362,10,3620
2018-05-20,AMFI,0.0,369,369,369,10,3690
2018-05-22,AMFI,0.0,376,376,376,10,3760
2018-06-17,AMFI,0.0,383,383,383,10,3830
2018-06-21,AMFI,0.0,410,402,410,20,8120
2018-06-24,AMFI,0.0,438,430,438,20,8680
2018-06-26,AMFI,0.0,459,459,459,10,4590
2018-01-07,AMFI,0.0,486,468,486,30,14310
2018-04-07,AMFI,0.0,495,495,495,10,4950
2018-08-07,AMFI,0.0,544,519,544,40,21310
2018-12-07,AMFI,0.0,571,571,571,10,5710
2018-07-15,AMFI,0.0,582,582,582,10,5820
2018-07-17,AMFI,0.0,593,593,593,10,5930
2018-07-26,AMFI,0.0,622,622,622,20,12440
2018-02-08,AMFI,0.0,634,634,634,10,6340
2018-05-08,AMFI,0.0,646,646,646,10,6460
2018-06-08,AMFI,0.0,658,658,658,10,6580
2018-07-08,AMFI,0.0,684,671,684,20,13550
2018-08-08,AMFI,0.0,697,697,697,10,6970
2018-09-08,AMFI,0.0,724,710,724,20,14340
2018-12-08,AMFI,0.0,752,738,752,20,14900
2018-08-13,AMFI,0.0,820,789,820,30,24130
2018-08-14,AMFI,0.0,902,836,902,660,593670
2018-08-15,AMFI,0.0,930,821,883,9810,8644360
2018-08-16,AMFI,0.0,915,867,895,4960,4426870
2018-08-19,AMFI,0.0,895,870,870,2293,2018565
2018-08-20,AMFI,0.0,864,841,841,2070,1752690
2018-08-21,AMFI,0.0,840,826,839,1160,963770
2018-08-22,AMFI,0.0,839,831,839,653,545408
2018-08-23,AMFI,0.0,845,832,836,400,334960
2018-08-26,AMFI,0.0,840,826,836,280,233390
2018-08-28,AMFI,0.0,837,815,817,1000,825760
2018-08-29,AMFI,0.0,820,810,820,400,326140
2018-08-30,AMFI,0.0,861,806,861,700,576270
2018-02-09,AMFI,0.0,855,839,840,1007,847160
2018-03-09,AMFI,0.0,865,840,850,2023,1728514
2018-04-09,AMFI,0.0,866,835,835,1460,1250770
2018-05-09,AMFI,0.0,880,850,880,1577,1366790
2018-06-09,AMFI,0.0,897,855,873,2610,2296765
2018-09-09,AMFI,0.0,904,860,891,1520,1358460
2018-10-09,AMFI,0.0,963,885,963,5114,4703042
2018-11-09,AMFI,0.0,1000,915,923,3351,3135357
2018-12-09,AMFI,0.0,948,912,922,1105,1027110
2018-09-13,AMFI,0.0,940,917,920,1820,1682000
2018-09-16,AMFI,0.0,930,919,924,1170,1080000
2018-09-17,AMFI,0.0,935,910,910,1075,991070
2018-09-18,AMFI,0.0,930,911,911,810,742790
2018-09-20,AMFI,0.0,930,905,905,730,663320
2018-09-23,AMFI,0.0,929,905,920,1115,1022040
2018-09-25,AMFI,0.0,922,905,911,895,815135
2018-09-26,AMFI,0.0,915,901,915,560,507390
2018-09-27,AMFI,0.0,915,899,906,340,308790
2018-09-30,AMFI,0.0,905,895,895,357,321152
2018-01-10,AMFI,0.0,905,881,886,560,497520
2018-02-10,AMFI,0.0,891,880,888,240,212700
2018-03-10,AMFI,0.0,890,875,885,450,395740
2018-04-10,AMFI,0.0,889,866,867,380,332610
2018-07-10,AMFI,0.0,870,858,858,280,241070
2018-08-10,AMFI,0.0,870,850,870,290,250660
2018-09-10,AMFI,0.0,869,856,861,420,362060
2018-10-10,AMFI,0.0,870,851,855,460,394590
2018-11-10,AMFI,0.0,870,845,870,258,220652
2018-10-14,AMFI,0.0,915,882,891,1325,1196710
2018-10-15,AMFI,0.0,919,883,890,1070,964260
2018-10-21,AMFI,0.0,884,875,880,90,79340
2018-10-22,AMFI,0.0,913,879,885,260,230740
2018-10-23,AMFI,0.0,902,867,870,330,287690
2018-10-24,AMFI,0.0,880,862,880,260,225210
2018-10-25,AMFI,0.0,887,858,860,1833,1582495
2018-10-28,AMFI,0.0,870,835,839,870,732600
2018-10-29,AMFI,0.0,840,830,840,170,142350
2018-10-30,AMFI,0.0,855,824,840,497,416110
2018-10-31,AMFI,0.0,855,820,854,375,314180
2018-01-11,AMFI,0.0,877,840,877,1240,1053920
2018-04-11,AMFI,0.0,900,860,900,1281,1135511
2018-05-11,AMFI,0.0,905,880,905,650,582220
2018-06-11,AMFI,0.0,900,890,890,50,44630
2018-11-11,AMFI,0.0,890,853,853,1115,979505
2018-12-11,AMFI,0.0,853,768,780,1200,939239
2018-11-13,AMFI,0.0,821,770,819,950,765300
2018-11-14,AMFI,0.0,825,811,813,530,433320
2018-11-15,AMFI,0.0,829,806,816,420,345990
2018-11-18,AMFI,0.0,830,783,786,510,416690
2018-11-19,AMFI,0.0,786,759,774,760,584590
2018-11-20,AMFI,0.0,785,760,760,290,221860
2018-11-21,AMFI,0.0,775,746,775,170,129870
2018-11-22,AMFI,0.0,800,760,791,540,419800
2018-11-25,AMFI,0.0,791,747,747,595,454050
2018-11-26,AMFI,0.0,750,738,740,2310,1712150
2018-11-27,AMFI,0.0,754,730,745,1030,770110
2018-11-28,AMFI,0.0,745,731,733,540,397180
2018-11-29,AMFI,0.0,733,705,710,680,489720
2018-02-12,AMFI,0.0,724,657,657,190,130340
2018-03-12,AMFI,0.0,670,625,637,2703,1736829
2018-04-12,AMFI,0.0,637,608,608,1170,725400
2018-05-12,AMFI,0.0,608,590,601,610,365130
2018-06-12,AMFI,0.0,601,577,580,960,561760
2018-09-12,AMFI,0.0,580,571,580,763,442450
2018-10-12,AMFI,0.0,602,580,590,1620,965860
2018-11-12,AMFI,0.0,615,590,614,660,403820
2018-12-12,AMFI,0.0,614,595,605,230,138690
2018-12-13,AMFI,0.0,622,593,622,673,411496
2018-12-16,AMFI,0.0,684,622,684,1240,835830
2018-12-17,AMFI,0.0,752,684,747,2090,1517070
2018-12-18,AMFI,0.0,776,733,759,3310,2490154
2018-12-19,AMFI,0.0,788,750,751,855,649190
2018-12-20,AMFI,0.0,781,750,752,385,291390
2018-12-23,AMFI,0.0,780,752,755,1413,1085630
2018-12-24,AMFI,0.0,760,740,740,1240,924355
2018-12-25,AMFI,0.0,740,721,740,713,523405
2018-12-26,AMFI,0.0,748,726,748,270,199520
2018-12-27,AMFI,0.0,765,731,731,1780,1331730
2018-12-30,AMFI,0.0,731,720,730,350,254880
2018-12-31,AMFI,0.0,734,715,720,200,144350
2019-01-01,AMFI,0.0,735,716,735,370,268660
2019-02-01,AMFI,0.0,735,707,730,250,182050
2019-03-01,AMFI,0.0,730,693,720,1075,762040
2019-06-01,AMFI,0.0,720,690,700,370,257550
2019-07-01,AMFI,0.0,715,691,691,520,362220
2019-08-01,AMFI,0.0,760,691,760,1807,1338935
2019-09-01,AMFI,0.0,790,755,760,1370,1046335
2019-10-01,AMFI,0.0,775,746,773,280,212780
2019-01-13,AMFI,0.0,773,730,730,50,36910
2019-01-14,AMFI,0.0,740,722,740,250,182360
2019-01-15,AMFI,0.0,755,727,740,630,466110
2019-01-16,AMFI,0.0,742,736,736,270,199690
2019-01-17,AMFI,0.0,736,723,725,330,239300
2019-01-20,AMFI,0.0,725,711,725,120,85680
2019-01-21,AMFI,0.0,726,711,726,300,215320
2019-01-22,AMFI,0.0,742,712,715,510,372100
2019-01-23,AMFI,0.0,726,707,712,715,514990
2019-01-24,AMFI,0.0,726,706,715,80,56960
2019-01-27,AMFI,0.0,720,703,711,250,177940
2019-01-28,AMFI,0.0,742,711,739,330,239850
2019-01-29,AMFI,0.0,740,725,728,440,321040
2019-01-30,AMFI,0.0,728,715,721,110,79280
2019-01-31,AMFI,0.0,751,709,751,720,528930
2019-03-02,AMFI,0.0,751,725,728,400,294450
2019-04-02,AMFI,0.0,728,715,718,130,93270
2019-05-02,AMFI,0.0,720,710,720,170,121930
2019-06-02,AMFI,0.0,737,720,723,690,504070
