BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2015-11-18,API,0.0,307.0,301.0,307.0,52.0,15808.0
2015-11-19,API,0.0,331.0,313.0,331.0,104.0,33488.0
2015-11-22,API,0.0,364.0,337.0,364.0,768.0,277628.0
2015-11-23,API,0.0,400.0,371.0,400.0,12360.0,4942162.0
2015-11-24,API,0.0,437.0,415.0,430.0,46262.0,19670392.0
2015-11-25,API,0.0,434.0,403.0,406.0,25625.0,10629219.0
2015-11-26,API,0.0,400.0,390.0,395.0,14443.0,5695725.0
2015-11-29,API,0.0,388.0,376.0,381.0,15706.0,5983040.0
2015-11-30,API,0.0,397.0,380.0,384.0,9790.0,3776698.0
2015-12-01,API,0.0,400.0,381.0,400.0,11114.0,4362679.0
2015-12-02,API,0.0,405.0,390.0,398.0,11339.0,4506235.0
2015-12-03,API,0.0,401.0,387.0,392.0,11281.0,4443848.0
2015-12-06,API,0.0,401.0,388.0,398.0,14631.0,5814474.0
2015-12-07,API,0.0,408.0,395.0,397.0,16125.0,6439248.0
2015-12-08,API,0.0,402.0,391.0,399.0,11962.0,4759243.0
2015-12-09,API,0.0,412.0,394.0,412.0,14731.0,5889411.0
2015-12-10,API,0.0,410.0,398.0,400.0,13958.0,5604320.0
2015-12-13,API,0.0,401.0,393.0,400.0,23721.0,9482444.0
2015-12-14,API,0.0,400.0,398.0,398.0,24112.0,9633905.0
2015-12-15,API,0.0,400.0,390.0,391.0,8414.0,3318860.0
2015-12-16,API,0.0,400.0,390.0,393.0,16529.0,6529767.0
2015-12-17,API,0.0,399.0,386.0,391.0,12164.0,4763233.0
2015-12-20,API,0.0,395.0,382.0,389.0,7578.0,2933769.0
2015-12-21,API,0.0,389.0,376.0,378.0,6813.0,2597003.0
2015-12-22,API,0.0,380.0,364.0,370.0,7114.0,2649297.0
2015-12-23,API,0.0,376.0,366.0,372.0,12488.0,4630233.0
2015-12-24,API,0.0,385.0,365.0,379.0,11983.0,4449080.0
2015-12-27,API,0.0,385.0,366.0,385.0,9016.0,3345931.0
2015-12-28,API,0.0,380.0,370.0,371.0,10572.0,3947314.0
2015-12-29,API,0.0,381.0,368.0,372.0,13555.0,5029450.0
2015-12-31,API,0.0,381.0,368.0,370.0,11336.0,4216637.0
2016-01-03,API,0.0,377.0,362.0,369.0,11849.0,4375998.0
2016-01-04,API,0.0,373.0,358.0,368.0,9183.0,3351712.0
2016-01-05,API,0.0,375.0,350.0,375.0,27876.0,10117332.0
2016-01-06,API,0.0,375.0,353.0,360.0,21477.0,7864631.0
2016-01-07,API,0.0,377.0,356.0,368.0,16005.0,5872918.0
2016-01-10,API,0.0,380.0,361.0,378.0,29492.0,10917607.0
2016-01-11,API,0.0,383.0,370.0,376.0,30518.0,11377998.0
2016-01-12,API,0.0,400.0,370.0,400.0,35468.0,13408785.0
2016-01-13,API,0.0,405.0,378.0,394.0,26417.0,10359766.0
2016-01-14,API,0.0,400.0,379.0,390.0,29503.0,11431453.0
2016-01-24,API,0.0,429.0,397.0,429.0,3250.0,1390050.0
2016-01-25,API,0.0,471.0,437.0,454.0,4993.0,2312342.0
2016-01-26,API,0.0,455.0,446.0,448.0,3463.0,1561100.0
2016-01-27,API,0.0,445.0,432.0,432.0,2889.0,1261906.0
2016-01-28,API,0.0,445.0,430.0,430.0,4905.0,2142909.0
2016-01-31,API,0.0,440.0,432.0,432.0,864.0,374782.0
2016-02-01,API,0.0,448.0,430.0,435.0,4260.0,1850460.0
2016-02-02,API,0.0,439.0,430.0,430.0,3252.0,1404556.0
2016-02-03,API,0.0,450.0,435.0,441.0,1624.0,711018.0
2016-02-04,API,0.0,457.0,440.0,449.0,4935.0,2202194.0
2016-02-07,API,0.0,493.0,450.0,493.0,22443.0,10597556.0
