BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-04-12,BNL,0.0,1690.0,1690.0,1690.0,960.0,1622400.0
2012-09-11,BNL,0.0,1680.0,1680.0,1680.0,20.0,33600.0
2013-05-26,BNL,0.0,1680.0,1680.0,1680.0,20.0,33600.0
2013-07-15,BNL,0.0,1680.0,1680.0,1680.0,60.0,100800.0
2014-08-26,BNL,0.0,1660.0,1660.0,1660.0,840.0,1394400.0
2014-09-10,BNL,0.0,1660.0,1660.0,1660.0,82.0,136120.0
2016-11-15,BNL,0.0,1660.0,1660.0,1660.0,100.0,166000.0
2018-02-27,BNL,0.0,1693.0,1693.0,1693.0,100.0,169300.0
2019-05-06,BNL,0.0,1760.0,1726.0,1760.0,20.0,34860.0
2019-10-10,BNL,0.0,1830.0,1795.0,1830.0,134.0,244870.0
2021-08-01,BNL,1866.6,1903.9,1866.6,1903.9,360.0,685031.0
2022-05-17,BNL,1941.9,1941.9,1941.9,1941.9,21.0,40779.9
2022-09-13,BNL,1980.7,2136.0,1980.7,2136.0,52.0,106957.4
2022-09-14,BNL,2178.7,2178.7,2178.7,2178.7,10.0,21787.0
2022-09-25,BNL,2222.2,2222.2,2222.2,2222.2,10.0,22222.0
2023-07-11,BNL,2266.6,2311.9,2266.6,2311.9,20.0,45785.0
2023-08-07,BNL,2358.1,2405.2,2358.1,2405.2,20.0,47633.0
2023-09-24,BNL,2453.3,2453.3,2453.3,2453.3,22.0,53972.6
2023-12-11,BNL,2502.3,2698.6,2502.3,2698.6,50.0,130118.0
2023-12-12,BNL,2752.5,2968.4,2752.5,2968.4,50.0,143128.0
2023-12-13,BNL,3027.7,3265.2,3027.7,3265.2,50.0,157438.0
2023-12-14,BNL,3330.5,3591.7,3330.5,3591.7,50.0,173186.0
2023-12-17,BNL,3663.5,3950.8,3663.5,3950.8,50.0,190500.0
2023-12-18,BNL,3950.7,4345.8,3950.7,4345.8,60.0,249050.0
2023-12-19,BNL,4432.7,4780.3,4432.7,4780.3,50.0,230499.0
2023-12-20,BNL,4875.9,5258.3,4875.9,5258.3,50.0,253546.0
2023-12-21,BNL,5363.4,5784.1,5363.4,5784.1,50.0,278897.0
2023-12-24,BNL,5899.7,6362.5,5899.7,6362.5,50.0,306783.0
2023-12-27,BNL,6235.5,6235.5,6235.5,6235.5,10.0,62355.0
