BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-05-04,BPW,233.1,237.7,233.1,237.7,30,7007.0
2023-05-07,BPW,237.7,237.7,237.7,237.7,25,5856.0
2023-05-08,BPW,242.4,247.2,242.4,247.2,20,4896.0
2023-05-09,BPW,247.2,247.2,247.2,247.2,5,1248.5
2023-05-10,BPW,252.1,257.1,252.1,257.1,20,5092.0
2023-05-14,BPW,262.2,262.2,262.2,262.2,10,2622.0
2023-05-15,BPW,267.4,267.4,267.4,267.4,10,2674.0
2023-05-17,BPW,272.7,283.6,272.7,283.6,30,8344.0
2023-05-21,BPW,289.2,294.9,289.2,294.9,20,5841.0
2023-05-22,BPW,300.7,306.7,300.7,306.7,20,6074.0
2023-05-23,BPW,312.8,319.0,312.8,319.0,20,6318.0
2023-05-24,BPW,325.3,331.8,325.3,331.8,20,6571.0
2023-05-28,BPW,332.0,338.6,332.0,338.6,30,9976.0
2023-05-30,BPW,338.0,372.4,338.0,372.4,80,28439.0
2023-05-31,BPW,379.8,379.8,379.8,379.8,10,3798.0
2023-06-01,BPW,387.3,402.9,387.3,402.9,30,11852.0
2023-06-04,BPW,410.9,410.9,410.9,410.9,20,8139.0
2023-06-05,BPW,419.1,427.4,419.1,427.4,30,12596.0
2023-06-06,BPW,435.9,444.6,435.9,444.6,20,8805.0
2023-06-08,BPW,453.4,471.6,453.4,471.6,30,13874.0
2023-06-11,BPW,481.0,490.6,481.0,490.6,40,19355.0
2023-06-12,BPW,500.4,510.4,500.4,510.4,20,10108.0
2023-06-13,BPW,520.6,541.6,520.6,541.6,30,15932.0
2023-06-14,BPW,552.4,563.4,552.4,563.4,20,11158.0
2023-06-15,BPW,574.6,609.6,574.6,609.6,60,35871.0
2023-06-18,BPW,621.7,621.7,621.7,621.7,10,6217.0
2023-06-19,BPW,634.1,683.8,634.1,683.8,313,212808.4
2023-06-20,BPW,697.4,752.1,697.4,752.1,70,51305.0
2023-06-21,BPW,767.1,798.0,767.1,798.0,30,23475.0
