BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-08-14,C30MF,10.0,10.0,9.81,9.81,200,1981.0
2023-08-15,C30MF,9.62,9.62,9.62,9.62,100,962.0
2023-08-16,C30MF,9.43,9.43,9.25,9.25,200,1868.0
2023-08-17,C30MF,9.07,9.07,9.07,9.07,200,1814.0
2023-08-22,C30MF,8.89,8.89,8.89,8.89,100,889.0
2023-08-23,C30MF,8.72,8.72,8.06,8.23,6760,54770.95
2023-08-24,C30MF,8.07,8.23,7.94,8.1,2350,18988.0
2023-08-27,C30MF,7.94,8.1,7.94,8.1,1450,11669.0
2023-08-28,C30MF,8.06,8.25,8.06,8.25,1100,8939.0
2023-08-29,C30MF,8.25,8.25,8.25,8.25,500,4125.0
2023-08-30,C30MF,8.15,8.25,8.15,8.25,1700,13924.0
2023-09-03,C30MF,8.2,8.36,8.2,8.25,1650,13569.0
2023-09-04,C30MF,8.2,8.36,8.2,8.36,2500,20743.0
2023-09-05,C30MF,8.35,8.53,8.35,8.4,500,4200.0
2023-09-07,C30MF,8.35,8.35,8.35,8.35,1300,10855.0
2023-09-10,C30MF,8.22,8.46,8.22,8.46,1200,9987.0
2023-09-11,C30MF,8.35,8.45,8.34,8.45,500,4189.0
2023-09-12,C30MF,8.46,8.46,8.33,8.38,800,6691.0
2023-09-13,C30MF,8.33,8.4,8.33,8.4,500,4180.0
2023-09-17,C30MF,8.4,8.4,8.3,8.32,900,7492.0
2023-09-18,C30MF,8.32,8.32,8.32,8.32,100,832.0
2023-09-19,C30MF,8.32,8.32,8.3,8.3,300,2492.0
2023-09-21,C30MF,8.14,8.32,8.14,8.14,2100,17404.0
2023-09-24,C30MF,8.01,8.12,8.01,8.12,1050,8422.5
2023-09-25,C30MF,7.99,8.1,7.95,7.96,1250,9996.5
2023-09-26,C30MF,7.83,7.92,7.83,7.91,900,7098.0
2023-09-27,C30MF,7.9,8.16,7.9,8.09,3210,26118.6
2023-10-01,C30MF,7.95,8.25,7.95,8.09,600,4844.0
2023-10-02,C30MF,8.01,8.01,7.96,8.0,600,4790.0
2023-10-03,C30MF,7.93,7.94,7.93,7.94,300,2380.0
2023-10-04,C30MF,7.84,7.95,7.84,7.95,1000,7923.0
2023-10-05,C30MF,7.83,7.93,7.83,7.93,1100,8678.0
2023-10-08,C30MF,7.9,7.93,7.9,7.93,1200,9513.0
2023-10-09,C30MF,7.93,7.93,7.88,7.88,500,3945.0
2023-10-10,C30MF,7.92,8.0,7.92,8.0,1000,7980.0
2023-10-11,C30MF,8.1,8.15,7.91,8.0,600,4831.0
2023-10-12,C30MF,7.9,8.0,7.9,8.0,600,4754.0
2023-10-16,C30MF,7.89,8.0,7.89,7.9,1000,7918.0
2023-10-17,C30MF,7.97,8.0,7.97,7.97,400,3191.0
2023-10-18,C30MF,7.98,7.98,7.98,7.98,100,798.0
2023-10-19,C30MF,7.89,7.89,7.83,7.83,200,1572.0
2023-10-29,C30MF,7.85,7.98,7.8,7.98,500,3933.0
2023-10-30,C30MF,7.89,7.92,7.89,7.92,1000,7908.0
2023-10-31,C30MF,7.92,7.96,7.81,7.96,600,4742.0
2023-11-01,C30MF,7.84,7.84,7.84,7.84,300,2352.0
2023-11-05,C30MF,7.8,7.84,7.8,7.81,500,3910.0
2023-11-06,C30MF,7.81,7.81,7.81,7.81,300,2343.0
2023-11-07,C30MF,7.96,7.96,7.96,7.96,100,796.0
2023-11-08,C30MF,7.9,7.9,7.9,7.9,200,1580.0
2023-11-09,C30MF,7.75,7.81,7.75,7.81,300,2337.0
