BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-07-27,CCBD88,1000.0,1000.0,1000.0,1000.0,100,100000.0
2022-09-22,CCBD88,980.0,980.0,941.4,941.4,65,62052.0
2022-10-10,CCBD88,922.6,922.6,922.6,922.6,10,9226.0
2022-10-20,CCBD88,904.2,904.2,851.3,851.3,105,92013.0
2022-10-23,CCBD88,837.0,858.0,837.0,858.0,125,105930.0
2022-10-31,CCBD88,850.0,850.0,850.0,850.0,15,12750.0
2022-11-01,CCBD88,845.0,857.2,840.4,857.2,65,54993.0
2022-11-02,CCBD88,858.0,858.0,843.2,843.2,45,38303.0
2022-11-03,CCBD88,860.0,870.0,843.2,870.0,125,106127.5
2022-11-07,CCBD88,853.1,856.1,853.1,856.1,50,42730.0
2022-11-08,CCBD88,856.1,873.2,856.1,856.6,60,51549.5
2022-11-09,CCBD88,856.6,873.7,856.0,858.0,140,120127.0
2022-11-10,CCBD88,852.1,853.4,852.0,853.4,65,55417.5
2022-11-14,CCBD88,847.1,852.0,846.6,852.0,118,100049.9
2022-11-15,CCBD88,846.5,846.5,846.5,846.5,25,21162.5
2022-11-16,CCBD88,842.6,846.9,842.6,846.9,125,105722.5
2022-11-17,CCBD88,850.0,850.0,850.0,850.0,25,21250.0
2022-11-22,CCBD88,860.0,860.0,860.0,860.0,65,55900.0
2022-11-24,CCBD88,845.5,845.5,845.5,845.5,25,21137.5
2022-11-30,CCBD88,842.5,842.5,842.5,842.5,25,21062.5
2022-12-01,CCBD88,841.2,841.2,841.2,841.2,25,21030.0
2022-12-04,CCBD88,850.0,850.0,850.0,850.0,25,21250.0
2022-12-06,CCBD88,850.0,850.0,850.0,850.0,25,21250.0
2022-12-11,CCBD88,840.1,843.0,840.1,841.1,125,105237.5
2022-12-18,CCBD88,841.1,841.1,841.1,841.1,25,21027.5
2022-12-20,CCBD88,857.9,857.9,842.7,842.7,75,63585.1
2022-12-21,CCBD88,843.0,843.0,843.0,843.0,25,21075.0
2022-12-27,CCBD88,838.7,838.7,838.6,838.6,30,25160.0
2023-01-01,CCBD88,837.6,837.6,837.6,837.6,25,20940.0
2023-01-02,CCBD88,854.3,854.3,854.3,854.3,25,21357.5
2023-01-04,CCBD88,845.3,845.3,845.2,845.2,50,42262.5
2023-01-08,CCBD88,845.8,867.0,845.6,867.0,185,157837.9
2023-01-09,CCBD88,884.3,884.3,884.3,884.3,30,26529.0
2023-01-18,CCBD88,866.7,866.7,849.4,866.3,175,150355.0
2023-01-19,CCBD88,849.0,849.0,849.0,849.0,125,106125.0
2023-01-23,CCBD88,846.1,846.2,846.1,846.2,25,21153.5
2023-01-24,CCBD88,845.0,845.0,845.0,845.0,25,21125.0
2023-01-25,CCBD88,845.0,845.0,845.0,845.0,25,21125.0
2023-01-29,CCBD88,840.1,845.0,840.1,845.0,75,63130.0
2023-01-30,CCBD88,845.0,845.0,845.0,845.0,25,21125.0
2023-02-05,CCBD88,850.0,850.0,850.0,850.0,25,21250.0
2023-02-08,CCBD88,850.0,850.0,850.0,850.0,30,25500.0
2023-02-15,CCBD88,845.0,845.0,845.0,845.0,25,21125.0
2023-02-22,CCBD88,861.9,861.9,844.7,844.7,50,42665.0
2023-02-23,CCBD88,838.0,838.0,838.0,838.0,25,20950.0
2023-02-26,CCBD88,825.1,825.1,825.1,825.1,30,24753.0
2023-02-27,CCBD88,816.0,820.0,816.0,820.0,50,40900.0
2023-03-01,CCBD88,819.1,819.1,819.1,819.1,25,20477.5
2023-03-15,CCBD88,835.4,835.4,835.4,835.4,10,8354.0
2023-03-22,CCBD88,832.8,832.8,832.8,832.8,25,20820.0
2023-03-23,CCBD88,831.0,831.0,831.0,831.0,25,20775.0
2023-03-27,CCBD88,832.3,833.1,832.3,833.1,40,33308.0
2023-03-29,CCBD88,835.8,835.8,835.7,835.7,50,41787.7
2023-04-06,CCBD88,840.0,840.0,840.0,840.0,25,21000.0
2023-04-09,CCBD88,835.1,851.0,835.1,846.0,77,64972.7
2023-04-12,CCBD88,862.9,880.0,862.9,880.0,35,30629.0
2023-04-13,CCBD88,897.6,897.6,879.7,879.7,40,35456.5
2023-04-16,CCBD88,897.2,897.2,897.2,897.2,35,31402.0
2023-04-17,CCBD88,890.0,898.0,890.0,898.0,47,42038.0
2023-04-18,CCBD88,915.9,915.9,900.0,900.0,58,52486.2
2023-04-23,CCBD88,905.0,905.0,895.1,895.1,87,78254.4
2023-04-24,CCBD88,898.5,898.5,898.5,898.5,40,35940.0
2023-04-26,CCBD88,897.1,897.1,897.1,897.1,27,24221.7
2023-04-30,CCBD88,905.0,905.0,905.0,905.0,50,45250.0
2023-05-02,CCBD88,890.2,890.2,890.2,890.2,25,22255.0
2023-05-07,CCBD88,882.5,882.5,882.5,882.5,25,22062.5
2023-05-08,CCBD88,881.1,881.1,881.1,881.1,25,22027.5
2023-05-15,CCBD88,898.7,899.0,898.7,899.0,50,44942.5
2023-05-16,CCBD88,916.0,916.0,916.0,916.0,50,45800.0
2023-05-17,CCBD88,900.1,917.9,900.0,917.9,85,76806.5
2023-05-21,CCBD88,915.0,915.0,915.0,915.0,25,22875.0
2023-05-22,CCBD88,905.0,905.0,905.0,905.0,25,22625.0
2023-05-30,CCBD88,910.0,910.0,910.0,910.0,25,22750.0
2023-06-01,CCBD88,928.2,928.2,928.2,928.2,10,9282.0
2023-06-06,CCBD88,909.7,909.7,900.0,900.0,60,54339.5
2023-06-08,CCBD88,900.0,900.0,900.0,900.0,25,22500.0
2023-06-11,CCBD88,905.0,905.0,900.3,900.3,100,90267.7
2023-06-12,CCBD88,918.3,918.3,918.3,918.3,25,22957.5
2023-06-13,CCBD88,919.0,919.0,919.0,919.0,50,45950.0
2023-06-14,CCBD88,937.3,943.0,927.0,943.0,55,51379.5
2023-06-18,CCBD88,949.9,951.0,949.9,951.0,55,52287.0
2023-06-19,CCBD88,940.0,940.0,940.0,940.0,25,23500.0
2023-06-20,CCBD88,940.0,940.0,940.0,940.0,25,23500.0
2023-06-27,CCBD88,922.0,922.0,922.0,922.0,25,23050.0
2023-06-28,CCBD88,921.0,921.0,921.0,921.0,100,92100.0
2023-07-02,CCBD88,921.1,921.1,921.1,921.1,25,23027.5
2023-07-03,CCBD88,925.0,925.0,921.1,921.1,100,92305.0
2023-07-09,CCBD88,939.5,958.2,939.5,958.2,35,33069.5
2023-07-10,CCBD88,945.1,983.2,945.0,983.2,85,81141.5
2023-07-12,CCBD88,1002.8,1002.8,1002.8,1002.8,10,10028.0
2023-07-13,CCBD88,1022.8,1022.8,1003.0,1021.0,45,45513.0
2023-07-16,CCBD88,1022.9,1022.9,1022.9,1022.9,10,10229.0
2023-08-09,CCBD88,1002.5,1002.5,920.7,920.7,170,158923.0
2023-08-10,CCBD88,905.8,908.2,905.8,908.2,100,90705.0
2023-08-14,CCBD88,894.0,894.0,882.0,882.0,50,44400.0
2023-08-15,CCBD88,899.6,899.6,899.6,899.6,60,53976.0
2023-08-16,CCBD88,885.3,903.0,885.3,903.0,51,45592.8
2023-08-17,CCBD88,895.2,895.2,895.2,895.2,25,22380.0
2023-08-20,CCBD88,913.0,913.0,913.0,913.0,11,10043.0
2023-08-21,CCBD88,895.3,895.3,895.0,895.0,100,89513.3
