BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-23,CFCL,0.0,269.0,269.0,269.0,220.0,59180.0
2012-02-08,CFCL,0.0,264.0,259.0,259.0,827.0,214243.0
2012-02-26,CFCL,0.0,254.0,234.0,234.0,531.0,130009.0
2012-02-27,CFCL,0.0,230.0,218.0,218.0,438.0,97280.0
2012-06-05,CFCL,0.0,218.0,218.0,218.0,168.0,36624.0
2012-09-19,CFCL,0.0,214.0,214.0,214.0,30.0,6420.0
2012-09-20,CFCL,0.0,210.0,210.0,210.0,19.0,3990.0
2012-09-23,CFCL,0.0,206.0,198.0,198.0,455.0,90650.0
2014-05-22,CFCL,0.0,212.0,197.0,197.0,1336.0,271504.0
2014-05-25,CFCL,0.0,200.0,186.0,186.0,1237.0,240326.0
2014-05-26,CFCL,0.0,183.0,170.0,175.0,6328.0,1095145.0
2014-05-27,CFCL,0.0,183.0,178.0,180.0,703.0,127352.0
2014-05-28,CFCL,0.0,180.0,172.0,180.0,6789.0,1178630.0
2014-06-01,CFCL,0.0,189.0,183.0,186.0,604.0,111945.0
2014-06-02,CFCL,0.0,195.0,188.0,189.0,2548.0,487237.0
2014-06-03,CFCL,0.0,189.0,183.0,188.0,748.0,140291.0
2014-06-12,CFCL,0.0,185.0,185.0,185.0,127.0,23495.0
2014-06-24,CFCL,0.0,183.0,182.0,183.0,197.0,36001.0
2014-06-25,CFCL,0.0,185.0,165.0,165.0,5734.0,971890.0
2014-06-26,CFCL,0.0,177.0,165.0,177.0,4035.0,691204.0
2014-06-29,CFCL,0.0,188.0,180.0,183.0,1713.0,314753.0
2014-06-30,CFCL,0.0,180.0,165.0,165.0,17267.0,2869732.0
2014-07-01,CFCL,0.0,178.0,168.0,171.0,16725.0,2890030.0
2014-07-02,CFCL,0.0,181.0,174.0,180.0,13556.0,2402253.0
2014-07-03,CFCL,0.0,167.0,158.0,158.0,1564.0,252206.0
2014-07-06,CFCL,0.0,158.0,158.0,158.0,681.0,107598.0
2014-07-07,CFCL,0.0,167.0,161.0,167.0,150.0,24600.0
2014-07-08,CFCL,0.0,176.0,170.0,176.0,1094.0,189310.0
2014-07-09,CFCL,0.0,173.0,173.0,173.0,108.0,18684.0
2014-07-16,CFCL,0.0,190.0,176.0,190.0,1492.0,274756.0
2014-07-17,CFCL,0.0,209.0,188.0,209.0,2559.0,509101.0
2014-07-20,CFCL,0.0,229.0,213.0,229.0,2551.0,583379.0
2014-07-21,CFCL,0.0,251.0,233.0,251.0,3822.0,948318.0
2014-07-22,CFCL,0.0,266.0,256.0,266.0,1852.0,486485.0
2014-07-23,CFCL,0.0,261.0,250.0,250.0,460.0,117924.0
2014-07-24,CFCL,0.0,246.0,245.0,246.0,1166.0,285720.0
2014-07-27,CFCL,0.0,242.0,242.0,242.0,800.0,193600.0
2014-08-07,CFCL,0.0,238.0,234.0,234.0,74.0,17412.0
2014-08-13,CFCL,0.0,230.0,226.0,226.0,100.0,22800.0
2014-08-14,CFCL,0.0,222.0,222.0,222.0,40.0,8880.0
2014-08-18,CFCL,0.0,218.0,218.0,218.0,20.0,4360.0
2014-08-19,CFCL,0.0,214.0,210.0,210.0,40.0,8480.0
2014-08-20,CFCL,0.0,206.0,198.0,198.0,65.0,13110.0
2014-08-24,CFCL,0.0,195.0,192.0,192.0,80.0,15480.0
2014-08-25,CFCL,0.0,189.0,186.0,186.0,70.0,13110.0
2014-08-26,CFCL,0.0,183.0,180.0,180.0,80.0,14520.0
2014-08-28,CFCL,0.0,177.0,168.0,168.0,1460.0,250321.0
2014-08-31,CFCL,0.0,165.0,153.0,153.0,1350.0,213714.0
2014-09-01,CFCL,0.0,150.0,143.0,143.0,2548.0,373547.0
2014-09-03,CFCL,0.0,157.0,141.0,157.0,4221.0,624259.0
2014-09-04,CFCL,0.0,160.0,151.0,154.0,2591.0,394988.0
2014-09-07,CFCL,0.0,151.0,144.0,144.0,519.0,75744.0
2014-09-09,CFCL,0.0,148.0,142.0,146.0,1487.0,216596.0
2014-09-10,CFCL,0.0,148.0,145.0,148.0,1221.0,178858.0
2014-09-11,CFCL,0.0,148.0,148.0,148.0,87.0,12876.0
2014-09-14,CFCL,0.0,148.0,146.0,146.0,727.0,106184.0
2014-09-15,CFCL,0.0,146.0,144.0,146.0,770.0,111420.0
2014-09-17,CFCL,0.0,145.0,145.0,145.0,50.0,7250.0
2014-09-18,CFCL,0.0,143.0,141.0,142.0,1215.0,172645.0
2014-09-21,CFCL,0.0,140.0,140.0,140.0,200.0,28000.0
2014-09-23,CFCL,0.0,138.0,138.0,138.0,259.0,35742.0
2014-09-24,CFCL,0.0,138.0,136.0,138.0,2579.0,351254.0
2014-09-28,CFCL,0.0,138.0,136.0,138.0,1018.0,139440.0
2014-09-29,CFCL,0.0,142.0,140.0,142.0,1333.0,186720.0
2014-09-30,CFCL,0.0,150.0,144.0,150.0,370.0,55344.0
2014-10-09,CFCL,0.0,147.0,146.0,146.0,500.0,73100.0
2014-10-15,CFCL,0.0,148.0,148.0,148.0,100.0,14800.0
2014-10-16,CFCL,0.0,153.0,150.0,153.0,286.0,43551.0
2014-10-19,CFCL,0.0,150.0,150.0,150.0,200.0,30000.0
2014-10-27,CFCL,0.0,153.0,153.0,153.0,684.0,104652.0
2014-11-03,CFCL,0.0,158.0,155.0,155.0,823.0,128233.0
2014-11-05,CFCL,0.0,152.0,152.0,152.0,500.0,76000.0
2014-11-06,CFCL,0.0,155.0,155.0,155.0,296.0,45880.0
2014-11-10,CFCL,0.0,152.0,143.0,143.0,3292.0,480570.0
2014-11-11,CFCL,0.0,142.0,138.0,138.0,869.0,121091.0
2014-11-13,CFCL,0.0,140.0,139.0,139.0,80.0,11158.0
2014-11-16,CFCL,0.0,137.0,137.0,137.0,10.0,1370.0
2014-11-19,CFCL,0.0,135.0,133.0,133.0,1286.0,171610.0
2014-11-24,CFCL,0.0,137.0,135.0,137.0,382.0,51708.0
2014-11-25,CFCL,0.0,141.0,139.0,141.0,184.0,25744.0
2014-11-30,CFCL,0.0,143.0,143.0,143.0,21.0,3003.0
2014-12-01,CFCL,0.0,142.0,137.0,137.0,4426.0,608834.0
2014-12-03,CFCL,0.0,135.0,135.0,135.0,255.0,34425.0
2014-12-04,CFCL,0.0,138.0,136.0,138.0,473.0,64614.0
2014-12-07,CFCL,0.0,140.0,140.0,140.0,545.0,76300.0
2014-12-09,CFCL,0.0,142.0,141.0,141.0,352.0,49796.0
2014-12-10,CFCL,0.0,140.0,140.0,140.0,300.0,42000.0
2014-12-15,CFCL,0.0,144.0,138.0,144.0,234.0,32832.0
2014-12-16,CFCL,0.0,154.0,145.0,154.0,1645.0,243847.0
2014-12-17,CFCL,0.0,151.0,146.0,146.0,1135.0,167588.0
2014-12-18,CFCL,0.0,148.0,144.0,148.0,887.0,128928.0
2014-12-21,CFCL,0.0,146.0,146.0,146.0,510.0,74460.0
2014-12-22,CFCL,0.0,148.0,146.0,146.0,600.0,87800.0
2014-12-23,CFCL,0.0,146.0,146.0,146.0,46.0,6716.0
2014-12-24,CFCL,0.0,145.0,144.0,144.0,96.0,13908.0
2014-12-29,CFCL,0.0,146.0,144.0,146.0,196.0,28316.0
2015-01-04,CFCL,0.0,153.0,148.0,153.0,398.0,59398.0
2015-01-06,CFCL,0.0,153.0,150.0,153.0,1401.0,213378.0
2015-01-07,CFCL,0.0,150.0,147.0,147.0,426.0,63135.0
2015-01-08,CFCL,0.0,151.0,147.0,151.0,242.0,35916.0
2015-01-11,CFCL,0.0,154.0,154.0,154.0,287.0,44198.0
2015-01-19,CFCL,0.0,163.0,156.0,162.0,3889.0,620247.0
2015-01-20,CFCL,0.0,171.0,160.0,171.0,3126.0,521558.0
2015-01-22,CFCL,0.0,168.0,168.0,168.0,200.0,33600.0
2015-01-26,CFCL,0.0,166.0,165.0,165.0,265.0,43925.0
2015-01-27,CFCL,0.0,162.0,157.0,159.0,785.0,125319.0
2015-01-28,CFCL,0.0,159.0,159.0,159.0,500.0,79500.0
2015-02-01,CFCL,0.0,162.0,161.0,162.0,2508.0,405938.0
2015-02-02,CFCL,0.0,160.0,160.0,160.0,272.0,43520.0
2015-02-03,CFCL,0.0,173.0,163.0,173.0,1263.0,213438.0
