BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-06-09,CHDC,416.0,457.0,416.0,457.0,261,116377.0
2021-06-10,CHDC,479.0,502.0,479.0,502.0,590,295490.0
2021-06-13,CHDC,527.0,552.0,527.0,552.0,1281,705911.0
2021-06-14,CHDC,579.0,607.0,579.0,607.0,1780,1077600.0
2021-06-15,CHDC,637.0,667.0,637.0,667.0,3300,2199900.0
2021-06-16,CHDC,700.0,733.0,700.0,733.0,28761,21060729.0
2021-06-17,CHDC,769.0,806.0,680.0,685.0,139756,102121340.0
2021-06-20,CHDC,700.0,700.0,619.0,635.0,66666,42432744.0
2021-06-21,CHDC,623.0,635.0,593.0,612.0,30308,18343968.0
2021-06-22,CHDC,601.0,645.0,590.0,638.0,24901,15317442.0
2021-06-23,CHDC,635.0,635.0,599.0,610.0,21451,13049725.0
2021-06-24,CHDC,598.0,605.0,588.0,588.0,20819,12393797.0
2021-06-27,CHDC,588.0,610.0,573.0,574.0,15787,9164421.0
2021-06-28,CHDC,570.0,600.0,563.0,592.0,18982,11084026.0
2021-06-29,CHDC,600.0,605.0,577.0,585.0,14902,8803154.0
2021-06-30,CHDC,580.0,590.0,560.0,578.0,9389,5324284.0
2021-07-01,CHDC,567.0,590.0,567.0,579.0,14450,8400640.0
2021-07-04,CHDC,590.0,625.0,581.0,621.0,41720,25388266.0
2021-07-05,CHDC,625.0,669.0,620.0,654.0,51282,33328063.0
2021-07-06,CHDC,663.0,663.0,630.0,643.0,26520,17217690.0
2021-07-07,CHDC,635.0,645.0,625.0,635.0,21037,13344093.0
2021-07-08,CHDC,623.0,636.0,617.0,623.0,18339,11462081.0
2021-07-11,CHDC,610.0,644.0,610.0,635.0,30632,19366527.0
2021-07-12,CHDC,635.0,645.0,616.0,620.0,20503,12839503.0
2021-07-13,CHDC,613.0,620.0,608.0,610.0,15988,9810703.0
2021-07-14,CHDC,610.0,628.0,604.0,620.0,10935,6746705.0
2021-07-15,CHDC,620.0,630.0,611.0,619.0,12077,7453652.0
2021-07-18,CHDC,620.0,626.0,614.0,620.1,12597,7791193.0
2021-07-19,CHDC,625.0,644.0,620.0,642.0,28160,17844606.0
2021-07-20,CHDC,631.4,700.0,630.0,690.0,85932,58010019.2
2021-07-22,CHDC,700.0,759.0,690.0,759.0,105781,78166684.5
2021-07-25,CHDC,760.0,810.0,758.0,806.0,106809,84892159.0
2021-07-26,CHDC,822.1,840.0,777.0,836.0,87376,70532485.6
2021-07-27,CHDC,836.0,850.0,805.0,827.0,54095,44868020.5
2021-07-28,CHDC,816.0,830.0,785.0,817.0,48150,38921256.0
2021-07-29,CHDC,817.0,818.0,787.0,800.0,51189,41059604.5
2021-08-01,CHDC,800.0,880.0,800.0,877.0,78768,65684547.0
2021-08-02,CHDC,890.0,894.5,844.0,845.0,78313,67466456.0
2021-08-03,CHDC,845.0,912.8,835.0,912.8,65324,56854735.8
2021-08-04,CHDC,931.0,1000.0,913.0,975.0,91969,89763361.7
2021-08-05,CHDC,975.0,992.0,937.0,941.0,59129,56473288.0
2021-08-08,CHDC,925.0,955.0,908.0,940.0,58440,54918125.0
2021-08-09,CHDC,926.0,970.0,926.0,949.0,46679,44545092.0
2021-08-10,CHDC,949.0,970.0,930.1,935.0,29357,27671512.8
2021-08-11,CHDC,940.0,1028.5,932.0,1009.0,67588,66611564.0
2021-08-12,CHDC,1009.0,1085.0,991.0,1050.0,62758,66066316.0
2021-08-15,CHDC,1050.0,1060.8,990.0,1030.0,88109,89168384.8
