BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-06-11,CITY,111.1,122.2,111.1,122.2,376,44410.1
2023-06-12,CITY,120.8,134.4,120.8,134.4,279,35902.7
2023-06-13,CITY,135.7,147.8,135.7,147.8,201,28811.2
2023-06-14,CITY,147.8,162.5,147.8,162.5,167,26066.5
2023-06-15,CITY,165.7,178.7,165.7,178.7,122,21388.8
2023-06-18,CITY,182.2,196.5,182.2,196.5,240,46418.8
2023-06-19,CITY,193.3,216.1,193.3,216.1,370,79108.8
2023-06-20,CITY,220.4,237.7,220.4,237.7,379,89407.7
2023-06-21,CITY,242.4,261.4,242.4,261.4,411,106550.3
2023-06-22,CITY,265.0,287.5,265.0,287.5,650,185994.8
2023-06-25,CITY,293.2,316.2,293.2,316.2,1379,435131.0
2023-06-26,CITY,315.0,347.8,315.0,347.8,1571,545021.4
2023-06-27,CITY,350.8,382.5,350.8,382.5,1170,446232.5
2023-06-28,CITY,390.1,420.7,390.1,420.7,2020,848981.2
2023-07-02,CITY,429.0,462.7,429.0,462.7,3300,1523889.1
2023-07-03,CITY,471.0,508.9,471.0,508.9,6980,3549917.9
2023-07-04,CITY,519.0,559.7,519.0,559.7,7617,4261095.3
2023-07-05,CITY,570.8,615.6,570.8,615.6,9080,5585798.8
2023-07-06,CITY,627.9,677.1,591.0,677.1,231095,147361945.7
2023-07-09,CITY,690.6,744.0,650.0,741.5,62258,44747371.8
2023-07-10,CITY,726.7,740.0,695.0,695.1,126319,90162762.1
2023-07-11,CITY,685.0,715.0,671.0,686.0,58697,40357844.0
2023-07-12,CITY,675.0,692.0,673.0,690.0,33430,22821111.8
2023-07-13,CITY,680.0,725.0,680.0,696.1,48946,34570510.4
2023-07-16,CITY,695.0,710.0,680.0,680.1,35142,24243439.8
2023-07-17,CITY,680.0,701.7,675.2,694.0,27694,19195434.2
2023-07-18,CITY,695.0,704.0,682.1,684.0,35422,24542790.5
2023-07-19,CITY,678.0,691.0,678.0,681.0,24277,16631191.0
2023-07-20,CITY,680.0,689.0,670.0,673.0,35863,24279836.5
2023-07-23,CITY,662.0,711.1,662.0,703.0,43400,30162346.8
2023-07-24,CITY,703.0,718.0,690.0,690.0,43206,30426333.2
2023-07-25,CITY,690.0,754.0,690.0,743.4,89503,64925330.5
2023-07-26,CITY,740.0,782.5,730.0,758.0,60581,46383052.7
2023-07-27,CITY,758.0,759.0,725.0,727.0,52373,38868664.3
2023-07-30,CITY,715.1,734.0,715.1,722.0,34251,24764748.3
2023-07-31,CITY,718.0,744.0,716.3,720.0,44320,32293229.4
2023-08-01,CITY,730.0,731.0,696.1,702.0,29963,21303917.9
2023-08-02,CITY,716.0,744.9,694.0,715.0,20705,14700730.0
2023-08-03,CITY,729.0,743.8,705.0,706.1,23273,16659218.3
2023-08-06,CITY,700.0,703.0,685.0,690.0,30666,21256566.8
2023-08-07,CITY,682.0,707.0,680.0,685.0,11376,7868917.5
2023-08-08,CITY,678.0,696.0,678.0,678.0,17741,12149941.3
2023-08-09,CITY,678.0,690.0,671.0,690.0,13669,9286428.2
2023-08-10,CITY,680.0,729.5,680.0,706.5,45639,32532987.8
2023-08-13,CITY,701.1,730.0,701.1,720.0,39511,28442911.8
2023-08-14,CITY,711.0,730.0,709.0,712.0,24937,17906321.9
2023-08-15,CITY,697.8,705.0,686.0,693.1,41263,28626139.8
2023-08-16,CITY,685.0,693.0,680.0,690.0,17406,11915598.1
2023-08-17,CITY,680.0,713.8,680.0,712.7,23199,16263750.3
2023-08-20,CITY,701.0,710.0,688.3,688.3,12734,8890027.7
2023-08-21,CITY,680.4,698.5,680.4,685.0,8873,6073287.4
2023-08-22,CITY,685.0,693.0,680.9,693.0,9222,6318278.1
2023-08-23,CITY,685.0,704.0,685.0,699.5,22771,15846533.4
2023-08-24,CITY,698.0,700.0,677.0,678.0,15454,10612979.2
2023-08-27,CITY,670.0,675.0,665.0,670.0,11972,8020670.0
2023-08-28,CITY,661.2,703.8,657.3,700.0,23937,16027554.2
2023-08-29,CITY,686.0,695.0,667.0,688.0,17851,12099324.9
2023-08-30,CITY,675.0,756.0,670.1,756.0,26306,18241041.8
2023-09-03,CITY,740.9,740.9,680.4,680.4,54143,37402780.2
2023-09-04,CITY,666.8,690.0,666.8,679.0,14863,10021158.8
2023-09-05,CITY,678.0,678.0,661.0,669.0,14198,9456406.7
2023-09-07,CITY,660.1,670.0,655.0,655.1,8107,5347816.9
2023-09-10,CITY,665.0,694.0,658.1,661.0,7449,4993268.4
2023-09-11,CITY,655.0,677.0,655.0,676.0,10033,6722258.7
2023-09-12,CITY,670.1,675.0,655.0,659.0,9137,6058767.0
2023-09-13,CITY,670.0,683.4,657.1,675.0,8740,5860060.0
2023-09-17,CITY,662.0,670.0,648.0,652.9,13600,8925464.0
2023-09-18,CITY,647.0,663.0,646.0,655.0,2878,1886212.6
2023-09-19,CITY,660.0,668.0,645.0,655.9,9890,6441635.6
2023-09-21,CITY,669.0,677.0,656.3,667.0,21181,14166165.0
2023-09-24,CITY,659.0,674.0,652.0,660.0,8748,5793341.0
2023-09-25,CITY,647.1,665.0,647.1,650.1,9905,6483734.0
2023-09-26,CITY,656.0,661.9,650.1,652.0,13716,8998818.9
2023-09-27,CITY,650.0,659.0,637.0,645.0,26699,17197488.1
2023-10-01,CITY,633.1,648.0,620.0,629.8,12258,7686389.0
2023-10-02,CITY,639.9,639.9,612.1,628.0,12344,7708203.6
2023-10-03,CITY,638.0,638.0,615.0,619.0,6450,3990890.1
2023-10-04,CITY,616.0,630.9,611.2,623.0,4100,2557536.1
2023-10-05,CITY,613.1,621.0,613.1,620.0,3443,2127483.0
2023-10-08,CITY,615.0,615.0,606.0,607.9,5824,3544530.0
2023-10-09,CITY,600.0,612.0,600.0,608.0,4821,2908169.1
2023-10-10,CITY,595.9,608.0,582.1,585.0,4175,2467873.0
2023-10-11,CITY,584.0,643.5,583.0,643.5,6976,4160143.4
2023-10-12,CITY,630.7,630.7,579.2,585.0,25946,15252438.0
2023-10-16,CITY,575.3,579.0,563.8,563.8,4761,2703098.5
2023-10-17,CITY,553.2,574.3,540.4,549.0,11098,6163769.1
2023-10-18,CITY,559.9,576.3,540.2,550.0,10625,5906934.6
2023-10-19,CITY,539.1,560.0,539.1,554.0,8174,4493729.5
2023-10-29,CITY,543.0,549.0,519.3,529.8,16955,8998940.2
2023-10-30,CITY,519.3,529.0,509.0,527.0,1964,1019828.0
2023-10-31,CITY,516.6,531.0,510.0,531.0,4394,2257370.0
2023-11-01,CITY,520.4,552.2,511.0,514.6,4755,2498369.8
2023-11-02,CITY,507.1,528.3,507.1,527.5,8116,4180831.3
2023-11-05,CITY,518.0,530.4,508.0,529.9,7688,3995744.0
2023-11-06,CITY,530.0,560.0,521.3,559.9,18615,10184128.1
2023-11-07,CITY,550.0,580.0,550.0,570.9,12422,7018547.1
2023-11-08,CITY,559.5,575.0,537.5,569.0,8084,4542023.5
2023-11-09,CITY,558.0,571.9,542.2,542.2,17032,9370750.0
2023-11-20,CITY,542.2,550.0,525.0,529.9,9553,5102669.5
2023-11-21,CITY,529.0,550.8,509.0,509.0,7002,3692549.0
2023-11-22,CITY,509.0,532.8,503.7,532.0,3610,1891131.0
2023-11-23,CITY,522.0,542.0,515.0,536.0,5328,2839622.0
2023-11-26,CITY,536.0,564.0,529.0,547.0,18146,9998425.7
2023-11-27,CITY,547.0,567.0,545.0,558.0,11888,6592066.0
2023-11-28,CITY,547.1,600.0,547.1,574.0,16293,9325104.1
2023-11-29,CITY,574.0,609.0,566.0,568.2,16853,9856579.4
2023-11-30,CITY,558.5,566.0,552.8,559.0,9154,5106931.8
2023-12-03,CITY,550.1,560.0,550.0,556.0,2371,1319533.1
2023-12-04,CITY,555.0,575.0,549.0,561.0,10684,6048004.5
2023-12-05,CITY,551.2,571.0,550.0,551.1,3032,1681805.0
2023-12-06,CITY,540.2,556.0,540.2,547.0,6350,3490708.0
2023-12-07,CITY,545.0,569.0,542.4,552.0,8628,4822902.1
2023-12-10,CITY,563.0,593.0,557.0,593.0,4970,2804629.0
2023-12-11,CITY,604.8,604.8,575.0,588.0,42426,24750072.7
2023-12-12,CITY,577.0,626.0,565.5,620.0,48431,29253306.5
2023-12-13,CITY,620.0,637.7,611.0,615.0,20914,12998207.4
2023-12-14,CITY,603.1,620.0,602.8,610.0,16645,10148631.4
2023-12-17,CITY,597.8,630.0,592.0,627.9,22256,13701502.1
2023-12-18,CITY,616.0,670.0,616.0,663.9,41253,26949001.8
2023-12-19,CITY,651.0,730.2,651.0,726.9,83015,58754116.1
2023-12-20,CITY,712.4,747.0,712.4,720.0,54276,39782937.2
2023-12-21,CITY,729.0,729.0,687.0,687.0,38534,26968730.0
2023-12-24,CITY,685.0,739.0,678.0,694.0,71383,50820918.4
2023-12-27,CITY,690.2,707.0,685.1,698.8,17575,12204672.4
2023-12-28,CITY,690.0,710.0,680.1,696.9,15924,10983988.6
2024-01-01,CITY,696.9,719.0,691.0,708.0,27342,19271498.8
2024-01-02,CITY,722.1,722.1,680.0,683.0,23063,16027677.2
2024-01-03,CITY,680.0,696.0,670.0,687.9,15021,10262381.5
2024-01-04,CITY,700.0,700.0,674.0,674.0,16216,11079186.5
2024-01-07,CITY,687.0,693.0,666.5,667.0,29705,19855141.5
2024-01-08,CITY,655.1,689.5,655.1,685.0,11856,8085017.3
2024-01-09,CITY,692.0,722.0,685.0,689.2,63932,45216457.4
2024-01-10,CITY,675.5,715.0,671.0,682.0,18896,12872544.2
2024-01-11,CITY,682.0,694.0,670.0,670.3,9835,6655162.5
2024-01-14,CITY,680.0,693.6,662.1,674.9,10839,7312652.6
2024-01-16,CITY,675.0,690.9,675.0,676.5,22849,15600158.3
2024-01-17,CITY,675.0,684.9,653.8,665.0,25055,16738077.6
2024-01-18,CITY,660.0,668.0,646.0,655.3,14621,9573045.0
2024-01-21,CITY,642.3,660.0,632.0,640.0,17070,11013233.6
2024-01-22,CITY,639.0,653.5,632.2,643.0,15635,10017657.2
2024-01-23,CITY,644.0,677.0,633.0,675.0,17846,11580105.3
2024-01-24,CITY,687.4,687.4,645.6,659.0,22243,14673490.0
2024-01-25,CITY,650.0,663.0,633.0,647.7,10842,6944448.0
