BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-07-10,CIZBD86,1020.0,1040.0,1000.0,1040.0,230,231500.0
2023-07-12,CIZBD86,1020.0,1020.0,1020.0,1020.0,25,25500.0
2023-07-27,CIZBD86,1000.0,1020.0,1000.0,1020.0,25025,25525000.0
2023-07-31,CIZBD86,1000.0,1000.0,1000.0,1000.0,150,150000.0
2023-11-30,CIZBD86,980.0,980.0,980.0,980.0,150,147000.0
2023-12-04,CIZBD86,980.0,980.0,980.0,980.0,25,24500.0
2023-12-05,CIZBD86,980.0,980.0,961.0,961.0,250,244412.5
2023-12-17,CIZBD86,963.1,963.1,963.1,963.1,25,24077.5
2023-12-20,CIZBD86,966.0,966.0,965.0,965.0,100,96527.5
2023-12-24,CIZBD86,967.0,967.0,967.0,967.0,25,24175.0
2024-01-16,CIZBD86,950.2,950.2,950.2,950.2,25,23755.0
2024-01-17,CIZBD86,950.0,953.0,950.0,953.0,75,71325.0
2024-01-21,CIZBD86,972.0,972.0,972.0,972.0,10,9720.0
2024-01-23,CIZBD86,990.0,991.0,990.0,991.0,40,39625.0
2024-01-25,CIZBD86,990.0,990.0,990.0,990.0,25,24750.0
2024-01-28,CIZBD86,990.0,995.0,990.0,995.0,60,59525.0
