BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-21,CKHL,300.0,330.0,300.0,330.0,2080,683944.5
2023-12-24,CKHL,335.5,363.0,335.5,363.0,3090,1120048.4
2023-12-27,CKHL,363.0,399.3,363.0,399.3,3660,1459771.6
2023-12-28,CKHL,407.0,439.2,407.0,439.2,5760,2528288.1
2024-01-01,CKHL,447.9,483.1,447.9,483.1,4780,2304831.0
2024-01-02,CKHL,492.7,531.4,492.7,531.4,7805,4010775.35
2024-01-03,CKHL,542.0,584.5,535.1,549.0,85750,47627071.0
2024-01-04,CKHL,540.0,593.0,527.4,589.2,30058,16960690.4
2024-01-07,CKHL,595.0,595.0,555.5,556.0,33610,19052914.9
2024-01-08,CKHL,550.0,581.0,545.1,560.0,26658,14804913.5
2024-01-09,CKHL,571.2,571.2,545.1,546.0,20017,11098914.9
2024-01-10,CKHL,540.0,566.0,540.0,550.0,18125,10079452.0
2024-01-11,CKHL,550.0,567.1,542.0,552.0,12850,7099835.0
2024-01-14,CKHL,552.0,582.0,552.0,582.0,29379,16711231.2
2024-01-16,CKHL,575.0,591.9,562.0,566.0,27503,15697788.9
2024-01-17,CKHL,566.0,567.1,532.2,532.2,19224,10535538.3
2024-01-18,CKHL,523.0,542.0,510.1,542.0,25225,13041862.5
2024-01-21,CKHL,552.8,552.8,514.0,518.0,24374,12849334.9
2024-01-22,CKHL,509.0,518.0,502.0,515.0,16169,8251636.1
2024-01-23,CKHL,505.0,529.9,505.0,510.2,9940,5108266.0
2024-01-24,CKHL,511.5,520.0,505.7,512.0,9615,4934912.0
2024-01-25,CKHL,501.8,521.2,496.0,513.0,11475,5794400.0
2024-01-28,CKHL,511.0,519.0,505.3,511.5,9710,4958910.0
