BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-06-13,CYCL,382.2,382.2,382.2,382.2,60,22848.1
2022-06-15,CYCL,389.8,420.4,389.8,420.4,60,24108.0
2022-06-17,CYCL,428.8,437.3,428.8,437.3,20,8661.0
2022-06-19,CYCL,446.0,454.9,446.0,454.9,30,13504.2
2022-06-20,CYCL,463.9,500.3,463.9,500.3,70,34125.0
2022-06-21,CYCL,510.3,550.3,510.3,550.3,60,31562.0
2022-06-22,CYCL,550.3,550.3,550.3,550.3,10,5436.1
2022-06-23,CYCL,561.3,605.3,561.3,605.3,50,29185.0
2022-06-24,CYCL,605.3,655.0,605.3,655.0,50,31403.2
2022-06-26,CYCL,668.1,720.5,668.1,720.5,70,49149.0
2022-06-27,CYCL,734.9,792.5,734.9,792.5,70,54059.0
2022-06-28,CYCL,780.0,871.7,780.0,871.7,89,74479.3
2022-06-29,CYCL,889.1,958.8,889.1,958.8,80,74993.0
2022-06-30,CYCL,977.9,1054.6,977.9,1054.6,100,103520.7
2022-07-01,CYCL,1075.6,1160.0,1075.6,1160.0,76,85048.9
2022-07-03,CYCL,1183.2,1276.0,1183.2,1276.0,88,109760.6
2022-07-04,CYCL,1276.0,1403.6,1276.0,1403.6,170,235432.0
2022-07-05,CYCL,1431.6,1543.9,1431.6,1543.9,144,219370.5
2022-07-06,CYCL,1543.9,1698.2,1543.9,1698.2,134,223790.2
2022-12-11,CYCL,1732.1,1868.0,1732.1,1868.0,1150,2130313.2
2022-12-12,CYCL,1905.0,2054.8,1905.0,2054.8,1489,3055538.3
2022-12-13,CYCL,2014.1,2260.2,2014.1,2260.2,2019,4554799.8
2022-12-14,CYCL,2305.4,2486.2,2305.4,2486.2,760,1885082.0
2022-12-15,CYCL,2535.9,2734.8,2341.0,2405.0,25894,63994164.7
2022-12-18,CYCL,2405.0,2405.0,2335.1,2341.0,13170,31132998.0
2022-12-19,CYCL,2341.0,2520.0,2318.0,2481.0,5360,12749348.5
2022-12-20,CYCL,2499.0,2723.0,2470.0,2670.0,8826,22810319.0
2022-12-21,CYCL,2700.0,2710.0,2617.0,2648.0,8055,21434185.5
2022-12-22,CYCL,2680.0,2680.0,2518.0,2593.0,5725,14681211.0
2022-12-26,CYCL,2644.0,2644.0,2420.0,2472.0,11147,27406162.2
2022-12-27,CYCL,2480.0,2500.0,2423.0,2426.0,7093,17316143.0
2022-12-28,CYCL,2380.0,2455.0,2380.0,2427.0,3648,8859870.7
2022-12-29,CYCL,2400.0,2447.0,2400.0,2440.0,2489,6053777.5
2023-01-01,CYCL,2480.0,2480.0,2392.0,2450.0,5342,13095199.8
2023-01-02,CYCL,2460.0,2525.5,2450.1,2508.0,9223,23048685.1
2023-01-03,CYCL,1967.8,2087.0,1967.8,2000.0,8107,16320654.2
2023-01-04,CYCL,2040.0,2040.0,1977.0,2020.0,3375,6760634.7
2023-01-05,CYCL,2050.0,2144.0,2021.0,2106.1,3939,8158720.7
2023-01-08,CYCL,2148.0,2148.0,2050.0,2051.0,6353,13238525.8
2023-01-09,CYCL,2050.0,2050.0,2014.2,2018.0,5380,10894234.5
2023-01-10,CYCL,2057.9,2057.9,1975.0,1976.0,6054,12100264.2
2023-01-12,CYCL,2015.5,2019.0,1922.9,1944.0,4309,8463764.8
2023-01-17,CYCL,1980.0,1980.0,1910.0,1980.0,2478,4794773.5
2023-01-18,CYCL,1985.0,2010.0,1935.0,1940.0,1512,2986472.5
