BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-07-22,GBBD85,1000.0,1000.0,1000.0,1000.0,25,25000.0
2022-09-22,GBBD85,980.0,980.0,901.0,901.0,278,256841.5
2022-09-27,GBBD85,883.0,883.0,810.9,810.9,95,78913.5
2022-10-10,GBBD85,794.7,794.7,729.9,745.0,566,430666.6
2022-10-11,GBBD85,730.1,735.1,722.5,735.1,320,233720.0
2022-10-12,GBBD85,729.1,745.0,729.1,745.0,249,183332.0
2022-10-13,GBBD85,740.0,754.8,740.0,750.1,255,189708.0
2022-10-16,GBBD85,737.8,762.0,737.7,762.0,265,196462.5
2022-10-19,GBBD85,746.8,748.1,740.1,748.1,125,93235.5
2022-10-20,GBBD85,748.0,762.9,748.0,760.0,150,113772.5
2022-10-31,GBBD85,774.5,775.0,774.5,775.0,100,77487.5
2022-11-01,GBBD85,759.5,759.5,755.0,755.0,80,60560.0
2022-11-02,GBBD85,755.0,755.0,750.0,750.0,150,113010.0
2022-11-03,GBBD85,750.0,750.0,750.0,750.0,25,18750.0
2022-11-06,GBBD85,745.0,745.1,745.0,745.1,125,93127.5
2022-11-07,GBBD85,745.1,745.1,743.1,743.1,75,55830.0
2022-11-08,GBBD85,750.0,765.0,742.4,765.0,135,101470.0
2022-11-10,GBBD85,749.7,750.4,749.7,750.4,75,56255.0
2022-11-13,GBBD85,750.1,750.1,750.0,750.0,40,30002.5
2022-11-14,GBBD85,747.0,750.0,746.4,750.0,40,29919.0
2022-11-15,GBBD85,751.0,751.0,747.0,747.0,50,37440.0
2022-11-16,GBBD85,755.0,755.0,755.0,755.0,50,37750.0
2022-11-17,GBBD85,750.0,750.1,750.0,750.1,50,37502.5
2022-11-22,GBBD85,752.0,752.0,752.0,752.0,25,18800.0
2022-11-23,GBBD85,755.2,755.2,752.1,752.1,135,101843.5
2022-11-27,GBBD85,754.0,760.0,754.0,755.0,90,67975.0
2022-11-28,GBBD85,770.0,801.1,770.0,801.1,470,374547.0
2022-11-29,GBBD85,801.1,817.0,801.1,817.0,225,181090.0
2022-11-30,GBBD85,800.7,816.7,800.7,816.7,105,84473.5
2022-12-04,GBBD85,814.7,820.0,813.0,820.0,375,306222.5
2022-12-05,GBBD85,834.0,834.0,834.0,834.0,25,20850.0
2022-12-20,GBBD85,817.4,817.4,801.1,801.1,75,60490.0
2022-12-21,GBBD85,817.0,822.0,800.8,822.0,625,510400.0
2022-12-22,GBBD85,806.0,838.0,790.0,838.0,60,49000.0
2022-12-26,GBBD85,825.0,845.0,808.6,845.0,125,103475.0
2022-12-27,GBBD85,830.0,830.0,830.0,830.0,25,20750.0
2022-12-28,GBBD85,830.0,830.0,830.0,830.0,70,58100.0
2022-12-29,GBBD85,830.0,830.0,830.0,830.0,50,41500.0
2023-01-01,GBBD85,815.0,830.0,798.7,830.0,300,244252.5
2023-01-02,GBBD85,830.0,847.0,830.0,847.0,175,147690.0
2023-01-03,GBBD85,844.0,847.0,835.0,835.0,150,126575.0
2023-01-04,GBBD85,820.0,840.0,820.0,840.0,150,124110.0
2023-01-05,GBBD85,825.0,825.0,825.0,825.0,75,61875.0
2023-01-08,GBBD85,815.0,815.0,795.1,800.0,195,156244.0
2023-01-09,GBBD85,795.0,827.0,795.0,827.0,100,81739.0
2023-01-10,GBBD85,843.5,860.3,843.5,860.3,35,29942.5
2023-01-12,GBBD85,877.5,892.0,877.5,892.0,185,162670.0
2023-01-31,GBBD85,874.2,874.2,874.2,874.2,10,8742.0
2023-02-15,GBBD85,856.8,856.8,787.0,787.0,215,172175.5
