BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-05-07,GBD80/81,982.0,982.0,982.0,982.0,10,9820.0
2023-05-10,GBD80/81,990.0,990.0,990.0,990.0,140,138600.0
2023-05-15,GBD80/81,985.0,985.0,985.0,985.0,25,24625.0
2023-05-16,GBD80/81,991.1,991.1,991.1,991.1,200,198220.0
2023-05-17,GBD80/81,996.0,996.0,996.0,996.0,40,39840.0
2023-05-18,GBD80/81,985.0,985.0,985.0,985.0,100,98500.0
2023-05-21,GBD80/81,992.0,1010.0,992.0,1010.0,85,85400.0
2023-05-28,GBD80/81,1010.0,1010.0,1010.0,1010.0,50,50500.0
2023-06-01,GBD80/81,1022.0,1022.0,1022.0,1022.0,25,25550.0
2023-06-08,GBD80/81,1002.0,1002.0,1002.0,1002.0,25,25050.0
2023-06-11,GBD80/81,995.0,1000.0,995.0,995.0,114,113500.0
2023-06-12,GBD80/81,994.0,1000.0,994.0,1000.0,111,110850.0
2023-06-14,GBD80/81,1017.0,1017.0,1017.0,1017.0,24,24408.0
2023-06-18,GBD80/81,996.8,1010.0,996.8,1010.0,310,312968.0
2023-06-19,GBD80/81,1010.0,1010.0,1010.0,1010.0,191,192910.0
2023-07-04,GBD80/81,1010.0,1010.0,1010.0,1010.0,50,50500.0
2023-07-06,GBD80/81,1002.0,1002.0,1002.0,1002.0,25,25050.0
2023-07-09,GBD80/81,1022.0,1022.0,1022.0,1022.0,25,25550.0
2023-07-11,GBD80/81,1040.0,1040.0,1040.0,1040.0,10,10400.0
2023-07-12,GBD80/81,1059.9,1059.9,1059.9,1059.9,10,10599.0
2023-07-13,GBD80/81,1038.8,1075.0,1038.8,1075.0,45,47310.0
2023-08-08,GBD80/81,1053.5,1053.5,978.2,978.2,690,679247.8
2023-08-09,GBD80/81,985.0,985.0,985.0,985.0,140,137900.0
2023-08-21,GBD80/81,973.6,973.6,973.6,973.6,25,24340.0
2023-08-24,GBD80/81,990.0,990.0,990.0,990.0,12,11880.0
2023-08-27,GBD80/81,995.0,995.0,995.0,995.0,13,12935.0
2023-08-28,GBD80/81,999.0,999.0,999.0,999.0,25,24975.0
2023-08-30,GBD80/81,1014.9,1014.9,1014.9,1014.9,10,10149.0
2023-09-07,GBD80/81,1014.0,1014.9,1014.0,1014.9,150,152192.5
2023-09-18,GBD80/81,995.0,995.0,995.0,995.0,100,99500.0
2023-10-02,GBD80/81,1000.0,1000.0,1000.0,1000.0,40,40000.0
2023-10-05,GBD80/81,990.0,990.0,990.0,990.0,30,29700.0
2023-10-09,GBD80/81,1009.0,1009.0,1009.0,1009.0,25,25225.0
2023-10-10,GBD80/81,990.8,990.8,990.8,990.8,25,24770.0
2023-10-11,GBD80/81,990.6,990.6,990.6,990.6,10,9906.0
2023-10-12,GBD80/81,989.5,992.0,989.5,992.0,138,136801.0
2023-10-31,GBD80/81,1000.0,1000.0,1000.0,1000.0,60,60000.0
2023-11-01,GBD80/81,995.1,995.1,995.0,995.0,50,49753.0
2023-11-05,GBD80/81,990.0,990.0,990.0,990.0,25,24750.0
2023-11-07,GBD80/81,990.0,990.0,990.0,990.0,20,19800.0
2023-11-08,GBD80/81,999.0,999.0,999.0,999.0,12,11988.0
2023-11-21,GBD80/81,1000.0,1000.0,1000.0,1000.0,200,200000.0
2023-11-22,GBD80/81,1005.0,1005.0,1005.0,1005.0,15,15075.0
2023-11-26,GBD80/81,1000.0,1000.0,1000.0,1000.0,25,25000.0
2023-11-27,GBD80/81,1002.1,1002.1,1000.1,1000.1,50,50082.0
2023-12-03,GBD80/81,1010.0,1028.0,1010.0,1028.0,60,61500.0
2023-12-05,GBD80/81,1039.9,1039.9,1039.9,1039.9,115,119588.5
2023-12-12,GBD80/81,1020.1,1020.1,1020.1,1020.1,25,25502.5
2023-12-13,GBD80/81,1020.0,1020.0,1020.0,1020.0,100,102000.0
2023-12-14,GBD80/81,1035.0,1035.0,1035.0,1035.0,10,10350.0
2023-12-18,GBD80/81,1029.0,1030.0,1029.0,1030.0,125,128725.0
2023-12-19,GBD80/81,1025.0,1030.0,1025.0,1030.0,750,771750.0
2023-12-21,GBD80/81,1025.0,1040.5,1020.1,1040.5,500,516339.0
2024-01-02,GBD80/81,1020.1,1020.1,1020.1,1020.1,25,25502.5
2024-01-07,GBD80/81,1024.1,1025.0,1024.1,1025.0,50,51227.5
2024-01-08,GBD80/81,1044.5,1054.0,1044.5,1054.0,55,57637.5
2024-01-09,GBD80/81,1040.0,1040.0,1040.0,1040.0,50,52000.0
2024-01-14,GBD80/81,1021.0,1021.0,1020.1,1020.1,25,25511.5
2024-01-16,GBD80/81,999.7,999.7,999.7,999.7,70,69979.0
2024-01-17,GBD80/81,1004.0,1004.8,1003.9,1004.6,699,701952.6
2024-01-22,GBD80/81,990.1,990.1,990.1,990.1,246,243564.6
2024-01-23,GBD80/81,1000.0,1000.0,1000.0,1000.0,53,53000.0
2024-01-24,GBD80/81,991.1,992.0,991.1,992.0,40,39671.0
2024-01-28,GBD80/81,992.0,1000.0,991.6,1000.0,360,359188.0
