BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-05-04,GBILD86/87,790.0,795.9,790.0,795.9,40,31747.5
2023-05-08,GBILD86/87,810.0,810.0,810.0,810.0,25,20250.0
2023-05-23,GBILD86/87,794.0,794.0,794.0,794.0,80,63520.0
2023-05-24,GBILD86/87,778.2,778.2,778.2,778.2,10,7782.0
2023-05-31,GBILD86/87,763.1,763.1,763.1,763.1,25,19077.5
2023-06-04,GBILD86/87,770.0,770.0,758.1,758.1,25,19131.0
2023-06-05,GBILD86/87,758.2,758.2,758.2,758.2,25,18955.0
2023-06-12,GBILD86/87,773.3,788.0,773.3,780.0,65,50873.0
2023-06-15,GBILD86/87,795.6,795.6,795.6,795.6,15,11934.0
2023-06-20,GBILD86/87,783.0,783.0,780.0,780.0,200,156275.0
2023-06-22,GBILD86/87,780.0,780.0,780.0,780.0,10,7800.0
2023-06-25,GBILD86/87,780.0,780.0,780.0,780.0,25,19500.0
2023-06-28,GBILD86/87,795.0,810.0,795.0,810.0,35,28200.0
2023-07-03,GBILD86/87,810.0,810.0,810.0,810.0,25,20250.0
2023-07-04,GBILD86/87,800.0,800.0,800.0,800.0,25,20000.0
2023-07-09,GBILD86/87,800.0,816.0,800.0,816.0,57,46112.0
2023-07-11,GBILD86/87,799.8,799.8,787.0,787.0,32,25376.0
2023-07-12,GBILD86/87,802.7,818.0,802.0,818.0,145,117038.0
2023-07-13,GBILD86/87,834.0,834.0,819.0,819.0,40,32985.0
2023-07-16,GBILD86/87,802.7,836.0,802.7,836.0,275,227705.5
2023-07-31,GBILD86/87,819.3,819.3,800.0,800.0,165,132268.0
2023-08-01,GBILD86/87,800.0,816.0,800.0,800.0,130,104480.0
2023-08-02,GBILD86/87,785.0,785.0,785.0,785.0,25,19625.0
2023-08-03,GBILD86/87,785.0,785.0,785.0,785.0,30,23550.0
2023-08-06,GBILD86/87,770.2,775.0,770.2,775.0,50,38630.0
2023-08-08,GBILD86/87,770.2,772.0,770.1,772.0,60,46256.0
2023-08-24,GBILD86/87,787.0,787.0,787.0,787.0,15,11805.0
2023-08-30,GBILD86/87,780.0,780.0,780.0,780.0,100,78000.0
2023-09-05,GBILD86/87,765.8,770.2,765.8,770.0,120,92324.0
2023-09-07,GBILD86/87,770.1,770.1,770.1,770.1,25,19252.5
2023-09-11,GBILD86/87,775.0,775.0,775.0,775.0,25,19375.0
2023-09-12,GBILD86/87,775.0,775.0,775.0,775.0,25,19375.0
2023-09-19,GBILD86/87,770.0,770.0,770.0,770.0,75,57750.0
2023-09-25,GBILD86/87,785.4,785.4,771.0,771.0,38,29525.2
2023-10-01,GBILD86/87,785.0,785.0,785.0,785.0,20,15700.0
2023-10-02,GBILD86/87,799.0,799.0,799.0,799.0,10,7990.0
2023-10-04,GBILD86/87,810.0,813.0,800.0,805.0,75,60405.0
2023-10-08,GBILD86/87,789.0,789.0,789.0,789.0,30,23670.0
2023-10-09,GBILD86/87,800.0,800.0,800.0,800.0,155,124000.0
2023-10-31,GBILD86/87,816.0,816.0,800.0,800.0,55,44480.0
2023-11-01,GBILD86/87,800.2,800.2,800.0,800.0,50,40005.0
2023-11-06,GBILD86/87,800.0,800.0,800.0,800.0,25,20000.0
2023-11-07,GBILD86/87,815.0,816.0,815.0,816.0,60,48935.0
2023-11-08,GBILD86/87,800.1,800.1,800.1,800.1,10,8001.0
2023-11-21,GBILD86/87,816.1,843.0,816.1,843.0,70,58116.0
2023-11-23,GBILD86/87,826.2,826.2,826.2,826.2,25,20655.0
2023-11-26,GBILD86/87,826.0,826.0,826.0,826.0,25,20650.0
2023-11-28,GBILD86/87,818.1,818.1,818.1,818.1,10,8181.0
2023-11-30,GBILD86/87,803.0,820.0,803.0,820.0,225,183925.0
2023-12-04,GBILD86/87,809.0,809.0,809.0,809.0,25,20225.0
2023-12-11,GBILD86/87,825.1,825.1,825.1,825.1,25,20627.5
2023-12-14,GBILD86/87,841.6,880.0,841.6,874.0,3250,2858280.0
2023-12-17,GBILD86/87,857.0,857.0,857.0,857.0,50,42850.0
2023-12-19,GBILD86/87,841.1,841.1,841.1,841.1,25,21027.5
2023-12-20,GBILD86/87,857.9,875.0,857.9,875.0,65,56020.0
2023-12-21,GBILD86/87,858.0,858.0,858.0,858.0,25,21450.0
2023-12-24,GBILD86/87,850.1,853.1,850.1,853.1,35,29783.5
2023-12-27,GBILD86/87,842.0,849.1,842.0,849.1,50,42277.5
2023-12-28,GBILD86/87,845.1,860.0,845.1,860.0,35,29951.0
2024-01-02,GBILD86/87,845.2,845.2,845.2,845.2,25,21130.0
2024-01-03,GBILD86/87,851.0,861.0,851.0,861.0,50,42800.0
2024-01-07,GBILD86/87,878.2,878.2,878.2,878.2,25,21955.0
2024-01-08,GBILD86/87,892.4,893.0,892.4,893.0,60,53565.0
2024-01-10,GBILD86/87,875.2,875.2,840.6,840.6,110,94184.9
2024-01-14,GBILD86/87,857.0,857.0,857.0,857.0,25,21425.0
2024-01-16,GBILD86/87,839.9,839.9,839.9,839.9,25,20997.5
2024-01-17,GBILD86/87,856.6,856.6,856.6,856.6,25,21415.0
2024-01-21,GBILD86/87,845.0,845.0,835.0,835.0,65,54705.0
2024-01-24,GBILD86/87,820.0,820.0,820.0,820.0,25,20500.0
