BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-04-17,GBILD86/87,1000.0,1000.0,1000.0,1000.0,50035,42535000.0
2022-04-26,GBILD86/87,980.0,980.0,980.0,980.0,10,9800.0
2022-06-22,GBILD86/87,960.4,960.4,960.4,960.4,10,9604.0
2022-06-30,GBILD86/87,941.2,941.2,923.0,923.0,60,56290.0
2022-07-04,GBILD86/87,904.6,904.6,833.0,833.0,235,198227.0
2022-07-05,GBILD86/87,817.0,817.1,801.1,815.0,515,415868.7
2022-07-06,GBILD86/87,815.0,815.0,804.1,804.1,50,40477.5
2022-07-07,GBILD86/87,802.1,810.0,802.1,810.0,100,80632.0
2022-07-08,GBILD86/87,802.5,802.5,799.3,799.3,200,160207.5
2022-07-12,GBILD86/87,794.5,800.0,794.5,798.0,60,47822.5
2022-07-13,GBILD86/87,797.1,801.0,797.1,798.0,125,99862.5
2022-07-18,GBILD86/87,783.0,783.0,782.0,782.0,80,62576.5
2022-07-19,GBILD86/87,775.0,775.0,763.1,769.0,105,80574.5
2022-07-20,GBILD86/87,755.2,783.0,755.1,770.0,155,118932.5
2022-07-21,GBILD86/87,785.0,785.0,775.0,775.0,100,78250.0
2022-07-24,GBILD86/87,770.6,770.6,770.5,770.6,135,104025.0
2022-07-25,GBILD86/87,771.0,771.5,770.6,770.6,200,154159.0
2022-07-26,GBILD86/87,770.0,770.0,770.0,770.0,25,19250.0
2022-07-27,GBILD86/87,785.4,785.4,780.0,780.0,130,101778.0
2022-07-28,GBILD86/87,795.6,795.6,795.6,795.6,245,194922.0
2022-08-01,GBILD86/87,790.0,790.0,790.0,790.0,125,98750.0
2022-08-02,GBILD86/87,775.0,780.0,775.0,776.0,100,77710.0
2022-08-03,GBILD86/87,775.0,775.0,770.0,770.0,50,38625.0
2022-08-09,GBILD86/87,759.3,759.3,759.3,759.3,25,18982.5
2022-08-10,GBILD86/87,765.0,765.0,760.5,760.5,60,45720.0
2022-08-11,GBILD86/87,760.0,760.0,759.2,759.2,25,18988.0
2022-08-14,GBILD86/87,774.3,774.3,774.3,774.3,50,38715.0
2022-08-16,GBILD86/87,770.0,770.0,770.0,770.0,25,19250.0
2022-08-17,GBILD86/87,770.0,770.1,770.0,770.1,25,19251.5
2022-08-18,GBILD86/87,775.0,775.0,775.0,775.0,35,27125.0
2022-08-22,GBILD86/87,772.0,775.0,772.0,772.0,130,100390.0
2022-08-24,GBILD86/87,775.0,775.0,775.0,775.0,25,19375.0
2022-08-25,GBILD86/87,790.5,790.5,790.5,790.5,25,19762.5
2022-08-28,GBILD86/87,774.8,774.8,774.8,774.8,161,124742.8
