BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-12-08,GBLBSP,0.0,187.0,187.0,187.0,25000.0,4675000.0
2020-12-28,GBLBSP,0.0,187.0,187.0,187.0,3194.0,637748.0
2021-04-26,GBLBSP,0.0,187.0,187.0,187.0,3700.0,1065400.0
2021-07-22,GBLBSP,634.0,634.0,634.0,634.0,1372.0,869848.0
2021-08-10,GBLBSP,634.0,634.0,634.0,634.0,159.0,100806.0
2021-09-02,GBLBSP,634.0,634.0,634.0,634.0,1100.0,331155.0
2022-02-16,GBLBSP,564.0,564.0,564.0,564.0,1272.0,717408.0
2022-04-05,GBLBSP,564.0,564.0,564.0,564.0,12000.0,4210000.0
2022-06-28,GBLBSP,564.0,564.0,564.0,564.0,400.0,176000.0
2023-06-18,GBLBSP,564.0,564.0,564.0,564.0,274982.0,103943196.0
