BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-01,GDBL,0.0,115.0,115.0,115.0,20.0,2300.0
2012-01-03,GDBL,0.0,113.0,106.0,106.0,630.0,69580.0
2012-01-04,GDBL,0.0,104.0,100.0,100.0,1460.0,150080.0
2012-01-05,GDBL,0.0,101.0,100.0,100.0,150.0,15080.0
2012-01-08,GDBL,0.0,103.0,101.0,103.0,1240.0,125560.0
2012-01-10,GDBL,0.0,105.0,105.0,105.0,420.0,44100.0
2012-01-11,GDBL,0.0,105.0,105.0,105.0,120.0,12600.0
2012-01-12,GDBL,0.0,107.0,107.0,107.0,130.0,13910.0
2012-01-16,GDBL,0.0,105.0,103.0,104.0,320.0,33400.0
2012-01-17,GDBL,0.0,104.0,102.0,104.0,150.0,15520.0
2012-01-18,GDBL,0.0,105.0,102.0,104.0,360.0,37280.0
2012-01-19,GDBL,0.0,105.0,105.0,105.0,20.0,2100.0
2012-01-22,GDBL,0.0,105.0,103.0,105.0,490.0,51230.0
2012-01-23,GDBL,0.0,107.0,105.0,105.0,840.0,89580.0
2012-01-25,GDBL,0.0,105.0,103.0,105.0,400.0,41680.0
2012-01-26,GDBL,0.0,107.0,104.0,107.0,920.0,96650.0
2012-01-29,GDBL,0.0,107.0,105.0,105.0,380.0,40130.0
2012-01-31,GDBL,0.0,106.0,104.0,105.0,1880.0,196800.0
2012-02-01,GDBL,0.0,106.0,104.0,106.0,1100.0,115760.0
2012-02-02,GDBL,0.0,106.0,104.0,106.0,1030.0,108210.0
2012-02-05,GDBL,0.0,108.0,106.0,106.0,370.0,39500.0
2012-02-06,GDBL,0.0,106.0,106.0,106.0,60.0,6360.0
2012-02-07,GDBL,0.0,105.0,105.0,105.0,50.0,5250.0
2012-02-08,GDBL,0.0,105.0,104.0,104.0,590.0,61880.0
2012-02-09,GDBL,0.0,104.0,103.0,103.0,870.0,90340.0
2012-02-12,GDBL,0.0,106.0,104.0,106.0,670.0,69960.0
2012-02-13,GDBL,0.0,109.0,104.0,108.0,630.0,67420.0
2012-02-14,GDBL,0.0,107.0,106.0,107.0,340.0,36340.0
2012-02-15,GDBL,0.0,108.0,107.0,108.0,270.0,29030.0
2012-02-16,GDBL,0.0,108.0,106.0,107.0,290.0,30930.0
2012-02-21,GDBL,0.0,111.0,106.0,108.0,1090.0,117630.0
2012-02-23,GDBL,0.0,109.0,108.0,108.0,360.0,39000.0
2012-02-26,GDBL,0.0,108.0,106.0,106.0,1180.0,126660.0
2012-02-27,GDBL,0.0,107.0,106.0,107.0,230.0,24500.0
2012-02-28,GDBL,0.0,108.0,106.0,108.0,800.0,85760.0
2012-02-29,GDBL,0.0,107.0,106.0,107.0,310.0,33010.0
2012-03-01,GDBL,0.0,107.0,107.0,107.0,360.0,38520.0
2012-03-04,GDBL,0.0,109.0,107.0,108.0,1130.0,121100.0
2012-03-05,GDBL,0.0,108.0,106.0,106.0,670.0,71170.0
2012-03-06,GDBL,0.0,108.0,107.0,107.0,170.0,18270.0
2012-03-11,GDBL,0.0,109.0,106.0,107.0,1120.0,119660.0
2012-03-12,GDBL,0.0,108.0,107.0,107.0,550.0,58960.0
2012-03-13,GDBL,0.0,108.0,107.0,108.0,480.0,51720.0
2012-03-14,GDBL,0.0,108.0,107.0,108.0,560.0,60070.0
2012-03-18,GDBL,143.0,141.0,131.0,131.0,100.0,13580.0
2012-03-19,GDBL,0.0,108.0,106.0,108.0,380.0,40840.0
2012-03-20,GDBL,0.0,108.0,105.0,105.0,210.0,22360.0
2012-03-21,GDBL,0.0,105.0,105.0,105.0,50.0,5250.0
2012-03-25,GDBL,0.0,105.0,103.0,105.0,890.0,92340.0
2012-03-26,GDBL,0.0,110.0,104.0,110.0,560.0,58780.0
2012-03-27,GDBL,0.0,108.0,104.0,104.0,320.0,33640.0
2012-03-28,GDBL,0.0,106.0,103.0,106.0,1970.0,206660.0
2012-03-29,GDBL,0.0,110.0,104.0,104.0,1030.0,107840.0
2012-04-01,GDBL,0.0,106.0,105.0,106.0,120.0,12700.0
2012-04-02,GDBL,0.0,108.0,104.0,107.0,730.0,78120.0
2012-04-03,GDBL,0.0,109.0,107.0,107.0,120.0,12930.0
2012-04-04,GDBL,0.0,109.0,104.0,106.0,1190.0,125090.0
2012-04-05,GDBL,0.0,107.0,106.0,106.0,360.0,38180.0
2012-04-08,GDBL,0.0,108.0,104.0,108.0,320.0,34020.0
2012-04-09,GDBL,0.0,107.0,106.0,107.0,80.0,8520.0
2012-04-11,GDBL,0.0,113.0,109.0,110.0,730.0,81000.0
2012-04-12,GDBL,0.0,118.0,112.0,118.0,250.0,28420.0
2012-04-15,GDBL,0.0,120.0,120.0,120.0,40.0,4800.0
2012-04-16,GDBL,0.0,122.0,122.0,122.0,40.0,4880.0
2012-04-17,GDBL,0.0,124.0,124.0,124.0,190.0,23560.0
2012-04-18,GDBL,0.0,126.0,122.0,126.0,550.0,67880.0
2012-04-19,GDBL,0.0,134.0,128.0,134.0,1050.0,138230.0
2012-04-22,GDBL,0.0,146.0,136.0,146.0,1820.0,262040.0
2012-04-24,GDBL,0.0,153.0,148.0,153.0,220.0,33140.0
2012-04-25,GDBL,0.0,159.0,156.0,159.0,120.0,19020.0
2012-04-26,GDBL,0.0,162.0,156.0,162.0,1710.0,274060.0
2012-04-29,GDBL,0.0,160.0,160.0,160.0,260.0,41600.0
2012-04-30,GDBL,0.0,157.0,148.0,148.0,490.0,73930.0
2012-05-03,GDBL,0.0,150.0,150.0,150.0,20.0,3000.0
2012-05-07,GDBL,0.0,153.0,153.0,153.0,110.0,16830.0
2012-05-08,GDBL,0.0,153.0,150.0,150.0,730.0,110580.0
2012-05-09,GDBL,0.0,147.0,144.0,145.0,980.0,142510.0
2012-05-10,GDBL,0.0,145.0,141.0,143.0,450.0,64430.0
2012-05-13,GDBL,0.0,141.0,139.0,139.0,60.0,8380.0
2012-05-14,GDBL,0.0,137.0,130.0,130.0,1000.0,131750.0
2012-05-15,GDBL,0.0,143.0,132.0,141.0,770.0,107350.0
2012-05-17,GDBL,0.0,145.0,143.0,145.0,1420.0,203220.0
2012-05-20,GDBL,0.0,145.0,145.0,145.0,100.0,14500.0
2012-05-27,GDBL,0.0,145.0,139.0,141.0,700.0,98800.0
2012-06-03,GDBL,0.0,139.0,135.0,135.0,150.0,20490.0
2012-06-04,GDBL,0.0,137.0,134.0,135.0,320.0,43500.0
2012-06-05,GDBL,0.0,133.0,125.0,126.0,1820.0,230140.0
2012-06-06,GDBL,0.0,124.0,122.0,123.0,450.0,55620.0
2012-06-07,GDBL,0.0,122.0,121.0,122.0,470.0,57050.0
2012-06-10,GDBL,0.0,122.0,116.0,117.0,1070.0,127570.0
2012-06-12,GDBL,0.0,118.0,116.0,118.0,210.0,24420.0
2012-06-13,GDBL,0.0,123.0,120.0,120.0,750.0,90890.0
2012-06-14,GDBL,0.0,128.0,119.0,128.0,520.0,62630.0
2012-06-17,GDBL,0.0,128.0,122.0,122.0,670.0,83290.0
2012-06-18,GDBL,0.0,122.0,120.0,122.0,620.0,74700.0
2012-06-19,GDBL,0.0,122.0,119.0,121.0,550.0,66190.0
2012-06-20,GDBL,0.0,124.0,120.0,121.0,1820.0,218770.0
2012-06-21,GDBL,0.0,124.0,120.0,124.0,270.0,32790.0
2012-06-25,GDBL,0.0,124.0,122.0,124.0,250.0,30540.0
2012-06-26,GDBL,0.0,127.0,124.0,127.0,210.0,26530.0
2012-06-27,GDBL,0.0,129.0,129.0,129.0,180.0,23220.0
2012-07-01,GDBL,0.0,128.0,124.0,125.0,380.0,47620.0
2012-07-02,GDBL,0.0,125.0,123.0,123.0,790.0,97420.0
2012-07-03,GDBL,0.0,125.0,122.0,125.0,250.0,30860.0
2012-07-04,GDBL,0.0,127.0,125.0,127.0,600.0,75700.0
2012-07-05,GDBL,0.0,126.0,126.0,126.0,170.0,21420.0
2012-07-08,GDBL,0.0,124.0,123.0,124.0,280.0,34620.0
2012-07-09,GDBL,0.0,122.0,122.0,122.0,360.0,43920.0
2012-07-10,GDBL,0.0,126.0,121.0,123.0,580.0,71900.0
2012-07-11,GDBL,0.0,124.0,122.0,122.0,1140.0,139480.0
2012-07-12,GDBL,0.0,124.0,122.0,123.0,1350.0,167100.0
2012-07-15,GDBL,0.0,125.0,122.0,125.0,1500.0,184170.0
2012-07-16,GDBL,0.0,127.0,121.0,124.0,830.0,102260.0
2012-07-17,GDBL,0.0,126.0,121.0,126.0,520.0,64210.0
2012-07-18,GDBL,0.0,136.0,128.0,136.0,160.0,21180.0
2012-07-19,GDBL,0.0,143.0,135.0,138.0,2020.0,281910.0
2012-07-22,GDBL,0.0,142.0,138.0,140.0,540.0,75780.0
2012-07-23,GDBL,0.0,148.0,142.0,145.0,2160.0,313240.0
2012-07-24,GDBL,0.0,143.0,141.0,143.0,370.0,52750.0
2012-07-25,GDBL,0.0,145.0,143.0,143.0,1200.0,173000.0
2012-07-29,GDBL,0.0,141.0,137.0,138.0,950.0,130890.0
2012-07-30,GDBL,0.0,141.0,134.0,141.0,1380.0,189710.0
2012-07-31,GDBL,0.0,140.0,139.0,139.0,180.0,25100.0
2012-08-01,GDBL,0.0,139.0,137.0,137.0,240.0,33060.0
2012-08-05,GDBL,0.0,142.0,137.0,140.0,540.0,75840.0
2012-08-06,GDBL,0.0,149.0,140.0,146.0,1480.0,215870.0
2012-08-07,GDBL,0.0,146.0,142.0,142.0,730.0,105490.0
2012-08-08,GDBL,0.0,143.0,139.0,143.0,810.0,113690.0
2012-08-12,GDBL,0.0,141.0,139.0,139.0,100.0,14000.0
2012-08-13,GDBL,0.0,138.0,137.0,138.0,330.0,45400.0
2012-08-14,GDBL,0.0,139.0,136.0,137.0,1480.0,204730.0
2012-08-15,GDBL,0.0,137.0,135.0,135.0,800.0,108320.0
2012-08-16,GDBL,0.0,137.0,135.0,137.0,350.0,47660.0
2012-08-21,GDBL,0.0,139.0,135.0,139.0,640.0,87380.0
2012-08-22,GDBL,0.0,144.0,135.0,144.0,810.0,111830.0
2012-08-23,GDBL,0.0,142.0,140.0,140.0,860.0,121470.0
2012-08-26,GDBL,0.0,139.0,137.0,139.0,560.0,77480.0
2012-08-27,GDBL,0.0,142.0,140.0,141.0,1010.0,142270.0
2012-08-28,GDBL,0.0,142.0,140.0,141.0,500.0,70230.0
2012-08-29,GDBL,0.0,144.0,138.0,143.0,1580.0,223780.0
2012-08-30,GDBL,0.0,145.0,140.0,145.0,1220.0,172360.0
2012-09-02,GDBL,0.0,148.0,146.0,147.0,650.0,95500.0
2012-09-03,GDBL,0.0,149.0,146.0,149.0,1090.0,160380.0
2012-09-04,GDBL,0.0,147.0,147.0,147.0,300.0,44100.0
2012-09-06,GDBL,0.0,145.0,142.0,144.0,490.0,70280.0
2012-09-09,GDBL,0.0,144.0,141.0,142.0,400.0,56690.0
2012-09-10,GDBL,0.0,143.0,140.0,140.0,810.0,113940.0
2012-09-11,GDBL,0.0,144.0,139.0,143.0,880.0,125180.0
2012-09-12,GDBL,0.0,144.0,144.0,144.0,70.0,10080.0
