BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2017-10-08,GDBLPO,0.0,200.0,200.0,200.0,72088.0,14417600.0
2017-11-09,GDBLPO,0.0,200.0,200.0,200.0,924.0,184800.0
2017-11-19,GDBLPO,0.0,200.0,200.0,200.0,10000.0,2000000.0
2017-11-26,GDBLPO,0.0,200.0,200.0,200.0,9789.0,1957800.0
2017-11-29,GDBLPO,0.0,200.0,200.0,200.0,84376.0,16875200.0
2017-11-30,GDBLPO,0.0,200.0,200.0,200.0,16594.0,3318800.0
2017-12-11,GDBLPO,0.0,150.0,150.0,150.0,27278.0,4091700.0
2018-01-29,GDBLPO,0.0,150.0,150.0,150.0,8446.0,1266900.0
2018-08-08,GDBLPO,0.0,120.0,120.0,120.0,2386.0,286320.0
2018-08-09,GDBLPO,0.0,120.0,120.0,120.0,4912.0,589440.0
2018-09-02,GDBLPO,0.0,120.0,120.0,120.0,2704.0,324480.0
2018-09-26,GDBLPO,0.0,120.0,120.0,120.0,18367.0,2204040.0
2018-10-01,GDBLPO,0.0,120.0,120.0,120.0,8000.0,960000.0
2018-11-14,GDBLPO,0.0,120.0,120.0,120.0,22398.0,2687760.0
2018-12-03,GDBLPO,0.0,120.0,120.0,120.0,13575.0,1629000.0
2018-12-19,GDBLPO,0.0,120.0,120.0,120.0,5263.0,631560.0
2018-12-23,GDBLPO,0.0,120.0,120.0,120.0,14914.0,1789680.0
2019-01-29,GDBLPO,0.0,120.0,120.0,120.0,26238.0,3148560.0
2019-02-03,GDBLPO,0.0,120.0,120.0,120.0,33397.0,4007640.0
2019-03-14,GDBLPO,0.0,120.0,120.0,120.0,70610.0,8473200.0
2019-03-18,GDBLPO,0.0,120.0,120.0,120.0,12000.0,1440000.0
2019-05-16,GDBLPO,0.0,120.0,120.0,120.0,16699.0,2003880.0
2019-07-24,GDBLPO,0.0,122.0,122.0,122.0,11000.0,1342000.0
2019-07-30,GDBLPO,0.0,122.0,122.0,122.0,5000.0,610000.0
2019-08-29,GDBLPO,0.0,122.0,122.0,122.0,8000.0,976000.0
2019-09-05,GDBLPO,0.0,122.0,122.0,122.0,10669.0,1301618.0
2019-09-22,GDBLPO,0.0,122.0,122.0,122.0,135759.0,16562598.0
