BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-09-28,GIBF1,10.0,10.0,9.0,9.0,900,8619.0
2022-09-29,GIBF1,8.82,8.82,8.65,8.7,8800,76185.0
2022-10-09,GIBF1,8.53,8.53,8.1,8.31,3200,26221.0
2022-10-10,GIBF1,8.31,8.6,8.31,8.6,1800,15158.0
2022-10-11,GIBF1,8.44,8.47,8.3,8.47,4854,40813.38
2022-10-12,GIBF1,8.31,8.31,8.15,8.15,1000,8263.0
2022-10-13,GIBF1,8.15,8.21,8.01,8.08,1200,9718.0
2022-10-16,GIBF1,7.93,8.1,7.92,8.1,7300,58500.0
2022-10-17,GIBF1,8.0,8.27,8.0,8.27,1516,12395.0
2022-10-19,GIBF1,8.11,8.11,7.81,8.0,1850,14699.5
2022-10-20,GIBF1,7.9,8.0,7.9,8.0,3340,26511.0
2022-10-23,GIBF1,7.85,7.95,7.7,7.95,1812,14214.6
2022-10-31,GIBF1,7.8,7.95,7.69,7.75,2100,16346.0
2022-11-01,GIBF1,7.9,8.2,7.9,8.2,1000,8150.0
2022-11-02,GIBF1,8.2,8.36,8.04,8.36,3100,25247.0
2022-11-03,GIBF1,8.2,8.2,7.85,8.0,2100,16792.0
2022-11-06,GIBF1,8.0,8.16,8.0,8.05,2100,17011.0
2022-11-07,GIBF1,8.0,8.2,7.84,8.2,2610,20948.4
2022-11-08,GIBF1,8.05,8.05,7.89,7.95,900,7201.0
2022-11-09,GIBF1,7.8,7.8,7.7,7.8,2700,21000.0
2022-11-10,GIBF1,7.8,7.8,7.66,7.73,1900,14738.0
2022-11-13,GIBF1,7.58,7.78,7.58,7.78,800,6183.0
2022-11-14,GIBF1,7.93,7.93,7.78,7.8,300,2351.0
2022-11-15,GIBF1,7.8,8.0,7.8,8.0,900,7080.0
2022-11-16,GIBF1,7.84,8.0,7.84,7.85,2300,18145.0
2022-11-17,GIBF1,7.85,7.85,7.8,7.8,946,7421.1
2022-11-22,GIBF1,7.8,7.8,7.65,7.8,7800,60015.0
2022-11-23,GIBF1,7.95,7.95,7.8,7.8,1460,11403.0
2022-11-24,GIBF1,7.7,7.8,7.65,7.8,4100,31597.0
2022-11-27,GIBF1,7.9,8.0,7.9,8.0,1600,12720.0
2022-11-28,GIBF1,8.0,8.16,7.84,8.16,2500,20281.0
2022-11-29,GIBF1,8.0,8.0,7.84,7.86,3800,30005.0
2022-11-30,GIBF1,7.8,7.8,7.71,7.8,3500,27179.0
2022-12-01,GIBF1,7.71,8.0,7.71,8.0,1000,7874.0
2022-12-04,GIBF1,7.88,8.16,7.58,8.16,4222,32664.0
2022-12-05,GIBF1,8.16,8.55,8.16,8.34,14940,124498.8
2022-12-06,GIBF1,8.5,8.5,8.33,8.33,400,3366.0
2022-12-07,GIBF1,8.25,8.4,8.24,8.4,2250,18576.5
2022-12-11,GIBF1,8.56,9.24,8.56,9.06,600,5356.0
2022-12-12,GIBF1,8.88,8.88,8.15,8.16,4197,34524.3
2022-12-13,GIBF1,8.16,8.16,8.01,8.01,5720,45885.0
2022-12-14,GIBF1,7.85,8.0,7.85,8.0,7400,59072.0
2022-12-15,GIBF1,7.9,7.9,7.55,7.7,51705,395790.55
2022-12-18,GIBF1,7.7,8.42,7.65,8.42,3800,31011.78
2022-12-19,GIBF1,8.26,8.26,7.7,7.77,11150,87844.5
2022-12-20,GIBF1,7.77,7.8,7.62,7.8,600,4620.0
2022-12-21,GIBF1,7.69,7.77,7.66,7.77,1700,13158.0
2022-12-22,GIBF1,7.66,7.89,7.66,7.89,16525,129713.25
2022-12-26,GIBF1,7.75,7.9,7.75,7.9,2370,18544.0
2022-12-27,GIBF1,7.75,7.82,7.75,7.82,400,3115.0
2022-12-28,GIBF1,7.82,7.82,7.75,7.8,680,5287.0
2022-12-29,GIBF1,7.8,7.98,7.77,7.98,4250,33229.0
2023-01-01,GIBF1,7.98,8.59,7.98,8.59,875,7195.25
2023-01-02,GIBF1,8.42,8.42,8.1,8.42,500,4146.0
2023-01-03,GIBF1,8.26,8.3,8.26,8.26,8230,67999.8
2023-01-04,GIBF1,8.25,8.4,7.9,8.4,2800,22522.0
2023-01-05,GIBF1,8.25,8.39,8.15,8.39,7475,61943.75
2023-01-08,GIBF1,8.23,8.41,8.1,8.41,12800,107020.0
2023-01-09,GIBF1,8.41,8.9,8.25,8.9,2400,20547.0
2023-01-10,GIBF1,8.73,8.73,8.58,8.58,1300,11229.0
2023-01-12,GIBF1,8.7,8.7,8.54,8.54,4420,37992.8
2023-01-17,GIBF1,8.37,8.39,8.25,8.28,2625,21945.5
2023-01-18,GIBF1,8.17,8.7,8.17,8.7,6896,58171.68
2023-01-19,GIBF1,8.87,8.87,8.7,8.71,2200,19383.0
2023-01-23,GIBF1,8.54,8.69,8.4,8.69,1200,10232.0
2023-01-24,GIBF1,8.52,8.62,8.31,8.31,2800,23719.0
2023-01-25,GIBF1,8.17,8.64,8.17,8.64,4372,36944.84
2023-01-26,GIBF1,8.48,8.6,8.4,8.4,7050,60328.0
2023-01-29,GIBF1,8.41,8.57,8.41,8.43,6000,50745.0
2023-01-30,GIBF1,8.27,8.43,8.27,8.3,6175,51262.5
2023-01-31,GIBF1,8.16,8.34,8.15,8.34,6700,55161.0
2023-02-01,GIBF1,8.3,8.46,8.02,8.2,5160,42458.0
2023-02-02,GIBF1,8.08,8.4,8.08,8.4,1300,10684.0
2023-02-05,GIBF1,8.24,8.4,8.09,8.4,4400,36191.0
2023-02-06,GIBF1,8.3,8.3,8.1,8.1,1200,9801.0
2023-02-07,GIBF1,8.11,8.25,8.11,8.25,1300,10611.0
2023-02-08,GIBF1,8.25,8.42,8.25,8.3,1000,8325.0
2023-02-09,GIBF1,8.19,8.35,8.19,8.35,400,3305.0
2023-02-12,GIBF1,8.28,8.41,8.21,8.41,3550,29614.5
2023-02-14,GIBF1,8.25,8.41,8.11,8.41,6350,52355.0
2023-02-15,GIBF1,8.25,8.32,8.1,8.32,3300,27309.0
2023-02-16,GIBF1,8.17,8.17,8.16,8.16,300,2450.0
2023-02-20,GIBF1,8.15,8.2,8.1,8.15,1950,15892.0
2023-02-22,GIBF1,7.99,8.15,7.99,8.11,5300,43009.0
2023-02-23,GIBF1,8.1,8.11,8.0,8.1,5000,40471.0
2023-02-26,GIBF1,8.1,8.1,7.69,7.78,2500,19605.0
2023-02-27,GIBF1,7.8,7.96,7.8,7.86,4100,32159.0
2023-02-28,GIBF1,7.71,8.21,7.71,8.21,6030,48703.3
2023-03-01,GIBF1,8.05,8.07,8.05,8.07,400,3226.0
2023-03-02,GIBF1,7.96,7.96,7.92,7.92,1600,12716.0
2023-03-05,GIBF1,7.78,7.8,7.78,7.78,1100,8566.0
2023-03-07,GIBF1,7.64,7.81,7.64,7.81,3100,24154.0
