BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2014-10-27,GLICLP,0.0,308.0,308.0,308.0,6478.0,1995224.0
2015-07-22,GLICLP,0.0,302.0,278.0,278.0,15975.0,4447650.0
2016-01-24,GLICLP,0.0,335.0,335.0,335.0,5000.0,1675000.0
2016-06-16,GLICLP,0.0,450.0,450.0,450.0,13888.0,6249600.0
2017-05-31,GLICLP,0.0,615.0,615.0,615.0,200.0,123000.0
2017-06-04,GLICLP,0.0,615.0,615.0,615.0,18105.0,11134575.0
2017-06-18,GLICLP,0.0,615.0,615.0,615.0,10000.0,6150000.0
2017-06-28,GLICLP,0.0,603.0,569.0,569.0,800.0,468600.0
2017-07-02,GLICLP,0.0,558.0,527.0,527.0,8525.0,4541475.0
2017-07-06,GLICLP,0.0,517.0,517.0,517.0,112.0,57904.0
2018-01-16,GLICLP,0.0,520.0,520.0,520.0,24750.0,12870000.0
2021-06-13,GLICLP,494.06,494.0,494.0,494.0,25000.0,12350000.0
2021-07-07,GLICLP,494.0,494.0,494.0,494.0,15000.0,7410000.0
2021-11-02,GLICLP,334.0,334.0,334.0,334.0,122067.0,40770378.0
2021-11-03,GLICLP,334.0,334.0,334.0,334.0,1917.0,640278.0
2021-11-08,GLICLP,334.0,334.0,334.0,334.0,10439.0,3486626.0
2022-02-15,GLICLP,382.0,382.0,382.0,382.0,55220.0,21094040.0
2022-03-16,GLICLP,382.0,382.0,382.0,382.0,46118.0,17617076.0
