BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-10-11,HATHY,285.2,313.7,285.2,313.7,102451,31971670.4
2023-10-12,HATHY,319.9,345.0,319.9,345.0,73838,25459474.0
2023-10-16,HATHY,351.9,358.9,310.5,310.5,166825,52702759.3
2023-10-17,HATHY,304.3,304.3,281.0,284.0,159547,46269248.0
2023-10-18,HATHY,280.0,312.0,279.5,307.6,64039,19267993.1
2023-10-19,HATHY,307.6,324.0,300.0,314.0,63518,20036092.5
2023-10-29,HATHY,314.0,314.0,299.1,304.2,81227,24727049.2
2023-10-30,HATHY,300.0,309.9,300.0,307.4,35172,10731673.7
2023-10-31,HATHY,306.0,319.9,303.3,318.0,34119,10613956.7
2023-11-01,HATHY,314.1,324.0,314.0,322.0,61663,19740245.9
2023-11-02,HATHY,319.0,346.0,319.0,335.0,78748,26431068.3
2023-11-05,HATHY,328.3,338.5,328.3,332.6,45205,15115471.5
2023-11-06,HATHY,330.0,365.8,330.0,365.8,106551,37839660.0
2023-11-07,HATHY,362.0,395.0,359.0,377.0,82826,31469430.0
2023-11-08,HATHY,375.0,382.5,367.5,367.5,46820,17457154.8
2023-11-09,HATHY,360.2,369.9,356.0,357.0,100779,36423876.4
2023-11-20,HATHY,359.0,391.7,355.0,383.0,88977,33385447.4
2023-11-21,HATHY,380.0,396.7,375.0,394.0,69975,26881952.8
2023-11-22,HATHY,390.0,430.0,388.0,417.6,96963,40199932.3
2023-11-23,HATHY,410.0,438.6,410.0,418.0,95479,40564519.0
2023-11-26,HATHY,418.0,433.0,410.0,411.0,114835,48039228.6
2023-11-27,HATHY,406.1,426.0,402.0,421.8,64142,26536906.5
2023-11-28,HATHY,425.0,448.0,414.1,437.0,54000,23699298.1
2023-11-29,HATHY,437.0,444.0,427.0,427.1,48173,20965096.5
2023-11-30,HATHY,422.1,429.9,420.0,422.0,57966,24564087.8
2023-12-03,HATHY,419.0,444.0,416.5,442.0,73125,31561825.5
2023-12-04,HATHY,446.0,449.0,435.0,440.0,53383,23514736.8
2023-12-05,HATHY,433.0,444.0,427.0,428.0,52670,22842970.2
2023-12-06,HATHY,419.5,440.7,419.5,439.0,51902,22583764.3
2023-12-07,HATHY,439.0,472.0,436.0,461.0,117241,53957711.5
2023-12-10,HATHY,470.2,497.0,470.2,495.0,16392,7990403.0
2023-12-11,HATHY,504.0,544.5,478.5,544.0,166879,86511017.6
2023-12-12,HATHY,545.0,598.4,545.0,595.0,99755,59086355.6
2023-12-13,HATHY,606.9,654.0,595.0,626.0,133136,82709945.0
2023-12-14,HATHY,620.0,642.6,608.0,620.1,146364,91379835.2
2023-12-17,HATHY,632.0,682.1,608.0,682.1,140464,92325011.9
2023-12-18,HATHY,695.7,750.3,685.0,750.3,99907,74264960.2
2023-12-19,HATHY,765.0,825.3,760.0,825.3,178125,142930588.4
2023-12-20,HATHY,841.8,907.8,841.0,907.8,81220,72043024.7
2023-12-21,HATHY,925.9,980.0,880.0,923.0,162920,153620492.7
2023-12-24,HATHY,904.6,925.0,830.7,832.1,344954,295009594.2
2023-12-27,HATHY,816.0,855.1,780.0,796.5,201420,163762113.5
2023-12-28,HATHY,725.0,796.4,721.0,796.4,120987,94626536.1
2024-01-01,HATHY,812.3,876.0,800.0,876.0,199351,172570628.7
2024-01-02,HATHY,893.5,958.0,893.5,925.0,165023,153875152.4
2024-01-03,HATHY,925.0,982.0,887.0,975.0,149646,141881190.6
2024-01-04,HATHY,975.0,1044.0,975.0,990.0,113755,115467481.4
2024-01-07,HATHY,970.2,985.0,932.0,955.0,207302,199443415.6
2024-01-08,HATHY,953.0,1044.9,940.0,1034.9,163864,165530971.2
2024-01-09,HATHY,1055.0,1118.0,1034.0,1040.0,86634,92445351.5
2024-01-10,HATHY,1030.0,1085.9,989.0,1000.0,136866,140602783.4
2024-01-11,HATHY,1000.0,1040.0,997.0,1000.0,127676,129985885.9
2024-01-14,HATHY,1020.0,1081.0,1005.0,1057.0,113981,118311083.0
2024-01-16,HATHY,1060.0,1123.0,1060.0,1087.0,145097,158030295.5
2024-01-17,HATHY,1087.0,1108.0,1014.3,1027.0,144350,150724496.2
2024-01-18,HATHY,1006.5,1035.0,986.0,995.0,130754,132167824.0
2024-01-21,HATHY,1000.0,1013.0,935.0,950.0,147839,143780454.7
2024-01-22,HATHY,960.0,969.0,911.0,918.0,107952,100010049.2
2024-01-23,HATHY,930.0,950.0,916.0,948.0,65320,61138369.4
2024-01-24,HATHY,960.0,975.0,903.0,913.0,72026,66528244.8
2024-01-25,HATHY,931.0,931.0,878.0,882.0,76487,68599418.1
2024-01-28,HATHY,899.0,965.0,883.0,959.0,142702,132729675.2
