BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-18,HBLD86,1000.0,1000.0,1000.0,1000.0,10,10000.0
2023-12-20,HBLD86,983.0,983.0,977.0,977.0,50,49000.0
2023-12-21,HBLD86,972.0,975.5,972.0,975.5,81,78896.8
2023-12-24,HBLD86,995.0,995.0,981.2,981.2,100,98810.0
2023-12-27,HBLD86,981.0,981.0,972.5,980.1,55,53733.5
2023-12-28,HBLD86,980.1,980.1,980.0,980.0,50,49002.5
2024-01-02,HBLD86,971.3,971.3,971.3,971.3,25,24282.5
2024-01-03,HBLD86,964.0,964.0,964.0,964.0,25,24100.0
2024-01-07,HBLD86,957.5,976.0,957.5,960.3,50,48102.0
2024-01-08,HBLD86,956.0,956.0,956.0,956.0,25,23900.0
2024-01-09,HBLD86,947.0,947.0,938.0,938.0,100,94248.5
2024-01-14,HBLD86,950.0,950.0,950.0,950.0,25,23750.0
2024-01-25,HBLD86,953.0,953.0,953.0,952.1,25,23820.5
