BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2013-09-29,HBLPO,0.0,328.0,296.0,296.0,70.0,21740.0
2013-09-30,HBLPO,0.0,291.0,267.0,267.0,60.0,16720.0
2013-10-01,HBLPO,0.0,262.0,241.0,241.0,635713.0,153207393.0
2014-10-30,HBLPO,0.0,245.0,245.0,245.0,100145.0,24535525.0
2015-06-25,HBLPO,0.0,425.0,425.0,425.0,6652.0,2827100.0
2020-01-21,HBLPO,0.0,290.0,290.0,290.0,843507.0,244617030.0
2020-10-18,HBLPO,0.0,300.0,300.0,300.0,815172.0,244551600.0
2020-10-19,HBLPO,0.0,300.0,300.0,300.0,112686.0,33805800.0
2023-11-06,HBLPO,300.0,300.0,300.0,300.0,286790.0,35848750.0
2023-11-07,HBLPO,300.0,300.0,300.0,300.0,745460.0,91644228.0
2023-11-08,HBLPO,300.0,300.0,300.0,300.0,420304.0,52327848.0
2023-12-27,HBLPO,300.0,300.0,300.0,300.0,25000.0,7500000.0
2024-01-01,HBLPO,300.0,300.0,300.0,300.0,1000.0,300000.0
2024-01-02,HBLPO,294.0,294.0,271.4,271.4,50.0,14130.0
2024-01-03,HBLPO,266.0,266.0,245.4,245.4,50.0,12780.0
2024-01-04,HBLPO,240.5,240.5,221.9,221.9,50.0,11555.0
2024-01-07,HBLPO,217.5,217.5,200.9,200.9,50.0,10455.0
2024-01-08,HBLPO,196.9,196.9,181.8,181.8,50.0,9464.0
2024-01-09,HBLPO,178.2,178.2,164.6,164.6,50.0,8567.0
2024-01-10,HBLPO,161.4,161.4,149.0,149.0,50.0,7757.0
2024-01-11,HBLPO,146.1,146.1,134.9,134.9,1590050.0,238507022.0
2024-01-14,HBLPO,132.3,132.3,123.2,123.2,192626.0,24801054.8
