BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2020-02-25,HDHPC,0.0,130.0,128.0,128.0,30.0,3880.0
2020-02-26,HDHPC,0.0,126.0,126.0,126.0,10.0,1260.0
2020-03-01,HDHPC,0.0,124.0,120.0,120.0,290.0,35540.0
2020-03-03,HDHPC,0.0,118.0,118.0,118.0,10.0,1180.0
2020-03-05,HDHPC,0.0,116.0,107.0,107.0,160.0,17370.0
2020-03-11,HDHPC,0.0,105.0,97.0,97.0,2130.0,210300.0
2020-03-12,HDHPC,0.0,96.0,88.0,88.0,1390.0,131710.0
2020-03-15,HDHPC,0.0,87.0,87.0,87.0,50.0,4350.0
2020-03-16,HDHPC,0.0,86.0,86.0,86.0,80.0,6880.0
2020-03-18,HDHPC,0.0,85.0,85.0,85.0,40.0,3400.0
2020-03-22,HDHPC,0.0,84.0,82.0,82.0,220.0,18240.0
2020-06-29,HDHPC,0.0,87.0,85.0,86.0,2190.0,186780.0
2020-06-30,HDHPC,0.0,88.0,85.0,88.0,1800.0,154510.0
2020-07-01,HDHPC,0.0,93.0,92.0,93.0,70.0,6460.0
2020-07-02,HDHPC,0.0,92.0,92.0,92.0,10.0,920.0
2020-07-05,HDHPC,0.0,91.0,89.0,91.0,350.0,31520.0
2020-07-06,HDHPC,0.0,90.0,90.0,90.0,70.0,6300.0
2020-07-07,HDHPC,0.0,89.0,89.0,89.0,100.0,8900.0
2020-07-08,HDHPC,0.0,93.0,90.0,90.0,190.0,17490.0
2020-07-09,HDHPC,0.0,96.0,89.0,95.0,6340.0,580350.0
2020-07-12,HDHPC,0.0,99.0,94.0,98.0,3520.0,337870.0
2020-07-13,HDHPC,0.0,102.0,98.0,98.0,180.0,17960.0
2020-07-14,HDHPC,0.0,107.0,98.0,102.0,3800.0,384980.0
2020-07-15,HDHPC,0.0,112.0,102.0,106.0,3680.0,385840.0
2020-07-16,HDHPC,0.0,104.0,104.0,104.0,30.0,3120.0
2020-07-20,HDHPC,0.0,102.0,102.0,102.0,100.0,10200.0
2020-07-21,HDHPC,0.0,100.0,92.0,92.0,206160.0,20579650.0
2020-07-22,HDHPC,0.0,98.0,86.0,97.0,1910.0,168280.0
2020-07-23,HDHPC,0.0,96.0,96.0,96.0,20.0,1920.0
2020-07-26,HDHPC,0.0,102.0,94.0,95.0,11360.0,1122190.0
2020-07-27,HDHPC,0.0,94.0,93.0,93.0,60.0,5630.0
2020-07-28,HDHPC,0.0,92.0,88.0,91.0,540.0,48520.0
2020-07-29,HDHPC,0.0,96.0,91.0,91.0,900.0,84600.0
2020-07-30,HDHPC,0.0,94.0,90.0,91.0,800.0,73250.0
2020-08-02,HDHPC,0.0,98.0,88.0,97.0,7960.0,739280.0
2020-08-03,HDHPC,0.0,101.0,95.0,95.0,13940.0,1406280.0
2020-08-06,HDHPC,0.0,94.0,86.0,90.0,1770.0,153820.0
2020-08-09,HDHPC,0.0,92.0,89.0,89.0,500.0,45210.0
2020-08-10,HDHPC,0.0,93.0,81.0,92.0,5060.0,435630.0
2020-08-11,HDHPC,0.0,97.0,94.0,94.0,280.0,26780.0
2020-08-12,HDHPC,0.0,93.0,91.0,91.0,40.0,3670.0
2020-08-13,HDHPC,0.0,90.0,87.0,87.0,570.0,50690.0
2020-08-16,HDHPC,0.0,93.0,86.0,92.0,1080.0,97220.0
2020-08-17,HDHPC,0.0,96.0,95.0,95.0,100.0,9550.0
2020-08-18,HDHPC,0.0,99.0,93.0,93.0,200.0,19030.0
2020-08-19,HDHPC,0.0,92.0,90.0,90.0,220.0,19940.0
2020-08-20,HDHPC,0.0,91.0,85.0,90.0,1760.0,153720.0
2020-08-24,HDHPC,0.0,94.0,90.0,92.0,250.0,22990.0
2020-08-25,HDHPC,0.0,96.0,96.0,96.0,40.0,3840.0
2020-08-26,HDHPC,0.0,98.0,95.0,97.0,2152.0,206024.0
2020-08-27,HDHPC,0.0,105.0,88.0,95.0,41140.0,4218970.0
2020-08-30,HDHPC,0.0,99.0,96.0,96.0,40.0,3900.0
2020-08-31,HDHPC,0.0,100.0,87.0,89.0,13068.0,1164774.0
2020-09-02,HDHPC,0.0,97.0,89.0,97.0,15150.0,1416378.0
2020-09-03,HDHPC,0.0,102.0,92.0,99.0,51010.0,5173190.0
2020-09-06,HDHPC,0.0,103.0,90.0,95.0,13220.0,1278160.0
2020-09-07,HDHPC,0.0,99.0,96.0,96.0,1480.0,144090.0
2020-09-08,HDHPC,0.0,100.0,90.0,94.0,5840.0,535360.0
2020-09-09,HDHPC,0.0,93.0,90.0,92.0,4080.0,371480.0
