BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-02-13,HEI,0.0,196.0,196.0,196.0,110.0,21560.0
2012-05-22,HEI,0.0,201.0,198.0,201.0,63.0,12573.0
2012-06-25,HEI,0.0,197.0,197.0,197.0,30.0,5910.0
2012-07-24,HEI,0.0,204.0,200.0,200.0,879.0,177960.0
2012-07-25,HEI,0.0,204.0,204.0,204.0,10.0,2040.0
2012-08-30,HEI,0.0,200.0,200.0,200.0,136.0,27200.0
2012-09-06,HEI,0.0,196.0,193.0,193.0,78.0,15186.0
2012-09-09,HEI,0.0,190.0,184.0,184.0,247.0,46120.0
2012-09-10,HEI,0.0,181.0,181.0,181.0,100.0,18100.0
2012-09-11,HEI,0.0,178.0,172.0,172.0,341.0,59555.0
2012-09-12,HEI,0.0,169.0,169.0,169.0,134.0,22646.0
2012-09-13,HEI,0.0,166.0,153.0,153.0,2168.0,348825.0
2012-09-16,HEI,0.0,150.0,138.0,138.0,24867.0,3435646.0
2012-09-19,HEI,0.0,132.0,132.0,132.0,2500.0,330000.0
2012-09-20,HEI,0.0,134.0,134.0,134.0,30.0,4020.0
2012-09-23,HEI,0.0,142.0,136.0,142.0,224.0,31020.0
2012-10-09,HEI,0.0,144.0,144.0,144.0,134.0,19296.0
2012-10-10,HEI,0.0,158.0,146.0,158.0,442.0,66508.0
2012-10-14,HEI,0.0,173.0,161.0,173.0,274.0,45647.0
2012-10-18,HEI,0.0,176.0,176.0,176.0,50.0,8800.0
2012-10-31,HEI,0.0,193.0,179.0,193.0,200.0,36950.0
2012-11-01,HEI,0.0,212.0,196.0,212.0,420.0,84910.0
2012-11-04,HEI,0.0,232.0,216.0,230.0,1282.0,291468.0
2012-11-05,HEI,0.0,233.0,229.0,229.0,218.0,50002.0
2012-11-20,HEI,0.0,230.0,230.0,230.0,390.0,89700.0
2012-11-28,HEI,0.0,226.0,226.0,226.0,38.0,8588.0
2012-12-13,HEI,0.0,230.0,230.0,230.0,20.0,4600.0
2012-12-26,HEI,0.0,226.0,218.0,218.0,70.0,15500.0
2012-12-27,HEI,0.0,214.0,214.0,214.0,188.0,40232.0
2013-01-02,HEI,0.0,210.0,195.0,195.0,606.0,121220.0
2013-01-03,HEI,0.0,192.0,188.0,192.0,390.0,74160.0
2013-01-09,HEI,0.0,190.0,189.0,190.0,352.0,66730.0
2013-01-16,HEI,0.0,187.0,187.0,187.0,135.0,25245.0
2013-01-23,HEI,0.0,184.0,184.0,184.0,101.0,18584.0
