BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-01,HFL,0.0,57.0,56.0,57.0,3460.0,196490.0
2012-01-02,HFL,0.0,58.0,55.0,58.0,1620.0,89480.0
2012-01-03,HFL,0.0,60.0,57.0,60.0,2500.0,145240.0
2012-01-04,HFL,0.0,59.0,59.0,59.0,1880.0,110920.0
2012-01-05,HFL,0.0,58.0,54.0,54.0,2480.0,134070.0
2012-01-08,HFL,0.0,57.0,55.0,57.0,2040.0,112320.0
2012-01-09,HFL,0.0,61.0,56.0,61.0,1360.0,76730.0
2012-01-11,HFL,0.0,67.0,60.0,67.0,3590.0,222190.0
2012-01-12,HFL,0.0,73.0,65.0,73.0,4310.0,286060.0
2012-01-18,HFL,0.0,75.0,73.0,75.0,7280.0,543250.0
2012-01-22,HFL,0.0,74.0,72.0,72.0,1400.0,101210.0
2012-01-23,HFL,0.0,74.0,66.0,67.0,9690.0,686920.0
2012-01-25,HFL,0.0,68.0,65.0,65.0,210.0,13850.0
2012-01-26,HFL,0.0,65.0,63.0,63.0,140.0,9010.0
2012-01-29,HFL,0.0,63.0,57.0,57.0,4220.0,261100.0
2012-01-31,HFL,0.0,57.0,55.0,56.0,100.0,5620.0
2012-02-01,HFL,0.0,55.0,53.0,53.0,420.0,22600.0
2012-02-02,HFL,0.0,53.0,49.0,49.98,970.0,48789.0
2012-02-05,HFL,0.0,53.0,49.0,53.0,600.0,30369.0
2012-02-06,HFL,0.0,53.0,53.0,53.0,50.0,2650.0
2012-02-08,HFL,0.0,56.0,49.0,56.0,650.0,33079.0
2012-02-13,HFL,0.0,54.0,51.0,51.0,200.0,10620.0
2012-02-14,HFL,0.0,56.0,49.0,56.0,6270.0,326060.0
2012-02-15,HFL,0.0,60.0,51.0,59.0,5120.0,277640.0
2012-02-16,HFL,0.0,60.0,54.0,59.0,4620.0,251200.0
2012-02-21,HFL,0.0,64.0,55.0,62.0,3610.0,217760.0
2012-02-23,HFL,0.0,64.0,62.0,62.0,2020.0,127260.0
2012-02-26,HFL,0.0,66.0,63.0,65.0,3060.0,193030.0
2012-02-27,HFL,0.0,70.0,66.0,70.0,1540.0,101780.0
2012-03-05,HFL,0.0,75.0,69.0,74.0,3790.0,269070.0
2012-03-12,HFL,0.0,73.0,67.0,67.0,70.0,4900.0
2012-03-13,HFL,0.0,72.0,64.0,69.0,3650.0,241310.0
2012-03-19,HFL,0.0,68.0,65.0,65.0,70.0,4640.0
