BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-08-26,HIDCLP,113.0,113.0,113.0,103.7,166062,17140158.0
2022-08-28,HIDCLP,105.5,105.5,98.0,100.0,77430,7679395.0
2022-08-29,HIDCLP,98.0,104.3,96.5,100.4,16850,1687670.0
2022-08-30,HIDCLP,102.3,102.3,97.3,100.4,63770,6292065.0
2022-08-31,HIDCLP,102.4,104.0,97.1,98.2,34940,3434156.0
2022-09-01,HIDCLP,98.2,106.3,98.0,100.0,120254,12019451.0
2022-09-02,HIDCLP,101.9,106.8,99.9,105.5,50310,5180282.3
2022-09-04,HIDCLP,103.4,107.3,103.1,107.3,202424,21366420.6
2022-09-05,HIDCLP,105.2,108.0,104.1,105.5,76871,8143570.9
2022-09-06,HIDCLP,104.9,104.9,101.2,101.7,51890,5321586.0
2022-09-07,HIDCLP,103.7,104.9,100.9,104.5,19640,2017803.0
2022-09-08,HIDCLP,102.5,103.9,102.0,103.0,3020,308569.0
2022-09-11,HIDCLP,104.0,104.0,99.6,100.9,44033,4416700.3
2022-09-12,HIDCLP,102.0,102.0,99.0,100.0,31060,3098040.0
2022-09-13,HIDCLP,102.0,102.0,98.4,100.9,13931,1389500.0
2022-09-14,HIDCLP,100.1,101.2,100.0,100.1,24920,2499715.0
2022-09-15,HIDCLP,99.5,100.0,96.9,97.3,106477,10423521.0
2022-09-16,HIDCLP,99.2,99.7,96.2,99.7,17370,1690190.0
2022-09-18,HIDCLP,97.8,97.8,95.0,97.2,94975,9164120.0
2022-09-20,HIDCLP,98.9,98.9,95.9,97.5,23710,2293351.0
2022-09-21,HIDCLP,97.1,98.3,96.6,98.0,18830,1829091.4
2022-09-22,HIDCLP,99.9,100.2,98.0,98.1,47085,4679646.1
2022-09-25,HIDCLP,96.2,99.9,96.2,98.0,23922,2337459.9
2022-09-27,HIDCLP,98.0,99.8,95.5,95.5,86970,8423723.4
2022-09-28,HIDCLP,97.4,99.0,96.1,96.2,52130,5049301.2
2022-09-29,HIDCLP,98.0,98.0,95.9,97.4,24084,2330247.8
2022-10-09,HIDCLP,99.1,99.1,96.9,98.9,12570,1227233.0
2022-10-10,HIDCLP,98.0,98.8,96.0,97.0,17942,1730830.0
2022-10-11,HIDCLP,98.0,98.5,97.1,97.1,4287,418964.5
2022-10-12,HIDCLP,98.0,98.0,95.6,95.6,9000,872344.0
2022-10-13,HIDCLP,97.5,99.0,95.7,95.9,16208,1561723.6
2022-10-16,HIDCLP,97.0,99.6,96.0,99.0,32751,3195701.0
2022-10-17,HIDCLP,98.9,99.0,96.7,97.9,14370,1403278.8
2022-10-19,HIDCLP,97.3,98.8,96.5,96.5,46885,4554302.5
2022-10-20,HIDCLP,98.0,99.8,97.0,97.2,20603,2036476.0
2022-10-23,HIDCLP,98.4,98.4,97.5,97.8,4940,484726.0
2022-10-31,HIDCLP,98.5,98.5,97.0,97.0,84250,8291850.0
2022-11-01,HIDCLP,98.8,102.7,97.0,100.0,131464,13198089.4
2022-11-02,HIDCLP,101.9,103.9,98.0,100.0,102022,10368992.0
2022-11-03,HIDCLP,100.0,101.0,98.0,98.0,34293,3387660.0
2022-11-06,HIDCLP,99.9,100.3,98.9,98.9,17942,1780163.0
2022-11-07,HIDCLP,100.3,100.3,98.2,98.2,34499,3416501.6
2022-11-08,HIDCLP,97.8,100.1,97.5,99.9,10361,1026361.9
2022-11-09,HIDCLP,100.4,100.4,96.0,98.0,28704,2782845.6
2022-11-10,HIDCLP,98.0,98.0,97.0,97.2,6130,595279.0
2022-11-13,HIDCLP,98.0,98.0,96.6,96.8,620,60293.9
2022-11-14,HIDCLP,98.7,98.7,96.8,97.4,14740,1436992.0
2022-11-15,HIDCLP,97.4,99.1,97.4,98.9,3530,347331.8
2022-11-16,HIDCLP,100.7,100.7,97.0,98.9,3726,366487.0
2022-11-17,HIDCLP,100.5,100.5,97.4,98.9,2946,289295.4
2022-11-22,HIDCLP,99.0,99.0,97.0,98.7,11640,1135842.5
2022-11-23,HIDCLP,98.0,98.0,96.9,97.0,7920,768659.0
2022-11-24,HIDCLP,97.0,97.9,96.5,97.8,36738,3563552.0
2022-11-27,HIDCLP,96.8,98.2,96.8,98.0,14210,1389710.5
2022-11-28,HIDCLP,98.0,98.4,97.2,98.4,5135,499947.0
2022-11-29,HIDCLP,98.0,98.4,97.0,97.0,14623,1422742.0
2022-11-30,HIDCLP,97.0,98.5,97.0,98.2,10411,1020902.5
2022-12-01,HIDCLP,97.2,98.7,97.2,97.3,16751,1636813.7
2022-12-04,HIDCLP,98.5,98.5,97.0,98.2,23192,2253536.1
2022-12-05,HIDCLP,98.3,98.3,96.7,96.9,11592,1123595.2
2022-12-06,HIDCLP,98.0,98.5,97.9,97.9,4470,439105.6
2022-12-07,HIDCLP,98.0,98.0,96.7,96.7,6240,605202.0
2022-12-11,HIDCLP,96.6,97.0,96.5,97.0,4300,415865.0
2022-12-12,HIDCLP,96.6,96.6,95.8,96.0,10721,1029108.6
2022-12-13,HIDCLP,97.0,97.4,96.0,96.0,4822,464306.8
2022-12-14,HIDCLP,95.3,97.8,95.3,97.6,935,91024.0
2022-12-15,HIDCLP,99.5,99.5,97.3,97.3,7980,783786.5
2022-12-18,HIDCLP,95.5,97.9,95.5,97.9,23247,2261268.3
2022-12-19,HIDCLP,98.0,98.1,96.2,96.2,4110,398372.0
2022-12-20,HIDCLP,97.0,98.0,96.0,98.0,17690,1712095.0
2022-12-21,HIDCLP,98.0,98.0,96.2,97.0,11380,1099852.0
2022-12-22,HIDCLP,96.3,97.2,96.1,97.0,12648,1219462.2
2022-12-26,HIDCLP,97.4,98.7,97.0,98.7,6668,650953.2
2022-12-27,HIDCLP,100.0,108.3,99.0,105.0,371002,38329774.0
2022-12-28,HIDCLP,105.0,106.3,102.9,105.0,98861,10353650.7
2022-12-29,HIDCLP,102.9,106.0,100.0,104.0,67863,7005048.1
2022-12-29,HIDCLP,105.0,105.0,105.0,104.0,67863,7005048.1
2023-01-01,HIDCLP,103.0,103.6,99.0,101.9,76675,7829010.7
2023-01-02,HIDCLP,103.0,104.0,99.0,104.0,60925,6208694.5
2023-01-03,HIDCLP,103.0,104.0,99.0,101.0,79586,7976587.3
2023-01-04,HIDCLP,102.5,102.5,99.1,102.1,29063,2934727.4
2023-01-05,HIDCLP,104.0,104.0,100.0,100.7,74625,7620069.5
2023-01-08,HIDCLP,100.0,102.0,98.0,100.3,181044,18122811.1
2023-01-09,HIDCLP,100.7,104.5,100.1,104.0,320908,32864757.6
2023-01-10,HIDCLP,106.0,114.4,103.9,114.0,843170,93994415.1
2023-01-12,HIDCLP,116.2,124.4,111.8,119.8,544924,65085938.6
2023-01-17,HIDCLP,119.8,123.3,116.0,122.0,510368,61228799.2
2023-01-18,HIDCLP,123.4,126.4,117.0,118.6,469657,56832749.7
2023-01-19,HIDCLP,117.0,120.9,116.7,117.8,145333,17340271.9
2023-01-23,HIDCLP,119.0,120.7,113.0,115.8,216787,25052631.7
2023-01-24,HIDCLP,114.0,116.0,110.9,115.4,148793,16939529.6
2023-01-25,HIDCLP,114.5,119.0,113.1,116.2,135128,15709069.5
2023-01-26,HIDCLP,116.0,116.9,114.3,115.0,79722,9210707.1
2023-01-29,HIDCLP,112.7,114.0,106.2,108.0,508443,55446179.6
2023-01-30,HIDCLP,109.0,109.0,104.0,105.0,270751,28639500.1
2023-01-31,HIDCLP,105.0,107.1,104.5,105.0,97555,10329933.0
2023-02-01,HIDCLP,107.0,107.0,104.0,104.8,45713,4782613.3
2023-02-02,HIDCLP,104.0,106.0,102.0,103.5,98144,10102249.6
2023-02-05,HIDCLP,105.5,105.5,101.6,102.1,63936,6562200.8
2023-02-06,HIDCLP,104.0,104.0,101.0,102.0,47215,4826106.8
2023-02-07,HIDCLP,102.5,108.4,102.5,107.5,132324,14088925.7
2023-02-08,HIDCLP,109.5,110.0,105.1,107.0,112171,12080910.5
2023-02-09,HIDCLP,105.0,108.9,104.0,108.9,30558,3242971.0
2023-02-12,HIDCLP,106.8,106.8,102.9,104.9,93536,9765389.6
2023-02-14,HIDCLP,104.4,106.5,103.0,104.6,48266,5058698.9
2023-02-15,HIDCLP,103.1,106.0,103.1,103.2,48577,5054647.2
2023-02-16,HIDCLP,105.0,105.0,103.0,103.8,61219,6329067.6
2023-02-20,HIDCLP,105.4,107.0,103.2,104.8,56929,5940455.9
2023-02-22,HIDCLP,106.5,106.8,104.7,105.1,36809,3903034.4
2023-02-23,HIDCLP,105.0,106.0,102.9,103.9,31512,3268274.3
2023-02-26,HIDCLP,105.9,105.9,101.9,103.9,53388,5528435.7
2023-02-27,HIDCLP,105.5,105.9,102.5,102.8,15066,1553651.2
2023-02-28,HIDCLP,103.5,104.8,102.6,102.6,32606,3374846.2
2023-03-01,HIDCLP,102.2,103.0,102.0,102.1,28805,2947719.0
2023-03-02,HIDCLP,103.0,103.0,101.4,101.4,33358,3405233.2
2023-03-05,HIDCLP,103.4,103.4,100.0,101.6,46826,4725429.1
2023-03-07,HIDCLP,103.5,103.5,101.3,101.5,21211,2157231.2
2023-03-09,HIDCLP,101.3,104.0,101.3,104.0,37715,3877318.5
2023-03-12,HIDCLP,102.3,102.7,101.5,102.1,30917,3160973.1
2023-03-13,HIDCLP,102.0,102.8,101.3,102.0,4650,474218.7
2023-03-14,HIDCLP,102.0,103.0,101.2,101.6,23293,2373202.0
2023-03-15,HIDCLP,101.2,103.2,101.0,102.5,35227,3588714.2
2023-03-16,HIDCLP,103.4,103.4,100.6,101.7,6670,675996.0
2023-03-19,HIDCLP,102.0,102.0,101.0,101.5,15850,1606591.3
2023-03-20,HIDCLP,102.0,103.0,100.5,102.0,65689,6671047.2
2023-03-22,HIDCLP,101.1,103.2,101.0,101.9,52751,5371236.5
2023-03-23,HIDCLP,101.0,101.8,100.2,101.3,17110,1721282.9
2023-03-26,HIDCLP,100.3,101.7,99.7,100.9,54870,5496614.7
2023-03-27,HIDCLP,100.7,102.0,98.0,102.0,51070,5095465.2
2023-03-28,HIDCLP,102.7,102.7,100.6,100.6,33221,3376736.7
2023-03-29,HIDCLP,100.2,101.9,100.0,101.0,20818,2086213.8
2023-03-30,HIDCLP,101.9,102.2,99.6,100.9,17200,1725460.7
2023-04-02,HIDCLP,100.9,102.4,99.0,100.2,44320,4437467.0
2023-04-03,HIDCLP,100.0,100.9,98.6,99.0,27828,2759687.7
2023-04-04,HIDCLP,99.0,100.6,98.2,99.0,34113,3390663.5
2023-04-05,HIDCLP,100.4,100.4,98.5,98.9,14853,1473305.5
2023-04-06,HIDCLP,99.5,99.8,99.0,99.0,16373,1624290.4
2023-04-09,HIDCLP,100.0,100.0,98.1,98.7,30966,3050398.4
2023-04-10,HIDCLP,99.0,100.0,97.3,99.0,15038,1477270.9
2023-04-11,HIDCLP,100.4,100.4,98.4,100.0,25418,2531096.8
2023-04-12,HIDCLP,101.0,104.0,100.0,103.5,97727,9998956.6
2023-04-13,HIDCLP,103.8,103.8,100.0,101.0,67323,6799297.2
2023-04-16,HIDCLP,100.5,104.5,100.0,101.0,47710,4892579.9
2023-04-17,HIDCLP,101.5,102.0,99.0,99.9,51015,5086241.5
2023-04-18,HIDCLP,99.9,100.4,99.0,100.4,18810,1870613.4
2023-04-20,HIDCLP,101.2,102.0,97.5,101.5,23861,2376940.0
2023-04-23,HIDCLP,99.5,99.6,98.7,99.6,5455,539829.5
2023-04-24,HIDCLP,98.1,100.5,97.9,99.9,17196,1706376.3
2023-04-25,HIDCLP,101.8,101.8,98.0,100.3,3902,388896.0
