BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2024-01-08,HRL,309.2,340.1,309.2,340.1,30866,10404487.8
2024-01-09,HRL,346.9,374.1,346.9,374.1,10699,3996001.9
2024-01-10,HRL,381.5,411.5,381.5,411.5,17004,6988635.2
2024-01-11,HRL,419.7,452.6,419.7,452.6,37445,16939211.9
2024-01-14,HRL,461.6,497.8,461.6,497.8,45684,22731110.1
2024-01-16,HRL,507.7,547.5,507.7,547.5,70340,38499870.2
2024-01-17,HRL,558.4,602.2,558.4,602.2,1093487,658490285.5
2024-01-18,HRL,614.2,661.5,558.0,653.0,3044702,1844237328.5
2024-01-21,HRL,666.0,709.0,663.0,681.0,827738,567910241.9
2024-01-22,HRL,667.4,675.0,641.0,646.0,1196355,786383492.5
2024-01-23,HRL,645.0,681.0,635.0,659.9,841022,550980785.5
2024-01-24,HRL,660.0,674.0,655.0,657.0,379833,251568067.7
2024-01-25,HRL,657.0,661.0,645.1,646.8,439859,286726529.5
2024-01-28,HRL,650.0,659.6,635.1,645.0,521843,335345887.8
