BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-01-28,ICFCD83,0.0,1200.0,1127.0,1127.0,300.0,344190.0
2021-01-31,ICFCD83,0.0,1106.0,1080.0,1086.0,804.0,875660.0
2021-02-01,ICFCD83,0.0,1107.0,1089.0,1089.0,75.0,82575.0
2021-02-02,ICFCD83,0.0,1120.0,1103.0,1103.0,434.0,483610.0
2021-02-03,ICFCD83,0.0,1108.0,1106.0,1108.0,105.0,116240.0
2021-02-04,ICFCD83,0.0,1150.0,1120.0,1150.0,955.0,1083990.0
2021-02-07,ICFCD83,0.0,1150.0,1150.0,1150.0,75.0,86250.0
2021-02-08,ICFCD83,0.0,1173.0,1106.0,1173.0,753.0,856246.0
2021-02-09,ICFCD83,0.0,1170.0,1170.0,1170.0,40.0,46800.0
2021-02-10,ICFCD83,0.0,1173.0,1168.0,1168.0,215.0,252020.0
2021-02-11,ICFCD83,0.0,1180.0,1180.0,1180.0,240.0,283200.0
2021-02-14,ICFCD83,0.0,1175.0,1169.0,1175.0,125.0,146725.0
2021-02-15,ICFCD83,0.0,1180.0,1170.0,1180.0,215.0,252700.0
2021-02-16,ICFCD83,0.0,1180.0,1180.0,1180.0,135.0,159300.0
2021-02-17,ICFCD83,0.0,1185.0,1180.0,1185.0,75.0,88625.0
2021-02-18,ICFCD83,0.0,1180.0,1180.0,1180.0,110.0,129800.0
2021-02-21,ICFCD83,0.0,1188.0,1180.0,1185.0,530.0,629165.0
2021-02-23,ICFCD83,0.0,1185.0,1180.0,1185.0,124.0,146615.0
2021-02-24,ICFCD83,0.0,1190.0,1185.0,1185.0,110.0,130670.0
2021-02-25,ICFCD83,0.0,1165.0,1162.0,1165.0,75.0,87225.0
2021-02-28,ICFCD83,0.0,1146.0,1145.0,1145.0,125.0,143150.0
2021-03-01,ICFCD83,0.0,1167.0,1167.0,1167.0,90.0,105030.0
2021-03-02,ICFCD83,0.0,1190.0,1170.0,1170.0,280.0,332700.0
2021-03-03,ICFCD83,0.0,1192.0,1192.0,1192.0,10.0,11920.0
2021-03-04,ICFCD83,0.0,1171.0,1171.0,1171.0,75.0,87825.0
2021-03-14,ICFCD83,0.0,1150.0,1150.0,1150.0,25.0,28750.0
2021-03-15,ICFCD83,0.0,1173.0,1173.0,1173.0,50.0,58650.0
2021-03-16,ICFCD83,0.0,1175.0,1170.0,1175.0,125.0,146750.0
2021-03-17,ICFCD83,0.0,1202.0,1179.0,1202.0,125.0,148220.0
