BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-12-09,ICFCPO,0.0,116.0,116.0,116.0,100.0,11600.0
2013-06-02,ICFCPO,0.0,116.0,116.0,116.0,800.0,92800.0
2013-06-27,ICFCPO,0.0,114.0,105.0,105.0,159732.0,16774360.0
2013-07-03,ICFCPO,0.0,109.0,107.0,109.0,5940.0,646580.0
2013-08-06,ICFCPO,0.0,111.0,111.0,111.0,2495.0,276945.0
2014-01-27,ICFCPO,0.0,109.0,107.0,107.0,40081.0,4322487.0
2014-03-09,ICFCPO,0.0,109.0,109.0,109.0,5590.0,609310.0
2014-03-24,ICFCPO,0.0,111.0,111.0,111.0,28607.0,3175377.0
2014-06-10,ICFCPO,0.0,119.0,113.0,119.0,3132.0,362444.0
2014-06-11,ICFCPO,0.0,129.0,121.0,129.0,16828.0,2100806.0
2014-06-12,ICFCPO,0.0,130.0,130.0,130.0,23385.0,3040050.0
2014-06-16,ICFCPO,0.0,128.0,125.0,125.0,40000.0,5009000.0
2014-08-31,ICFCPO,0.0,129.0,127.0,129.0,10000.0,1280000.0
2014-09-23,ICFCPO,0.0,127.0,127.0,127.0,60000.0,7620000.0
2014-10-28,ICFCPO,0.0,127.0,127.0,127.0,9474.0,1203198.0
2014-11-02,ICFCPO,0.0,129.0,129.0,129.0,120837.0,15587973.0
2015-03-26,ICFCPO,0.0,135.0,135.0,135.0,70271.0,9486585.0
2015-06-21,ICFCPO,0.0,135.0,135.0,135.0,9838.0,1328130.0
2015-07-01,ICFCPO,0.0,136.0,136.0,136.0,11612.0,1579232.0
2015-12-16,ICFCPO,0.0,105.0,105.0,105.0,13965.0,1466325.0
2016-05-18,ICFCPO,0.0,145.0,145.0,145.0,58000.0,8410000.0
2016-09-05,ICFCPO,0.0,205.0,205.0,205.0,15113.0,3098165.0
2016-09-26,ICFCPO,0.0,205.0,205.0,205.0,10500.0,2152500.0
2017-09-25,ICFCPO,0.0,150.0,150.0,150.0,31060.0,4659000.0
2018-04-29,ICFCPO,0.0,111.0,111.0,111.0,18000.0,1998000.0
2018-05-03,ICFCPO,0.0,111.0,111.0,111.0,74646.0,8285706.0
2018-06-20,ICFCPO,0.0,113.0,113.0,113.0,16917.0,1911621.0
2019-01-23,ICFCPO,0.0,122.0,122.0,122.0,19290.0,2353380.0
2019-05-14,ICFCPO,0.0,120.0,120.0,120.0,30483.0,3657960.0
2019-06-04,ICFCPO,0.0,120.0,120.0,120.0,4040.0,484800.0
2019-11-13,ICFCPO,0.0,120.0,120.0,120.0,35615.0,4273800.0
2020-12-03,ICFCPO,0.0,161.0,161.0,161.0,32000.0,5152000.0
2020-12-28,ICFCPO,0.0,160.0,158.0,160.0,150730.0,23815540.0
2021-04-06,ICFCPO,0.0,169.0,169.0,169.0,10250.0,1732250.0
2021-04-29,ICFCPO,0.0,166.0,166.0,166.0,36997.0,6141502.0
2021-07-11,ICFCPO,286.0,286.0,286.0,286.0,15116.0,4323176.0
2021-09-15,ICFCPO,280.3,280.3,280.3,280.3,39681.0,11122584.3
2022-03-06,ICFCPO,280.3,280.3,280.3,373.0,2000.0,502000.0
2022-04-06,ICFCPO,366.0,366.0,366.0,366.0,1820.0,666120.0
2022-06-17,ICFCPO,228.0,228.0,228.0,228.0,22764.0,5190192.0
2022-06-23,ICFCPO,228.0,228.0,228.0,228.0,26200.0,5973600.0
2023-05-09,ICFCPO,223.0,223.0,223.0,223.0,12006.0,2677338.0
2023-07-02,ICFCPO,219.0,219.0,219.0,219.0,20000.0,4380000.0
2023-10-05,ICFCPO,260.0,260.0,260.0,260.0,8051.0,2093260.0
2023-10-17,ICFCPO,260.0,260.0,260.0,260.0,2051.0,533260.0
