BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2015-01-08,IGIPO,0.0,0.0,0.0,81.55,646000.0,52726000.0
2016-11-21,IGIPO,0.0,100.0,100.0,100.0,286200.0,28620000.0
2017-01-01,IGIPO,0.0,100.0,100.0,100.0,55674.0,5567400.0
2017-01-02,IGIPO,0.0,100.0,100.0,100.0,70588.0,7058800.0
2018-04-12,IGIPO,0.0,470.0,470.0,470.0,100.0,47000.0
2018-12-12,IGIPO,0.0,250.0,250.0,250.0,195000.0,48750000.0
2018-12-16,IGIPO,0.0,250.0,250.0,250.0,105000.0,26250000.0
2019-04-30,IGIPO,0.0,248.0,248.0,248.0,1000.0,248000.0
2019-06-26,IGIPO,0.0,248.0,248.0,248.0,97200.0,24105600.0
2019-07-18,IGIPO,0.0,248.0,248.0,248.0,25000.0,6200000.0
2020-09-22,IGIPO,0.0,316.0,316.0,316.0,20000.0,6320000.0
2020-09-27,IGIPO,0.0,310.0,304.0,304.0,76129.0,23143276.0
2022-05-04,IGIPO,296.0,296.0,296.0,296.0,20000.0,5920000.0
2022-06-26,IGIPO,296.0,296.0,296.0,296.0,1000.0,296000.0
