BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-06-20,IHL,291.8,320.9,291.0,320.9,69635,22078936.8
2023-06-21,IHL,327.0,352.9,320.9,340.1,38920,13127518.3
2023-06-22,IHL,346.8,346.8,314.0,316.0,34344,11128906.4
2023-06-25,IHL,320.0,320.0,292.0,305.0,34233,10287833.0
2023-06-26,IHL,299.3,320.0,294.0,312.0,26084,7884962.7
2023-06-27,IHL,305.9,315.0,302.0,314.9,15285,4692311.0
2023-06-28,IHL,315.0,320.0,290.2,294.0,14295,4328908.5
2023-07-02,IHL,289.3,298.0,282.0,282.0,12473,3584437.0
2023-07-03,IHL,276.4,292.3,271.0,274.4,8589,2385340.4
2023-07-04,IHL,270.0,279.0,267.8,276.0,7019,1906588.5
2023-07-05,IHL,270.5,283.4,260.0,264.0,11648,3099510.0
2023-07-06,IHL,259.0,274.5,250.0,256.0,10071,2565843.8
2023-07-09,IHL,255.0,270.3,250.0,253.9,7208,1823353.0
2023-07-10,IHL,248.9,256.0,248.9,251.0,6947,1756457.7
2023-07-11,IHL,246.2,256.0,246.2,251.2,5940,1487404.0
2023-07-12,IHL,248.0,272.0,248.0,270.1,18317,4802116.2
2023-07-13,IHL,275.5,280.0,260.0,260.0,9348,2475140.9
2023-07-16,IHL,255.1,257.0,250.2,257.0,3911,991083.1
2023-07-17,IHL,252.0,264.3,247.2,264.3,7738,1987262.0
2023-07-18,IHL,259.2,271.0,256.0,265.0,14283,3786274.0
2023-07-19,IHL,260.0,261.1,255.1,256.4,6765,1754205.0
2023-07-20,IHL,255.0,265.0,255.0,260.0,7423,1929838.5
2023-07-23,IHL,265.1,283.0,263.0,278.0,30540,8349059.2
2023-07-24,IHL,278.0,288.0,270.0,273.0,18242,5099997.5
2023-07-25,IHL,268.3,275.0,267.1,269.0,4675,1262138.6
2023-07-26,IHL,269.0,276.0,258.6,270.0,8564,2303527.6
2023-07-27,IHL,275.0,275.0,259.1,262.0,4240,1113618.3
2023-07-30,IHL,258.0,262.0,252.7,253.2,9627,2453720.8
2023-07-31,IHL,249.5,264.1,249.5,251.5,7749,1965725.3
2023-08-01,IHL,255.0,260.1,249.9,250.0,8459,2134663.7
2023-08-02,IHL,250.0,255.0,248.0,251.0,4765,1197139.0
2023-08-03,IHL,246.2,258.0,246.2,246.8,7092,1775335.1
2023-08-06,IHL,245.0,245.0,236.1,238.1,5730,1370708.5
2023-08-07,IHL,240.0,248.0,233.9,236.0,8059,1908305.1
2023-08-08,IHL,233.0,240.7,227.2,228.6,5084,1179797.5
2023-08-09,IHL,224.5,232.4,216.6,232.4,12442,2761597.3
2023-08-10,IHL,232.0,235.8,223.0,225.0,7456,1687068.8
2023-08-13,IHL,221.0,229.1,217.0,220.8,10417,2303361.0
2023-08-14,IHL,223.9,225.0,217.0,218.1,5220,1142172.0
2023-08-15,IHL,218.0,218.0,213.1,214.0,6314,1352610.0
2023-08-16,IHL,210.0,215.0,207.0,210.0,3545,748989.0
2023-08-17,IHL,206.1,216.2,206.1,209.1,2211,466243.0
2023-08-20,IHL,205.2,208.0,205.2,206.2,2810,580434.0
2023-08-21,IHL,202.2,206.5,200.2,202.0,3601,730010.0
2023-08-22,IHL,202.0,220.0,200.2,220.0,8150,1698990.0
2023-08-23,IHL,220.0,229.5,216.0,229.5,10697,2406283.8
2023-08-24,IHL,225.0,229.5,217.0,229.5,9564,2122535.0
2023-08-27,IHL,225.0,225.0,207.6,219.6,3380,730476.0
2023-08-28,IHL,215.3,220.0,210.0,214.0,2900,618439.0
