BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-08-06,ILI,529.5,582.4,529.5,582.4,54780,31883777.5
2023-08-07,ILI,594.0,640.6,594.0,616.0,701803,436259348.0
2023-08-08,ILI,616.0,619.0,585.0,589.0,299597,178932202.6
2023-08-09,ILI,598.0,600.7,571.2,597.3,266818,155026202.2
2023-08-10,ILI,604.0,609.0,583.0,590.0,141998,84078844.8
2023-08-13,ILI,590.0,595.0,580.0,580.8,182198,106195208.6
2023-08-14,ILI,569.2,596.8,569.2,589.9,191385,112441979.6
2023-08-15,ILI,600.0,600.0,580.3,581.0,98939,57775243.8
2023-08-16,ILI,580.0,585.0,575.2,576.9,103174,59662670.3
2023-08-17,ILI,575.0,590.0,571.0,583.1,133203,77941378.1
2023-08-20,ILI,583.0,585.0,578.0,580.0,114230,66301070.7
2023-08-21,ILI,580.0,582.9,572.1,577.0,101241,58377288.5
2023-08-22,ILI,567.0,579.0,567.0,576.0,61149,35115293.5
2023-08-23,ILI,575.0,585.0,574.0,579.1,94254,54642813.7
2023-08-24,ILI,580.0,590.0,570.0,570.2,85739,49248761.4
2023-08-27,ILI,570.0,570.0,555.0,558.0,97116,54517226.7
2023-08-28,ILI,551.1,564.0,551.1,554.5,69132,38488289.2
2023-08-29,ILI,554.0,558.0,550.0,550.9,58882,32475795.1
2023-08-30,ILI,548.0,554.0,548.0,549.2,60855,33561227.8
2023-09-03,ILI,550.0,553.0,541.0,541.3,69096,37641946.1
2023-09-04,ILI,540.0,559.0,540.0,559.0,96212,52884032.5
2023-09-05,ILI,559.0,560.0,552.0,556.4,50793,28241754.2
2023-09-07,ILI,551.1,551.1,544.3,545.5,57647,31488083.1
2023-09-10,ILI,540.1,549.9,535.6,538.8,72788,39331365.6
2023-09-11,ILI,528.2,552.0,528.2,550.0,63895,34930948.3
2023-09-12,ILI,539.6,566.0,539.6,541.2,60371,32991921.1
2023-09-13,ILI,540.0,555.3,540.0,554.0,70531,38824316.6
2023-09-17,ILI,553.0,555.0,535.3,536.0,86027,46586887.9
2023-09-18,ILI,535.0,540.0,530.0,540.0,45272,24206897.0
2023-09-19,ILI,531.0,540.0,531.0,537.0,42969,23016831.4
2023-09-21,ILI,540.0,554.0,538.1,543.2,107149,58427180.3
2023-09-24,ILI,545.0,545.0,531.1,531.5,54688,29346959.7
2023-09-25,ILI,531.0,539.9,530.1,530.3,45640,24324519.7
2023-09-26,ILI,535.0,540.8,533.1,538.0,51509,27691630.2
2023-09-27,ILI,534.0,545.0,530.6,532.5,46183,24613696.9
2023-10-01,ILI,530.0,531.0,516.3,520.1,68794,35920377.0
2023-10-02,ILI,515.0,522.0,511.0,514.0,50083,25761547.5
2023-10-03,ILI,513.0,514.0,505.0,506.0,35796,18209584.1
2023-10-04,ILI,508.0,518.0,507.0,510.0,44037,22493579.1
2023-10-05,ILI,507.0,510.5,502.0,503.3,36244,18337140.1
2023-10-08,ILI,500.0,504.5,484.1,486.0,85829,42050442.3
2023-10-09,ILI,480.0,494.0,477.3,481.0,42793,20663593.2
2023-10-10,ILI,481.0,490.0,476.0,477.0,31208,14946842.5
2023-10-11,ILI,475.0,483.0,472.5,480.2,36280,17371946.6
2023-10-12,ILI,475.5,483.0,473.1,480.9,50497,24125533.0
2023-10-16,ILI,473.2,480.0,460.6,467.1,61593,28783902.7
2023-10-17,ILI,467.1,484.5,463.3,484.5,42542,20122737.5
2023-10-18,ILI,475.1,494.0,475.1,489.5,49828,24277088.3
2023-10-19,ILI,489.1,497.6,481.3,485.2,47462,23146459.5
2023-10-29,ILI,485.0,485.0,469.0,470.2,24923,11735062.5
2023-10-30,ILI,470.0,471.0,461.5,468.0,15882,7390878.1
2023-10-31,ILI,465.0,469.0,461.1,462.1,18484,8566266.5
2023-11-01,ILI,460.6,466.0,459.1,460.0,17431,8036033.7
2023-11-02,ILI,452.2,474.3,450.0,452.0,27479,12478078.4
2023-11-05,ILI,446.0,453.0,444.0,452.0,31593,14137640.1
2023-11-06,ILI,446.1,461.0,446.1,456.8,24440,11160394.0
2023-11-07,ILI,451.0,468.2,451.0,465.1,30656,14127082.5
2023-11-08,ILI,465.0,474.0,458.0,469.5,33311,15585102.9
2023-11-09,ILI,463.0,478.8,463.0,465.1,24362,11356102.4
2023-11-20,ILI,465.0,479.0,460.1,464.0,24427,11430407.3
2023-11-21,ILI,470.0,473.0,456.7,458.7,27383,12578802.9
2023-11-22,ILI,455.0,468.0,450.3,467.7,20892,9629710.0
2023-11-23,ILI,464.0,492.0,460.2,487.0,55355,26704522.1
2023-11-26,ILI,490.0,525.0,482.1,522.0,117199,59883524.2
2023-11-27,ILI,515.0,532.0,508.2,518.0,66185,34181779.3
2023-11-28,ILI,510.0,524.1,509.0,518.0,58658,30291956.5
2023-11-29,ILI,518.0,520.0,500.0,503.7,51413,26102720.2
2023-11-30,ILI,493.7,509.0,493.7,497.1,53957,26888359.7
2023-12-03,ILI,497.0,500.0,491.0,499.0,25353,12539378.8
2023-12-04,ILI,500.0,515.0,500.0,507.0,45529,23177932.0
2023-12-05,ILI,517.1,520.0,503.0,509.9,61770,31568578.4
2023-12-06,ILI,509.0,523.0,503.0,518.0,103901,53770226.3
2023-12-07,ILI,507.7,525.0,506.7,517.2,76850,39743886.0
2023-12-10,ILI,527.5,549.0,527.5,546.0,19162,10436308.8
2023-12-11,ILI,556.0,556.0,525.0,536.0,183632,98898157.9
2023-12-12,ILI,531.0,562.0,531.0,550.0,148771,82285102.2
2023-12-13,ILI,550.0,561.9,534.4,540.1,118829,65070126.4
2023-12-14,ILI,550.9,563.0,541.0,556.0,140009,77584312.6
2023-12-17,ILI,544.9,567.0,535.0,565.1,155096,86321618.5
2023-12-18,ILI,565.1,577.0,558.0,565.0,98920,56297686.4
2023-12-19,ILI,570.0,596.0,560.5,588.0,143050,82139691.0
2023-12-20,ILI,589.0,599.1,579.7,586.6,121663,71348863.5
2023-12-21,ILI,585.0,587.0,566.1,566.6,107474,61797385.6
2023-12-24,ILI,566.0,620.0,564.0,590.0,319125,190372800.2
2023-12-27,ILI,590.0,615.0,590.0,604.0,196527,118732597.4
2023-12-28,ILI,604.0,620.0,604.0,607.0,153229,93807451.1
2024-01-01,ILI,607.0,613.9,585.0,588.2,150265,89719168.6
2024-01-02,ILI,581.0,587.0,565.0,566.0,153668,87959255.5
2024-01-03,ILI,560.0,570.0,542.0,568.0,282817,157017871.1
2024-01-04,ILI,579.0,579.0,552.3,554.0,164307,92101697.6
2024-01-07,ILI,547.0,547.1,532.0,532.0,130445,70089189.1
2024-01-08,ILI,540.0,558.3,537.1,557.1,89074,48577079.0
2024-01-09,ILI,565.0,573.2,557.5,563.0,100388,56680659.4
2024-01-10,ILI,574.2,586.0,557.2,560.0,86517,49118654.8
2024-01-11,ILI,570.0,570.0,555.0,557.0,69570,39008023.2
2024-01-14,ILI,565.0,568.0,554.0,555.0,58040,32361752.9
2024-01-16,ILI,566.0,569.0,555.1,565.0,96751,54488018.7
2024-01-17,ILI,563.0,575.0,559.0,559.1,120777,68613842.3
2024-01-18,ILI,554.1,566.0,548.0,550.1,90651,50221551.9
2024-01-21,ILI,550.0,561.0,542.6,543.1,68293,37593448.8
2024-01-22,ILI,543.1,568.0,541.0,553.0,84199,46631967.1
2024-01-23,ILI,554.0,559.0,544.0,545.0,44133,24259808.0
2024-01-24,ILI,546.0,555.0,541.3,542.0,31488,17223783.1
2024-01-25,ILI,540.1,547.0,535.0,535.0,45778,24702915.6
2024-01-28,ILI,545.7,555.0,535.4,540.1,70522,38193971.3
