BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-18,JBBD87,1000.0,1000.0,1000.0,1000.0,10,10000.0
2023-12-24,JBBD87,900.0,900.0,900.0,900.0,525,472500.0
2023-12-27,JBBD87,884.0,884.0,884.0,884.0,25,22100.0
2023-12-28,JBBD87,870.1,875.2,858.5,858.5,125,108470.0
2024-01-01,JBBD87,858.5,860.4,858.5,860.4,50,42972.5
2024-01-02,JBBD87,856.2,863.0,856.2,863.0,75,64510.0
2024-01-03,JBBD87,863.3,863.3,863.3,863.3,25,21582.5
2024-01-04,JBBD87,858.2,858.2,858.0,858.0,103,88382.0
2024-01-08,JBBD87,860.0,879.0,850.2,879.0,75,64730.0
2024-01-09,JBBD87,863.0,863.0,863.0,863.0,10,8630.0
2024-01-14,JBBD87,934.0,935.0,934.0,935.0,45,42050.0
2024-01-16,JBBD87,845.0,845.0,841.6,841.6,100,84245.0
2024-01-18,JBBD87,825.0,825.0,820.1,820.1,100,82255.0
2024-01-21,JBBD87,833.0,833.0,833.0,833.0,25,20825.0
2024-01-22,JBBD87,832.0,834.1,832.0,834.1,75,62505.0
2024-01-23,JBBD87,825.5,834.0,825.0,825.5,222,183472.5
2024-01-24,JBBD87,825.0,825.0,825.0,825.0,25,20625.0
2024-01-25,JBBD87,870.0,870.0,870.0,870.0,25,21750.0
