BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-02,JFL,0.0,226.0,226.0,226.0,50.0,11300.0
2012-01-12,JFL,0.0,222.0,213.0,213.0,648.0,141334.0
2012-01-18,JFL,0.0,209.0,200.0,200.0,239.0,48447.0
2012-01-22,JFL,0.0,196.0,196.0,196.0,500.0,98000.0
2012-01-23,JFL,0.0,199.0,196.0,196.0,180.0,35604.0
2012-01-26,JFL,0.0,194.0,191.0,191.0,246.0,47294.0
2012-02-02,JFL,0.0,191.0,191.0,191.0,123.0,23493.0
2012-02-09,JFL,0.0,194.0,194.0,194.0,500.0,97000.0
2012-02-12,JFL,0.0,191.0,188.0,188.0,925.0,175739.0
2012-02-28,JFL,0.0,191.0,191.0,191.0,49.0,9359.0
2012-03-01,JFL,0.0,204.0,194.0,204.0,90.0,17970.0
2012-03-04,JFL,0.0,208.0,208.0,208.0,20.0,4160.0
2012-03-05,JFL,0.0,212.0,204.0,204.0,130.0,27080.0
2012-03-06,JFL,0.0,207.0,205.0,205.0,401.0,82619.0
2012-03-11,JFL,0.0,205.0,205.0,205.0,10.0,2050.0
2012-03-12,JFL,0.0,204.0,202.0,202.0,359.0,72868.0
2012-03-13,JFL,0.0,199.0,199.0,199.0,200.0,39800.0
2012-03-14,JFL,0.0,202.0,200.0,200.0,207.0,41580.0
2012-03-18,JFL,200.0,204.0,204.0,204.0,1000.0,204000.0
2012-03-27,JFL,0.0,200.0,199.0,199.0,1750.0,348300.0
2012-03-29,JFL,0.0,200.0,200.0,200.0,60.0,12000.0
2012-04-01,JFL,0.0,202.0,202.0,202.0,130.0,26260.0
2012-04-15,JFL,0.0,206.0,206.0,206.0,40.0,8240.0
2012-04-18,JFL,0.0,210.0,136.0,210.0,2502.0,381250.0
2012-05-02,JFL,0.0,214.0,214.0,214.0,50.0,10700.0
2012-05-07,JFL,0.0,224.0,224.0,224.0,10.0,2240.0
2012-05-08,JFL,0.0,228.0,228.0,228.0,40.0,9120.0
2012-05-09,JFL,0.0,232.0,232.0,232.0,2844.0,659808.0
2012-05-13,JFL,0.0,240.0,236.0,240.0,1060.0,253732.0
2012-05-14,JFL,0.0,257.0,244.0,257.0,120.0,29770.0
2012-05-16,JFL,0.0,267.0,262.0,262.0,1025.0,269050.0
2012-05-17,JFL,0.0,287.0,267.0,287.0,1479.0,410828.0
2012-05-20,JFL,0.0,297.0,292.0,297.0,41.0,12127.0
2012-05-21,JFL,0.0,302.0,292.0,295.0,3189.0,953863.0
2012-05-22,JFL,0.0,290.0,280.0,280.0,150.0,43135.0
2012-05-23,JFL,0.0,280.0,275.0,280.0,78.0,21570.0
2012-05-24,JFL,0.0,285.0,285.0,285.0,20.0,5700.0
2012-05-29,JFL,0.0,280.0,257.0,257.0,2159.0,561589.0
2012-05-30,JFL,0.0,252.0,247.0,251.0,490.0,122010.0
2012-06-04,JFL,0.0,256.0,256.0,256.0,20.0,5120.0
2012-06-05,JFL,0.0,255.0,251.0,252.0,595.0,150018.0
2012-06-06,JFL,0.0,250.0,249.0,250.0,467.0,116300.0
2012-06-07,JFL,0.0,260.0,255.0,255.0,45.0,11525.0
2012-06-10,JFL,0.0,260.0,259.0,260.0,59.0,15321.0
2012-06-11,JFL,0.0,270.0,265.0,270.0,470.0,124800.0
2012-06-12,JFL,0.0,270.0,265.0,270.0,2669.0,716902.0
2012-06-13,JFL,0.0,290.0,271.0,290.0,140.0,38400.0
