BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-18,KBLD89,1000.0,1010.0,1000.0,1000.0,1735,1743811.0
2023-12-19,KBLD89,1020.0,1020.0,1015.1,1015.1,95,96728.5
2023-12-20,KBLD89,1020.0,1020.0,1020.0,1020.0,705,719100.0
2023-12-21,KBLD89,1000.5,1015.0,1000.5,1001.2,130,130922.0
2023-12-24,KBLD89,1020.0,1020.0,1020.0,1020.0,295,300900.0
2023-12-27,KBLD89,1001.1,1030.0,1000.0,1030.0,300,304055.0
2023-12-28,KBLD89,1015.0,1015.0,1015.0,1015.0,75,76125.0
2024-01-01,KBLD89,1000.5,1002.0,1000.5,1001.1,50,50049.0
2024-01-02,KBLD89,1015.0,1015.0,1001.2,1001.2,150,151285.0
2024-01-03,KBLD89,1021.2,1021.2,1021.2,1021.2,25,25530.0
2024-01-04,KBLD89,1010.0,1010.0,1010.0,1010.0,40,40400.0
2024-01-08,KBLD89,1015.0,1035.3,1015.0,1035.3,44,45045.7
2024-01-09,KBLD89,1035.3,1035.3,1035.3,1056.0,7,7267.8
2024-01-11,KBLD89,1056.0,1056.0,1056.0,1077.0,1,1077.0
2024-01-14,KBLD89,1077.0,1077.0,1077.0,1098.0,1,1098.0
2024-01-18,KBLD89,1076.1,1076.1,1076.1,1076.1,235,252883.5
2024-01-21,KBLD89,1054.6,1054.6,1014.0,1017.0,315,323193.4
2024-01-22,KBLD89,1005.5,1005.5,1000.0,1000.0,1044,1046806.0
2024-01-23,KBLD89,1020.0,1020.0,1020.0,1020.0,17,17340.0
2024-01-24,KBLD89,1020.0,1020.0,1020.0,1020.0,100,102000.0
2024-01-28,KBLD89,1025.0,1025.0,1025.0,1025.0,25,25625.0
