BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-08-21,KBSH,479.0,526.9,479.0,526.9,1102,578739.8
2023-08-22,KBSH,537.4,579.5,537.4,579.5,970,561081.0
2023-08-23,KBSH,591.0,637.4,591.0,637.4,640,406796.0
2023-08-24,KBSH,650.1,701.1,650.1,701.1,2578,1806184.8
2023-08-27,KBSH,715.1,771.2,715.1,771.2,2509,1931848.7
2023-08-28,KBSH,786.6,848.3,786.6,848.3,1991,1687451.3
2023-08-29,KBSH,848.3,933.1,848.3,933.1,16318,14938378.8
2023-08-30,KBSH,950.0,969.0,862.4,882.0,14491,12993835.7
2023-09-03,KBSH,865.0,865.0,794.0,808.0,8735,7161216.0
2023-09-04,KBSH,792.0,836.4,780.0,836.0,4450,3562938.0
2023-09-05,KBSH,820.0,830.0,804.0,830.0,1376,1124518.2
2023-09-07,KBSH,814.6,823.1,800.6,822.0,3308,2694918.0
2023-09-10,KBSH,806.1,868.5,794.0,805.0,3756,3018310.0
2023-09-11,KBSH,811.0,819.9,780.2,814.0,1750,1420103.0
2023-09-12,KBSH,805.0,812.0,793.0,806.0,2980,2392661.5
2023-09-13,KBSH,791.4,839.0,791.4,834.0,1925,1572528.5
2023-09-17,KBSH,817.4,822.0,796.3,814.9,1340,1080841.5
2023-09-18,KBSH,801.1,829.8,800.0,813.0,2667,2156877.0
2023-09-19,KBSH,796.9,828.8,796.9,799.1,1596,1299600.0
2023-09-21,KBSH,815.0,839.0,815.0,833.0,4760,3940843.0
2023-09-24,KBSH,840.0,864.0,818.0,833.0,3728,3115925.7
2023-09-25,KBSH,818.1,849.0,818.0,849.0,2420,2023876.0
2023-09-26,KBSH,833.0,876.0,816.5,859.0,3308,2794380.8
2023-09-27,KBSH,842.0,844.9,820.0,834.0,927,769553.5
2023-10-01,KBSH,820.0,828.0,805.0,805.1,847,688893.0
2023-10-02,KBSH,806.5,820.0,796.0,815.0,1385,1121369.7
2023-10-03,KBSH,801.1,812.0,797.5,812.0,876,704805.6
2023-10-04,KBSH,802.0,815.9,801.2,810.0,1395,1123127.0
2023-10-05,KBSH,795.4,810.0,795.4,807.0,783,628638.5
2023-10-08,KBSH,791.7,796.0,786.1,786.1,840,664420.5
2023-10-09,KBSH,780.2,791.0,780.0,789.0,1003,786129.4
2023-10-10,KBSH,780.1,780.1,770.0,780.0,1619,1253657.5
2023-10-11,KBSH,779.0,788.4,772.0,788.4,590,458243.0
2023-10-12,KBSH,773.0,774.0,760.0,774.0,770,588109.0
2023-10-16,KBSH,770.0,770.0,735.2,736.0,1236,925133.0
2023-10-17,KBSH,750.7,750.7,736.0,747.0,520,387315.0
2023-10-18,KBSH,747.0,775.0,747.0,774.7,310,235865.0
2023-10-19,KBSH,759.4,766.0,750.0,750.0,490,368964.0
2023-10-29,KBSH,749.0,760.0,740.0,747.0,800,597126.0
2023-10-30,KBSH,736.0,774.9,736.0,774.9,1320,1001465.0
2023-10-31,KBSH,759.5,759.5,740.2,746.0,2454,1827994.0
2023-11-01,KBSH,737.0,750.0,737.0,748.7,510,380142.0
2023-11-02,KBSH,738.0,749.9,736.0,743.0,772,570685.0
2023-11-05,KBSH,729.0,733.0,722.0,733.0,440,320382.0
2023-11-06,KBSH,744.0,747.9,721.0,740.0,1746,1284248.0
2023-11-07,KBSH,752.9,754.0,740.0,745.0,474,352436.0
2023-11-08,KBSH,750.0,755.0,740.0,755.0,170,126508.0
2023-11-09,KBSH,742.0,742.0,731.2,740.0,472,347391.0
2023-11-20,KBSH,740.5,750.0,726.1,738.0,310,227958.0
2023-11-21,KBSH,725.1,730.0,724.3,724.3,233,168957.0
2023-11-22,KBSH,725.0,751.0,725.0,736.0,110,80587.0
2023-11-23,KBSH,725.0,763.4,725.0,763.4,560,411749.0
2023-11-26,KBSH,750.0,775.0,748.2,773.9,600,455837.0
2023-11-27,KBSH,773.5,819.0,773.5,800.0,2127,1673917.4
2023-11-28,KBSH,805.0,805.0,775.0,804.0,1030,811191.0
2023-11-29,KBSH,791.0,791.0,775.3,788.0,460,362907.0
2023-11-30,KBSH,772.5,773.9,744.0,744.0,740,557877.0
2023-12-03,KBSH,744.0,754.5,738.1,754.5,160,118814.0
2023-12-04,KBSH,740.0,770.0,740.0,768.9,200,151831.0
2023-12-05,KBSH,753.6,761.0,747.0,761.0,360,269923.0
2023-12-06,KBSH,751.0,751.0,750.1,750.1,140,105053.0
