BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-07-27,KDBY,10.0,10.0,9.0,9.0,10250,94263.0
2022-07-28,KDBY,8.85,9.02,8.7,9.01,16091,143236.88
2022-07-29,KDBY,8.89,8.96,8.89,8.96,3300,29418.0
2022-07-31,KDBY,8.94,9.1,8.93,9.0,10900,98363.0
2022-08-01,KDBY,9.0,9.0,8.7,8.92,6020,53464.6
2022-08-02,KDBY,8.75,9.0,8.75,8.91,23970,213581.6
2022-08-03,KDBY,8.74,9.09,8.74,8.92,9350,83888.0
2022-08-04,KDBY,8.75,9.09,8.75,9.09,10890,97244.8
2022-08-05,KDBY,8.95,8.95,8.86,8.86,2300,20508.0
2022-08-07,KDBY,8.7,8.92,8.7,8.92,6350,55492.0
2022-08-08,KDBY,9.09,9.09,8.72,8.8,5870,51416.1
2022-08-09,KDBY,8.63,8.83,8.63,8.8,6550,57125.5
2022-08-10,KDBY,8.63,8.81,8.63,8.71,4950,42956.0
2022-08-11,KDBY,8.54,9.02,8.54,8.85,2100,18516.0
2022-08-14,KDBY,8.68,8.86,8.68,8.7,3300,28786.0
2022-08-15,KDBY,8.68,8.89,8.6,8.8,11010,95809.1
2022-08-16,KDBY,8.63,8.82,8.63,8.71,3300,28729.0
2022-08-17,KDBY,8.54,8.71,8.54,8.66,3490,30049.0
2022-08-18,KDBY,8.66,8.83,8.56,8.6,3950,34271.0
2022-08-21,KDBY,8.43,8.7,8.43,8.5,4950,42170.0
2022-08-22,KDBY,8.33,8.67,8.33,8.41,4950,41761.5
2022-08-23,KDBY,8.25,8.73,8.25,8.6,3600,30648.0
2022-08-24,KDBY,8.43,9.11,8.43,8.94,5400,46845.0
2022-08-25,KDBY,8.94,9.0,8.48,8.65,7000,60147.0
2022-08-26,KDBY,8.48,8.5,8.48,8.49,1300,11038.0
2022-08-28,KDBY,8.33,8.64,8.33,8.51,9950,84365.0
2022-08-29,KDBY,8.39,8.61,8.18,8.55,15350,130055.5
2022-08-30,KDBY,8.39,8.52,8.24,8.51,2700,22619.0
2022-08-31,KDBY,8.5,8.5,8.4,8.43,2800,23624.0
2022-09-01,KDBY,8.59,8.59,8.4,8.41,4900,41400.0
2022-09-02,KDBY,8.27,8.55,8.27,8.38,1400,11885.0
2022-09-04,KDBY,8.25,8.43,8.25,8.3,3700,30702.0
2022-09-05,KDBY,8.3,8.48,8.3,8.33,2750,23026.0
2022-09-06,KDBY,8.17,8.36,8.17,8.36,4000,32862.0
2022-09-07,KDBY,8.3,8.37,8.21,8.26,3050,25165.5
2022-09-08,KDBY,8.15,8.4,8.15,8.3,11210,93054.0
2022-09-11,KDBY,8.15,8.39,8.15,8.36,1900,15656.0
2022-09-12,KDBY,8.2,8.4,8.18,8.32,2700,22509.0
2022-09-13,KDBY,8.32,8.48,8.2,8.25,4650,38524.0
2022-09-14,KDBY,8.18,8.44,8.18,8.3,3750,31019.5
2022-09-15,KDBY,8.25,8.3,8.25,8.26,3650,30238.41
2022-09-16,KDBY,8.15,8.33,8.15,8.21,10800,88958.0
2022-09-18,KDBY,8.17,8.24,8.17,8.24,2500,20516.0
2022-09-20,KDBY,8.17,8.4,8.14,8.24,9795,80557.2
2022-09-21,KDBY,8.09,8.2,8.09,8.18,3600,29311.0
2022-09-22,KDBY,8.02,8.29,8.02,8.29,6000,48701.0
2022-09-25,KDBY,8.13,8.13,7.46,7.71,1500,11520.0
2022-09-27,KDBY,7.8,7.95,7.8,7.85,1100,8641.0
2022-09-28,KDBY,7.85,7.86,7.85,7.86,1500,11788.0
2022-09-29,KDBY,8.0,8.25,7.85,8.15,2875,23198.5
2022-10-09,KDBY,8.15,8.15,8.0,8.1,2500,20048.0
2022-10-10,KDBY,8.1,8.4,7.79,8.24,5600,45676.0
2022-10-11,KDBY,8.25,8.4,8.24,8.3,2000,16649.0
2022-10-12,KDBY,8.14,8.31,8.14,8.31,850,7025.0
2022-10-13,KDBY,8.15,8.31,8.0,8.15,1450,11851.5
2022-10-16,KDBY,7.99,8.17,7.99,8.05,2015,16208.65
2022-10-17,KDBY,7.9,8.36,7.9,8.36,1800,14730.0
2022-10-19,KDBY,8.2,8.26,7.9,7.97,4200,33909.0
2022-10-20,KDBY,7.89,8.0,7.89,7.95,600,4764.0
2022-10-23,KDBY,7.9,8.05,7.9,7.91,1000,7917.0
2022-10-31,KDBY,7.77,7.93,7.77,7.93,2900,22656.0
2022-11-01,KDBY,7.8,8.05,7.8,8.05,1300,10358.0
2022-11-02,KDBY,7.93,8.07,7.92,7.95,10400,82529.0
2022-11-03,KDBY,7.82,7.95,7.82,7.95,1750,13824.0
2022-11-06,KDBY,7.8,8.0,7.8,7.9,3000,23723.0
2022-11-07,KDBY,7.76,8.21,7.76,7.92,4500,35752.0
2022-11-08,KDBY,7.91,8.06,7.91,8.02,3900,31334.0
2022-11-09,KDBY,7.9,8.02,7.9,7.96,700,5567.0
2022-11-10,KDBY,7.9,8.1,7.9,7.91,3115,24679.0
2022-11-13,KDBY,7.91,8.0,7.91,7.96,3710,29461.4
2022-11-14,KDBY,7.85,8.05,7.85,8.05,1000,7946.0
2022-11-15,KDBY,7.89,8.1,7.89,8.1,1300,10356.5
2022-11-16,KDBY,8.0,8.0,7.96,7.98,2500,19924.0
2022-11-17,KDBY,7.85,8.16,7.85,8.16,1900,15211.0
2022-11-22,KDBY,8.0,8.16,8.0,8.0,3200,25759.0
2022-11-23,KDBY,7.85,8.0,7.85,7.92,3300,26207.0
2022-11-24,KDBY,7.8,7.98,7.8,7.9,1900,14912.0
2022-11-27,KDBY,7.95,8.05,7.95,7.99,1985,15842.0
2022-11-28,KDBY,7.9,8.14,7.9,8.0,13000,104060.0
2022-11-29,KDBY,7.9,8.0,7.9,8.0,1200,9550.0
2022-11-30,KDBY,7.89,8.32,7.89,8.01,11100,91666.0
2022-12-01,KDBY,7.87,8.0,7.87,7.98,3300,26231.0
2022-12-04,KDBY,7.93,8.13,7.93,8.0,2700,21617.0
2022-12-05,KDBY,7.97,8.1,7.97,7.99,1950,15602.0
2022-12-06,KDBY,7.84,8.32,7.84,8.16,3800,30961.0
2022-12-07,KDBY,8.0,8.62,8.0,8.58,1900,15754.0
2022-12-11,KDBY,8.41,8.75,8.0,8.75,3000,24987.0
2022-12-12,KDBY,8.58,8.58,8.25,8.25,300,2524.0
2022-12-13,KDBY,8.1,8.15,7.96,8.15,1600,12879.0
2022-12-14,KDBY,8.0,8.16,8.0,8.0,4300,34588.0
2022-12-15,KDBY,7.86,8.1,7.86,8.1,2000,15941.0
2022-12-18,KDBY,7.94,7.95,7.88,7.95,2200,17424.0
2022-12-19,KDBY,7.82,8.07,7.82,7.92,7300,57987.0
2022-12-20,KDBY,7.92,8.1,7.8,8.09,6600,52613.0
2022-12-21,KDBY,7.93,7.95,7.93,7.94,2300,18263.0
2022-12-22,KDBY,7.8,8.05,7.8,7.9,2000,15845.0
2022-12-26,KDBY,7.8,8.05,7.76,7.89,2850,22465.0
2022-12-27,KDBY,8.04,8.15,7.92,8.0,2950,23595.0
2022-12-28,KDBY,7.9,8.05,7.9,7.98,2100,16721.0
2022-12-29,KDBY,8.0,8.26,7.84,8.16,2400,19268.0
2023-01-01,KDBY,8.16,8.18,8.02,8.18,8715,70372.6
2023-01-02,KDBY,8.18,8.2,8.04,8.06,3350,27193.0
2023-01-03,KDBY,8.0,8.26,8.0,8.12,4700,38007.0
2023-01-04,KDBY,8.1,8.2,8.08,8.2,3350,27247.0
2023-01-05,KDBY,8.11,8.75,8.11,8.58,9400,80106.0
2023-01-08,KDBY,8.41,8.75,8.3,8.5,5400,45533.0
2023-01-09,KDBY,8.35,9.3,8.35,9.3,7800,67501.0
2023-01-10,KDBY,9.12,9.48,8.94,9.48,22350,201855.0
2023-01-12,KDBY,9.5,10.43,9.22,10.43,17580,167636.2
2023-01-17,KDBY,10.23,10.23,10.1,10.1,300,3056.0
2023-01-18,KDBY,9.9,9.9,9.9,9.9,600,5940.0
2023-01-19,KDBY,9.71,9.71,8.97,9.02,14950,135492.7
2023-01-23,KDBY,8.84,9.02,8.56,8.77,6800,59033.0
2023-01-24,KDBY,8.6,9.07,8.2,8.97,9700,83965.8
2023-01-25,KDBY,8.8,8.85,8.68,8.85,2250,19641.0
2023-01-26,KDBY,8.8,9.0,8.68,8.68,13150,115389.0
2023-01-29,KDBY,8.51,8.89,8.51,8.78,5700,48981.0
2023-01-30,KDBY,8.61,8.63,8.35,8.46,9000,76177.5
2023-01-31,KDBY,8.46,8.56,8.32,8.56,2440,20571.2
2023-02-01,KDBY,8.4,8.6,8.24,8.55,3850,32397.0
2023-02-02,KDBY,8.38,8.5,8.3,8.35,2600,21784.0
2023-02-05,KDBY,8.19,8.44,8.19,8.4,7200,59959.0
2023-02-06,KDBY,8.24,8.46,8.1,8.3,4050,33538.5
2023-02-07,KDBY,8.14,8.48,8.14,8.48,3200,26934.0
2023-02-08,KDBY,8.32,8.6,8.32,8.6,3200,26938.0
2023-02-09,KDBY,8.5,8.5,8.37,8.42,1920,16188.8
2023-02-12,KDBY,8.26,8.47,8.26,8.33,8370,70259.3
2023-02-14,KDBY,8.19,8.35,8.19,8.2,7300,60033.0
2023-02-15,KDBY,8.11,8.3,8.11,8.24,5529,45496.67
2023-02-16,KDBY,8.23,8.29,8.23,8.29,3450,28504.5
2023-02-20,KDBY,8.15,8.3,8.15,8.16,5810,47409.5
2023-02-22,KDBY,8.16,8.25,7.95,8.12,7000,56562.0
2023-02-23,KDBY,8.0,8.1,7.86,8.1,3150,25086.0
2023-02-26,KDBY,8.0,8.25,7.94,8.25,2000,16096.0
2023-02-27,KDBY,8.2,8.2,8.04,8.2,3800,30756.0
2023-02-28,KDBY,8.05,8.2,8.05,8.06,1800,14533.0
2023-03-01,KDBY,8.04,8.1,8.04,8.06,2200,17738.0
2023-03-02,KDBY,8.06,8.2,8.06,8.1,1800,14562.0
2023-03-05,KDBY,8.05,8.25,8.05,8.25,2440,19796.2
2023-03-07,KDBY,8.09,8.2,7.99,8.0,1014860,8163945.0
2023-03-09,KDBY,8.0,8.19,7.95,8.19,4750,38400.0
2023-03-12,KDBY,8.1,8.1,8.04,8.06,2770,22327.0
2023-03-13,KDBY,7.91,8.05,7.91,8.01,2600,20785.0
2023-03-14,KDBY,7.95,8.17,7.86,8.01,5660,45180.65
2023-03-15,KDBY,8.0,8.0,7.9,7.98,1900,15155.0
2023-03-16,KDBY,8.0,8.1,7.9,8.0,1800,14353.0
2023-03-19,KDBY,7.85,8.02,7.85,7.91,5750,45432.0
2023-03-20,KDBY,7.85,8.05,7.85,7.9,900,7120.0
2023-03-22,KDBY,7.85,8.21,7.8,8.0,4500,35756.0
2023-03-23,KDBY,7.84,8.06,7.84,7.97,3000,23820.5
2023-03-26,KDBY,7.82,8.0,7.82,7.94,2700,21405.0
2023-03-27,KDBY,7.79,8.0,7.75,7.8,3500,27404.0
2023-03-28,KDBY,7.8,8.17,7.72,8.1,12310,99855.7
2023-03-29,KDBY,7.94,8.1,7.84,8.0,2300,18454.0
2023-03-30,KDBY,7.85,7.95,7.85,7.9,2150,17007.5
2023-04-02,KDBY,7.9,8.04,7.85,8.0,7250,58004.9
2023-04-03,KDBY,7.85,8.01,7.85,7.94,2800,22086.0
2023-04-04,KDBY,7.79,7.9,7.79,7.85,1700,13323.0
2023-04-05,KDBY,7.72,8.3,7.72,8.14,8620,68575.8
2023-04-06,KDBY,8.1,8.46,8.03,8.46,2150,17701.0
2023-04-09,KDBY,8.46,8.46,7.9,7.9,5350,44626.5
2023-04-10,KDBY,7.75,8.01,7.71,8.0,3540,27848.0
2023-04-11,KDBY,7.9,8.26,7.86,8.11,6170,50265.7
2023-04-12,KDBY,7.95,8.43,7.95,8.3,2785,22825.75
2023-04-13,KDBY,8.15,8.2,8.15,8.17,4050,33070.5
2023-04-16,KDBY,8.2,8.4,8.2,8.3,5370,44480.0
2023-04-17,KDBY,8.14,8.16,7.99,8.07,4900,39481.0
2023-04-18,KDBY,8.0,8.26,7.94,8.26,3210,25729.7
2023-04-20,KDBY,8.0,8.1,8.0,8.1,2200,17690.0
2023-04-23,KDBY,7.94,8.3,7.94,8.16,7450,61069.0
2023-04-24,KDBY,8.0,8.17,7.96,8.17,3820,30913.2
2023-04-25,KDBY,8.01,8.48,8.01,8.48,11700,94734.0
2023-04-26,KDBY,8.6,8.6,8.6,8.6,100,860.0
2023-04-27,KDBY,8.43,8.46,8.14,8.2,4550,37675.5
2023-04-30,KDBY,8.04,8.2,7.92,8.1,5200,41997.0
2023-05-02,KDBY,8.0,8.27,8.0,8.11,4100,33349.0
2023-05-03,KDBY,8.11,8.11,8.0,8.01,3600,28897.0
2023-05-04,KDBY,8.02,8.2,8.02,8.2,1600,12911.0
2023-05-07,KDBY,8.04,8.27,8.04,8.13,8350,67828.5
2023-05-08,KDBY,7.99,8.0,7.99,8.0,1300,10396.0
2023-05-09,KDBY,7.84,8.06,7.84,8.06,1720,13658.6
2023-05-10,KDBY,7.91,8.32,7.91,8.16,8900,73241.0
2023-05-11,KDBY,8.03,8.15,8.03,8.05,4700,38081.0
2023-05-14,KDBY,8.06,8.1,8.0,8.0,4400,35402.0
2023-05-15,KDBY,7.85,8.1,7.85,8.1,5600,44394.0
2023-05-16,KDBY,7.94,8.1,7.8,7.95,8200,64587.0
2023-05-17,KDBY,7.92,8.1,7.92,7.97,2900,23143.0
2023-05-18,KDBY,7.92,8.17,7.92,8.12,7950,64331.0
2023-05-21,KDBY,8.1,8.3,8.0,8.2,4550,36889.0
2023-05-22,KDBY,8.05,8.36,8.05,8.12,2600,21087.0
2023-05-23,KDBY,7.98,8.15,7.96,8.15,1650,13366.0
2023-05-24,KDBY,8.15,8.34,8.02,8.18,12170,100861.3
2023-05-28,KDBY,8.02,8.67,8.02,8.32,47050,403441.0
2023-05-30,KDBY,8.23,8.66,8.22,8.25,16470,136793.0
2023-05-31,KDBY,8.25,8.3,8.15,8.16,15455,127331.2
2023-06-01,KDBY,8.0,8.24,8.0,8.08,3630,29374.5
2023-06-04,KDBY,8.0,8.36,8.0,8.22,3000,24448.0
2023-06-05,KDBY,8.06,8.22,8.06,8.2,6410,52440.0
2023-06-06,KDBY,8.04,8.26,8.04,8.2,4800,39044.0
2023-06-07,KDBY,8.05,8.43,8.05,8.28,6750,55692.0
2023-06-08,KDBY,8.28,8.35,8.12,8.35,19870,163780.0
2023-06-11,KDBY,8.51,8.51,8.19,8.28,6210,51258.1
2023-06-12,KDBY,8.25,8.46,8.25,8.45,9650,80987.5
2023-06-13,KDBY,8.3,8.54,8.3,8.52,3700,31162.5
2023-06-14,KDBY,8.38,8.55,8.38,8.5,8500,71954.0
2023-06-15,KDBY,8.33,8.48,8.33,8.33,3640,30560.2
2023-06-18,KDBY,8.19,8.69,8.19,8.69,6300,52779.0
2023-06-19,KDBY,8.52,9.19,8.4,8.84,27825,251065.0
2023-06-20,KDBY,8.84,9.0,8.69,8.73,6850,59728.0
2023-06-21,KDBY,8.56,8.56,8.53,8.56,4100,35083.0
2023-06-22,KDBY,8.4,8.55,8.4,8.49,2200,18611.0
2023-06-25,KDBY,8.41,8.65,8.41,8.46,3600,30553.0
2023-06-26,KDBY,8.6,8.84,8.6,8.7,7000,60832.0
2023-06-27,KDBY,8.7,8.89,8.7,8.74,5460,47724.5
2023-06-28,KDBY,8.76,9.0,8.61,8.67,10500,91942.0
2023-07-02,KDBY,8.84,9.22,8.67,9.05,10900,98426.5
2023-07-03,KDBY,8.87,8.99,8.54,8.83,8990,79385.8
2023-07-04,KDBY,8.7,9.02,8.7,9.02,4610,40800.7
2023-07-05,KDBY,9.0,9.02,8.81,9.0,43719,392591.7
2023-07-06,KDBY,8.85,9.18,8.82,9.18,7550,67524.0
2023-07-09,KDBY,9.0,9.3,9.0,9.25,10810,98472.2
2023-07-10,KDBY,9.16,9.25,8.98,9.0,53260,487274.0
2023-07-11,KDBY,8.82,9.18,8.82,9.16,11370,102979.2
2023-07-12,KDBY,9.0,10.07,9.0,10.07,9300,85011.5
2023-07-13,KDBY,9.87,9.87,9.68,9.68,2500,24238.0
2023-07-16,KDBY,9.68,10.04,9.68,10.04,8900,87706.2
2023-07-17,KDBY,9.84,9.84,9.03,9.2,14000,128358.5
2023-07-18,KDBY,9.02,9.38,9.02,9.33,26150,242287.6
2023-07-19,KDBY,9.15,9.34,9.15,9.34,8700,80123.0
2023-07-20,KDBY,9.18,9.36,9.18,9.21,6100,56535.0
2023-07-23,KDBY,9.05,9.57,9.05,9.45,29250,271930.0
2023-07-24,KDBY,9.27,9.3,9.07,9.12,15390,141848.0
2023-07-25,KDBY,8.95,9.2,8.95,9.16,11500,104990.0
2023-07-26,KDBY,8.99,9.25,8.98,9.16,15600,141049.0
2023-07-27,KDBY,9.0,9.34,9.0,9.3,6450,59210.5
2023-07-30,KDBY,9.18,9.57,9.18,9.38,42400,399731.0
2023-07-31,KDBY,9.2,9.38,9.03,9.34,9850,90890.0
2023-08-01,KDBY,9.16,9.36,9.16,9.19,14200,131163.0
2023-08-02,KDBY,9.06,9.25,9.06,9.13,12150,111134.5
2023-08-03,KDBY,9.0,9.2,9.0,9.15,7696,70142.48
2023-08-06,KDBY,8.98,9.18,8.98,9.06,4950,44759.8
2023-08-07,KDBY,9.0,9.13,8.9,9.13,10254,92391.68
2023-08-08,KDBY,8.95,9.0,8.79,8.93,3125,27865.5
2023-08-09,KDBY,8.93,9.0,8.82,8.9,6000,53758.0
2023-08-10,KDBY,8.74,9.25,8.51,9.11,2900,25805.0
2023-08-13,KDBY,9.0,9.1,8.83,8.86,7770,69302.1
2023-08-14,KDBY,8.7,8.9,8.61,8.67,16900,147118.0
2023-08-15,KDBY,8.56,8.77,8.56,8.61,4210,36375.0
2023-08-16,KDBY,8.56,8.8,8.49,8.8,18950,164622.5
2023-08-17,KDBY,8.63,8.63,8.47,8.53,3400,29060.0
2023-08-20,KDBY,8.53,8.53,8.39,8.49,7700,65340.0
2023-08-21,KDBY,8.35,8.5,8.26,8.26,18059,150538.33
2023-08-22,KDBY,8.11,8.58,8.11,8.35,45550,380724.5
2023-08-23,KDBY,8.22,8.38,8.22,8.33,7530,62671.9
2023-08-24,KDBY,8.17,8.49,8.17,8.35,3550,29601.5
2023-08-27,KDBY,8.19,8.36,8.19,8.32,6750,55855.5
2023-08-28,KDBY,8.48,8.64,8.31,8.48,24650,211967.0
2023-08-29,KDBY,8.32,8.64,8.32,8.64,2300,19256.0
2023-08-30,KDBY,8.64,8.71,8.47,8.6,15400,133093.0
2023-09-03,KDBY,8.43,8.61,8.43,8.61,5770,48881.6
2023-09-04,KDBY,8.44,8.44,7.94,7.94,12800,105723.0
2023-09-05,KDBY,7.8,7.95,7.8,7.95,3300,25881.0
2023-09-07,KDBY,7.8,7.82,7.8,7.82,4700,36704.0
2023-09-10,KDBY,7.67,7.8,7.56,7.66,6875,52641.0
2023-09-11,KDBY,7.6,7.8,7.58,7.69,3225,24780.75
2023-09-12,KDBY,7.61,7.85,7.61,7.71,1700,13152.0
2023-09-13,KDBY,7.66,7.88,7.65,7.74,3600,27814.5
2023-09-17,KDBY,7.8,7.9,7.66,7.9,6900,53744.5
2023-09-18,KDBY,7.75,7.9,7.75,7.83,5160,40356.0
2023-09-19,KDBY,7.68,7.85,7.68,7.74,3700,28754.0
2023-09-21,KDBY,7.7,8.1,7.7,8.1,7910,62529.6
2023-09-24,KDBY,7.95,8.26,7.75,7.9,12500,99666.0
2023-09-25,KDBY,7.76,8.05,7.76,7.96,148100,1155494.0
2023-09-26,KDBY,7.9,8.01,7.9,8.0,3300,26270.0
2023-09-27,KDBY,7.84,8.21,7.84,7.93,57470,469899.0
2023-10-01,KDBY,7.79,8.41,7.78,8.41,53509,442098.25
2023-10-02,KDBY,8.25,8.3,8.09,8.16,5750,46990.5
2023-10-03,KDBY,8.0,8.25,8.0,8.25,3230,26086.2
2023-10-04,KDBY,8.09,8.09,7.93,8.09,800,6445.0
2023-10-05,KDBY,7.93,8.02,7.8,7.9,27000,214494.25
2023-10-08,KDBY,7.75,7.95,7.75,7.91,6950,54920.5
2023-10-09,KDBY,7.84,8.02,7.84,8.0,10300,80993.0
2023-10-10,KDBY,7.84,8.32,7.84,7.95,2975,23841.0
2023-10-11,KDBY,7.8,7.9,7.8,7.9,3225,25400.5
2023-10-12,KDBY,7.9,8.05,7.78,7.85,15700,123817.75
2023-10-16,KDBY,7.7,7.72,7.55,7.65,6900,52619.0
2023-10-17,KDBY,7.51,7.77,7.51,7.66,3500,26786.0
2023-10-18,KDBY,7.52,7.85,7.52,7.7,4210,32392.2
2023-10-19,KDBY,7.55,7.81,7.55,7.81,1700,12963.0
2023-10-29,KDBY,7.66,7.66,7.6,7.61,2100,15992.0
2023-10-30,KDBY,7.46,7.5,7.32,7.47,2900,21563.0
2023-10-31,KDBY,7.47,7.5,7.43,7.44,3250,24324.0
2023-11-01,KDBY,7.32,7.5,7.32,7.5,3200,23892.0
2023-11-02,KDBY,7.41,7.46,7.41,7.46,800,5944.0
2023-11-05,KDBY,7.37,7.6,7.37,7.42,2970,22088.9
2023-11-06,KDBY,7.42,7.58,7.42,7.58,1700,12656.0
2023-11-07,KDBY,7.43,7.56,7.29,7.41,1600,11861.0
2023-11-08,KDBY,7.3,7.51,7.3,7.45,2810,20972.1
2023-11-09,KDBY,7.36,7.55,7.36,7.53,1100,8185.0
2023-11-20,KDBY,7.39,7.52,7.32,7.52,2800,20710.0
2023-11-21,KDBY,7.37,7.77,7.37,7.68,4575,34843.25
2023-11-22,KDBY,7.53,7.53,7.24,7.4,2500,18348.0
2023-11-23,KDBY,7.4,7.54,7.38,7.51,3500,25939.0
2023-11-26,KDBY,7.4,7.5,7.4,7.47,2470,18412.6
2023-11-27,KDBY,7.4,7.69,7.4,7.55,5700,43222.0
2023-11-28,KDBY,7.5,7.6,7.43,7.43,3600,26929.0
2023-11-29,KDBY,7.43,7.7,7.31,7.7,7050,52850.5
2023-11-30,KDBY,7.56,7.85,7.56,7.8,3750,29025.0
2023-12-03,KDBY,7.65,7.7,7.32,7.7,6475,49279.25
2023-12-04,KDBY,7.55,7.8,7.55,7.8,12625,97159.0
2023-12-05,KDBY,7.65,7.85,7.5,7.85,4650,35666.0
2023-12-06,KDBY,7.7,8.0,7.69,7.85,10125,80367.75
2023-12-07,KDBY,7.7,7.9,7.7,7.9,2500,19346.0
2023-12-11,KDBY,7.75,8.06,7.75,7.91,10200,81196.0
2023-12-12,KDBY,7.76,8.11,7.76,7.85,15220,119310.2
2023-12-13,KDBY,7.71,8.0,7.71,8.0,3800,29960.0
2023-12-14,KDBY,7.85,8.0,7.85,7.9,6200,48939.65
2023-12-17,KDBY,7.75,8.27,7.6,8.0,8800,69784.75
2023-12-18,KDBY,8.0,8.52,8.0,8.35,8250,67792.0
2023-12-19,KDBY,8.19,8.89,8.19,8.89,12925,108054.25
2023-12-20,KDBY,8.72,8.72,8.55,8.55,7300,63231.0
2023-12-21,KDBY,8.38,8.43,8.25,8.33,7600,63385.25
2023-12-24,KDBY,8.17,8.38,8.03,8.26,8500,69762.5
2023-12-27,KDBY,8.26,8.6,8.26,8.45,26285,223657.65
2023-12-28,KDBY,8.61,8.7,8.61,8.62,32420,279761.6
2024-01-01,KDBY,8.45,8.77,8.45,8.67,27452,237538.74
2024-01-02,KDBY,8.6,8.8,8.5,8.55,37010,318020.48
2024-01-03,KDBY,8.39,8.59,8.31,8.59,6350,53749.5
2024-01-04,KDBY,8.43,9.02,8.43,8.99,38950,345343.8
2024-01-07,KDBY,8.82,9.2,8.7,9.0,36390,329367.5
2024-01-08,KDBY,9.0,9.01,8.7,9.01,38650,345943.5
2024-01-09,KDBY,8.83,9.0,8.6,8.66,105100,943984.6
2024-01-10,KDBY,8.49,8.77,8.49,8.7,10080,87514.0
2024-01-11,KDBY,8.53,8.87,8.53,8.64,1005150,8674396.5
2024-01-14,KDBY,8.6,8.64,8.49,8.62,506230,4343286.8
2024-01-16,KDBY,8.5,8.74,8.5,8.65,12300,105998.5
2024-01-17,KDBY,8.65,9.1,8.57,9.0,1042255,9011052.95
2024-01-18,KDBY,8.82,8.82,8.33,8.62,508045,4478747.9
2024-01-21,KDBY,8.51,8.68,8.51,8.63,5700,49008.0
2024-01-22,KDBY,8.57,8.82,8.57,8.82,11020,95384.0
2024-01-23,KDBY,8.65,8.7,8.48,8.65,11300,98018.6
2024-01-24,KDBY,8.8,9.1,8.51,8.74,20000,175992.6
2024-01-25,KDBY,8.61,8.91,8.61,8.76,8750,76585.0
2024-01-28,KDBY,8.59,8.76,8.59,8.63,10100,87208.0
