BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-11-16,KLBS,303.2,303.2,303.2,303.2,20,6026.1
2022-11-22,KLBS,309.2,315.3,309.2,315.3,20,6245.0
2022-11-28,KLBS,321.6,341.1,321.6,341.1,40,13252.0
2022-11-29,KLBS,347.9,354.8,347.9,354.8,20,7027.0
2022-11-30,KLBS,361.8,369.0,361.8,369.0,20,7308.0
2022-12-04,KLBS,376.3,391.4,376.3,391.4,40,15399.6
2022-12-05,KLBS,399.2,399.2,399.2,399.2,10,3992.0
2022-12-06,KLBS,407.1,415.2,407.1,415.2,20,8223.0
2022-12-07,KLBS,423.5,440.5,423.5,440.5,30,12959.0
2022-12-11,KLBS,449.3,458.2,449.3,458.2,20,9075.0
2022-12-12,KLBS,467.3,467.3,467.3,467.3,10,4673.0
2022-12-13,KLBS,476.6,476.6,476.6,476.6,10,4766.0
2022-12-14,KLBS,486.1,505.7,486.1,505.7,30,14876.0
2022-12-15,KLBS,515.8,515.8,515.8,515.8,10,5158.0
2022-12-18,KLBS,526.1,547.3,526.1,547.3,30,16100.0
2022-12-19,KLBS,558.2,580.6,558.2,580.6,30,17081.0
2022-12-20,KLBS,592.2,604.0,592.2,604.0,20,11962.0
2022-12-21,KLBS,604.0,616.0,604.0,616.0,11,6776.0
2022-12-22,KLBS,628.3,640.8,628.3,640.8,20,12691.0
2022-12-26,KLBS,653.6,704.8,653.6,704.8,50,33983.0
2022-12-27,KLBS,718.8,762.6,718.8,762.6,41,30355.0
2022-12-28,KLBS,777.8,838.8,777.8,838.8,80,65606.0
2022-12-29,KLBS,855.5,872.6,855.5,872.6,20,17281.0
2023-01-01,KLBS,890.0,959.8,890.0,959.8,70,65475.0
2023-01-02,KLBS,959.8,1055.7,959.8,1055.7,60,60576.3
2023-01-03,KLBS,1076.8,1161.2,1076.8,1161.2,60,67193.0
2023-01-04,KLBS,1184.4,1277.3,1184.4,1277.3,840,1070446.0
2023-01-05,KLBS,1302.8,1405.0,1302.8,1405.0,4770,6524669.0
2023-01-08,KLBS,1433.1,1545.5,1433.1,1545.5,1530,2339512.0
2023-01-09,KLBS,1545.0,1700.0,1545.0,1700.0,3664,6159965.5
2023-01-10,KLBS,1734.0,1870.0,1601.0,1603.1,3595,5972661.4
2023-01-12,KLBS,1600.0,1603.0,1485.0,1486.0,3710,5673865.0
2023-01-17,KLBS,1456.3,1456.3,1381.1,1429.0,2787,3951252.0
2023-01-18,KLBS,1457.5,1457.5,1400.2,1430.0,1132,1604481.0
2023-01-19,KLBS,1402.0,1427.0,1390.0,1400.0,720,1009439.0
2023-01-23,KLBS,1374.1,1420.0,1374.1,1393.1,610,854027.0
2023-01-24,KLBS,1415.0,1415.0,1381.4,1398.0,925,1285790.5
2023-01-25,KLBS,1400.0,1415.0,1392.1,1400.0,1130,1590889.0
2023-01-26,KLBS,1386.0,1410.0,1386.0,1390.1,750,1052580.0
2023-01-29,KLBS,1370.2,1397.0,1370.0,1384.0,950,1308681.0
2023-01-30,KLBS,1357.0,1390.0,1357.0,1370.0,440,604187.0
2023-01-31,KLBS,1342.6,1342.6,1322.0,1327.0,520,692295.0
2023-02-01,KLBS,1305.0,1329.0,1305.0,1311.0,615,805843.5
2023-02-02,KLBS,1310.0,1325.0,1298.0,1305.0,671,877278.0
2023-02-05,KLBS,1300.0,1305.0,1280.1,1290.0,480,619487.0
2023-02-06,KLBS,1315.8,1315.8,1280.0,1300.0,479,620191.0
2023-02-07,KLBS,1295.0,1370.0,1285.0,1330.0,380,505993.0
2023-02-08,KLBS,1352.0,1360.0,1316.0,1316.0,430,575843.0
2023-02-09,KLBS,1291.0,1316.0,1278.0,1316.0,659,849951.9
2023-02-12,KLBS,1300.0,1389.0,1300.0,1375.0,780,1057296.0
2023-02-14,KLBS,1400.0,1400.0,1352.5,1353.0,715,987484.3
2023-02-15,KLBS,1326.0,1340.0,1326.0,1331.0,430,572726.0
2023-02-16,KLBS,1320.0,1330.0,1308.0,1308.0,430,566436.0
2023-02-20,KLBS,1282.0,1300.0,1250.0,1250.0,350,446885.0
2023-02-22,KLBS,1240.0,1264.0,1151.7,1151.9,1625,1937496.5
2023-02-23,KLBS,1128.9,1128.9,1036.8,1036.8,1300,1364766.0
2023-02-26,KLBS,1016.1,1054.0,935.0,1050.0,830,827543.0
2023-02-27,KLBS,1055.0,1085.0,1029.0,1029.0,360,379264.0
2023-02-28,KLBS,1010.0,1131.9,1010.0,1131.9,380,410020.0
2023-03-01,KLBS,1154.0,1224.0,1132.0,1162.9,460,543267.0
2023-03-02,KLBS,1139.7,1190.3,1095.0,1145.0,319,364165.0
2023-03-05,KLBS,1122.1,1122.1,1060.0,1060.0,517,564651.7
2023-03-07,KLBS,1081.0,1102.6,1059.0,1060.0,210,226124.0
2023-03-09,KLBS,1050.0,1087.0,1050.0,1067.1,120,128091.0
2023-03-12,KLBS,1048.0,1050.0,1009.0,1010.0,70,72173.0
2023-03-13,KLBS,990.1,1000.0,933.0,933.0,369,359183.0
2023-03-14,KLBS,933.0,982.2,931.0,982.2,90,85403.0
2023-03-15,KLBS,985.0,987.0,968.0,987.0,80,78301.0
2023-03-16,KLBS,967.3,968.0,948.0,960.0,178,169872.0
2023-03-19,KLBS,940.8,998.5,934.0,998.5,70,67193.0
2023-03-20,KLBS,979.0,998.0,960.0,998.0,235,228513.0
2023-03-22,KLBS,978.1,984.3,958.9,984.3,190,184494.0
2023-03-23,KLBS,969.0,970.0,913.0,925.0,163,151171.0
2023-03-26,KLBS,906.5,926.0,888.5,890.0,480,432838.0
2023-03-27,KLBS,907.8,925.0,907.8,924.0,60,55258.0
2023-03-28,KLBS,905.7,974.0,905.0,974.0,220,204608.0
2023-03-29,KLBS,956.0,956.0,931.0,931.0,100,94290.0
2023-03-30,KLBS,914.0,920.0,913.0,913.0,111,101508.0
2023-04-02,KLBS,913.0,949.0,895.0,895.0,170,158222.0
2023-04-03,KLBS,885.0,920.0,881.0,901.6,140,125180.0
2023-04-04,KLBS,884.0,890.0,867.0,890.0,80,70580.0
2023-04-05,KLBS,885.0,935.0,875.0,935.0,130,118268.0
2023-04-06,KLBS,916.3,916.3,880.1,880.1,60,53705.0
2023-04-09,KLBS,880.1,880.1,840.0,840.0,71,61158.5
2023-04-10,KLBS,835.0,835.0,823.2,823.3,81,67220.0
2023-04-11,KLBS,820.0,836.4,820.0,820.3,135,111716.5
2023-04-12,KLBS,835.0,902.3,835.0,902.3,400,358072.0
2023-04-13,KLBS,920.3,992.5,920.3,974.0,863,848389.0
2023-04-16,KLBS,954.6,970.0,937.0,970.0,250,236867.0
2023-04-17,KLBS,952.5,970.0,935.0,970.0,100,95562.0
2023-04-18,KLBS,970.0,970.0,886.0,921.0,410,374970.0
2023-04-20,KLBS,881.0,912.9,881.0,912.9,185,165631.0
2023-04-23,KLBS,894.7,894.7,870.0,885.0,80,70227.0
2023-04-24,KLBS,868.0,869.0,852.0,860.0,40,34490.0
2023-04-25,KLBS,877.0,927.5,877.0,927.5,220,197904.0
2023-04-26,KLBS,918.0,935.0,909.0,910.0,268,246218.0
2023-04-27,KLBS,892.0,927.1,892.0,915.0,160,145587.0
2023-04-30,KLBS,896.7,915.0,886.1,890.1,140,125532.0
2023-05-02,KLBS,888.0,890.0,870.8,870.8,148,130636.0
2023-05-03,KLBS,865.0,885.0,865.0,874.0,180,157414.0
2023-05-04,KLBS,868.0,909.0,868.0,909.0,70,62144.0
2023-05-07,KLBS,890.9,890.9,873.1,874.0,170,148764.0
2023-05-08,KLBS,856.6,874.1,856.6,874.1,200,171587.0
