BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-07-12,KLBSLP,889.0,889.0,889.0,889.0,1240,1102360.0
2021-07-19,KLBSLP,889.0,889.0,889.0,889.0,1859,1652651.0
2021-08-19,KLBSLP,890.0,890.0,890.0,890.0,3479,3096310.0
2021-08-24,KLBSLP,890.0,890.0,890.0,890.0,1500,1335000.0
2021-09-16,KLBSLP,890.0,890.0,890.0,890.0,10660,9487400.0
2021-10-17,KLBSLP,875.0,875.0,875.0,875.0,1500,1312500.0
2021-12-13,KLBSLP,875.0,875.0,875.0,875.0,1775,1553125.0
2021-12-21,KLBSLP,875.0,875.0,875.0,875.0,4486,3925250.0
2022-06-02,KLBSLP,671.0,671.0,671.0,671.0,32000,21472000.0
2022-06-08,KLBSLP,671.0,671.0,671.0,671.0,6396,4291716.0
2022-06-10,KLBSLP,671.0,671.0,671.0,671.0,1770,1187670.0
2022-06-14,KLBSLP,671.0,671.0,671.0,671.0,4000,2684000.0
2022-06-19,KLBSLP,671.0,671.0,671.0,671.0,5940,3985740.0
2022-06-22,KLBSLP,671.0,671.0,671.0,671.0,5000,3355000.0
2022-06-23,KLBSLP,671.0,671.0,671.0,671.0,2000,1342000.0
2022-07-03,KLBSLP,671.0,671.0,671.0,671.0,2500,1677500.0
2022-07-04,KLBSLP,671.0,671.0,671.0,671.0,40997,27508987.0
2022-07-05,KLBSLP,671.0,671.0,671.0,671.0,13700,9192700.0
2022-07-07,KLBSLP,671.0,671.0,671.0,671.0,60400,40528400.0
2022-07-12,KLBSLP,671.0,671.0,671.0,671.0,3000,2013000.0
2022-07-13,KLBSLP,671.0,671.0,671.0,671.0,22331,14984101.0
2022-07-14,KLBSLP,671.0,671.0,671.0,671.0,22000,14762000.0
2022-07-15,KLBSLP,671.0,671.0,671.0,671.0,83200,55827200.0
2022-07-17,KLBSLP,671.0,671.0,671.0,671.0,9000,6039000.0
2022-08-05,KLBSLP,671.0,671.0,671.0,671.0,23700,15902700.0
2022-08-10,KLBSLP,671.0,671.0,671.0,671.0,2000,1342000.0
2023-03-22,KLBSLP,391.0,391.0,391.0,391.0,1200,469200.0
2023-04-24,KLBSLP,391.0,391.0,391.0,391.0,1200,469200.0
2023-04-30,KLBSLP,391.0,391.0,391.0,391.0,2400,938400.0
2023-07-20,KLBSLP,384.0,384.0,384.0,384.0,1900,729600.0
2024-01-02,KLBSLP,446.0,446.0,446.0,446.0,1605,715830.0
