BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2018-10-11,KPCL,0.0,121.0,110.0,121.0,1330.0,160570.0
2018-10-14,KPCL,0.0,133.0,115.0,121.0,16907.0,2086020.0
2018-10-15,KPCL,0.0,123.0,116.0,119.0,8242.0,980588.0
2018-10-21,KPCL,0.0,120.0,115.0,120.0,2940.0,342530.0
2018-10-22,KPCL,0.0,118.0,114.0,116.0,12677.0,1460845.0
2018-10-23,KPCL,0.0,116.0,113.0,114.0,7050.0,808850.0
2018-10-24,KPCL,0.0,115.0,110.0,110.0,7911.0,881103.0
2018-10-25,KPCL,0.0,116.0,108.0,114.0,4390.0,498350.0
2018-10-28,KPCL,0.0,118.0,109.0,113.0,7500.0,847800.0
2018-10-29,KPCL,0.0,115.0,109.0,114.0,5000.0,564970.0
2018-10-30,KPCL,0.0,118.0,112.0,118.0,11750.0,1370780.0
2018-10-31,KPCL,0.0,120.0,114.0,117.0,2710.0,314830.0
2018-11-01,KPCL,0.0,118.0,114.0,116.0,2940.0,342520.0
2018-11-04,KPCL,0.0,117.0,114.0,115.0,1792.0,207130.0
2018-11-05,KPCL,0.0,115.0,112.0,113.0,2250.0,254570.0
2018-11-11,KPCL,0.0,114.0,112.0,113.0,1330.0,150130.0
2018-11-12,KPCL,0.0,114.0,112.0,112.0,1110.0,125210.0
2018-11-13,KPCL,0.0,114.0,110.0,111.0,1040.0,115980.0
2018-11-14,KPCL,0.0,116.0,109.0,113.0,1160.0,130660.0
2018-11-15,KPCL,0.0,114.0,110.0,111.0,2355.0,263085.0
2018-11-18,KPCL,0.0,113.0,109.0,110.0,1610.0,177730.0
2018-11-19,KPCL,0.0,112.0,108.0,108.0,2361.0,258090.0
2018-11-20,KPCL,0.0,110.0,107.0,107.0,780.0,84270.0
2018-11-21,KPCL,0.0,109.0,105.0,108.0,1090.0,117920.0
2018-11-22,KPCL,0.0,109.0,106.0,107.0,1200.0,128190.0
2018-11-25,KPCL,0.0,107.0,103.0,104.0,2390.0,249770.0
2018-11-26,KPCL,0.0,104.0,102.0,104.0,1010.0,104430.0
2018-11-27,KPCL,0.0,106.0,103.0,104.0,890.0,92510.0
2018-11-28,KPCL,0.0,106.0,103.0,106.0,4570.0,479610.0
2018-11-29,KPCL,0.0,106.0,102.0,103.0,610.0,63220.0
2018-12-02,KPCL,0.0,105.0,101.0,105.0,650.0,67180.0
2018-12-03,KPCL,0.0,106.0,103.0,104.0,760.0,79720.0
2018-12-04,KPCL,0.0,105.0,103.0,103.0,1420.0,147630.0
2018-12-05,KPCL,0.0,105.0,101.0,105.0,3250.0,339310.0
2018-12-06,KPCL,0.0,106.0,103.0,104.0,300.0,31220.0
2018-12-09,KPCL,0.0,104.0,102.0,103.0,250.0,25660.0
