BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2013-01-23,LBBL,0.0,123.0,101.0,101.0,20716.0,2241370.0
2013-01-24,LBBL,0.0,99.0,91.0,91.0,3930.0,360110.0
2013-01-27,LBBL,0.0,91.0,82.0,88.0,6520.0,553340.0
2013-01-28,LBBL,0.0,90.0,86.0,88.0,1790.0,156440.0
2013-01-30,LBBL,0.0,88.0,82.0,83.0,1800.0,151920.0
2013-01-31,LBBL,0.0,90.0,83.0,90.0,3948.0,343210.0
2013-02-03,LBBL,0.0,92.0,90.0,91.0,4400.0,399410.0
2013-02-04,LBBL,0.0,93.0,89.0,89.0,2130.0,191760.0
2013-02-05,LBBL,0.0,89.0,86.0,86.0,360.0,31560.0
2013-02-06,LBBL,0.0,85.0,81.0,83.0,2910.0,240090.0
2013-02-07,LBBL,0.0,84.0,82.0,82.0,1080.0,89290.0
2013-02-10,LBBL,0.0,83.0,83.0,83.0,80.0,6640.0
2013-02-12,LBBL,0.0,86.0,84.0,86.0,170.0,14430.0
2013-02-13,LBBL,0.0,85.0,83.0,83.0,870.0,73380.0
2013-02-14,LBBL,0.0,82.0,80.0,82.0,1030.0,83650.0
2013-02-19,LBBL,0.0,83.0,83.0,83.0,140.0,11620.0
2013-02-20,LBBL,0.0,87.0,84.0,87.0,1150.0,99010.0
2013-02-21,LBBL,0.0,88.0,85.0,87.0,3380.0,290020.0
2013-02-24,LBBL,0.0,87.0,86.0,87.0,2120.0,184200.0
2013-02-25,LBBL,0.0,86.0,83.0,83.0,320.0,27070.0
2013-02-26,LBBL,0.0,84.0,84.0,84.0,80.0,6720.0
2013-02-27,LBBL,0.0,85.0,80.0,80.0,2720.0,225330.0
2013-02-28,LBBL,0.0,81.0,79.0,80.0,2039.0,163410.0
2013-03-03,LBBL,0.0,84.0,80.0,83.0,4210.0,342300.0
2013-03-04,LBBL,0.0,91.0,83.0,91.0,4190.0,371680.0
2013-03-05,LBBL,0.0,97.0,92.0,94.0,5886.0,557262.0
2013-03-07,LBBL,0.0,98.0,93.0,98.0,2271.0,217786.0
2013-03-11,LBBL,0.0,107.0,99.0,107.0,8870.0,937480.0
2013-03-13,LBBL,0.0,117.0,112.0,117.0,3780.0,439580.0
2013-03-14,LBBL,0.0,128.0,119.0,128.0,14469.0,1812554.0
2013-03-17,LBBL,0.0,134.0,120.0,127.0,18780.0,2349780.0
2013-03-18,LBBL,0.0,125.0,115.0,117.0,6112.0,716864.0
2013-03-19,LBBL,0.0,121.0,115.0,121.0,2990.0,357190.0
2013-03-21,LBBL,0.0,112.0,100.0,109.0,10158.0,1090998.0
2013-12-09,LBBL,0.0,117.0,111.0,117.0,1350.0,156470.0
2013-12-10,LBBL,0.0,128.0,119.0,128.0,490.0,61310.0
2013-12-11,LBBL,0.0,140.0,130.0,140.0,13999.0,1957998.0
2013-12-12,LBBL,0.0,154.0,128.0,135.0,16078.0,2195548.0
2013-12-15,LBBL,0.0,135.0,131.0,131.0,1001.0,132431.0
2013-12-16,LBBL,0.0,138.0,132.0,138.0,2271.0,304586.0
2013-12-18,LBBL,0.0,136.0,136.0,136.0,740.0,100640.0
2013-12-19,LBBL,0.0,136.0,130.0,130.0,3630.0,479720.0
2013-12-22,LBBL,0.0,130.0,126.0,128.0,6536.0,831978.0
2013-12-23,LBBL,0.0,126.0,124.0,124.0,140.0,17440.0
2013-12-24,LBBL,0.0,122.0,119.0,119.0,3070.0,369360.0
2013-12-26,LBBL,0.0,123.0,117.0,118.0,7438.0,902108.0
2013-12-29,LBBL,0.0,116.0,107.0,114.0,8952.0,992406.0
2013-12-31,LBBL,0.0,114.0,110.0,113.0,2660.0,294940.0
2014-01-01,LBBL,0.0,113.0,108.0,108.0,3020.0,331170.0
2014-01-02,LBBL,0.0,108.0,102.0,106.0,2271.0,236494.0
2014-01-05,LBBL,0.0,108.0,102.0,105.0,7414.0,780302.0
2014-01-06,LBBL,0.0,107.0,104.0,104.0,1620.0,171080.0
2014-01-07,LBBL,0.0,113.0,102.0,103.0,5400.0,568240.0
2014-01-08,LBBL,0.0,119.0,111.0,111.0,3621.0,415827.0
2014-01-09,LBBL,0.0,116.0,112.0,113.0,5940.0,673450.0
2014-01-12,LBBL,0.0,111.0,109.0,109.0,4280.0,472790.0
2014-01-13,LBBL,0.0,109.0,105.0,107.0,2214.0,236431.0
2014-01-14,LBBL,0.0,112.0,105.0,107.0,2350.0,253700.0
2014-01-16,LBBL,0.0,108.0,105.0,105.0,1570.0,165370.0
2014-01-19,LBBL,0.0,111.0,103.0,111.0,1090.0,116770.0
2014-01-20,LBBL,0.0,115.0,108.0,110.0,3990.0,445240.0
2014-01-21,LBBL,0.0,118.0,108.0,116.0,1110.0,123980.0
2014-01-22,LBBL,0.0,123.0,110.0,123.0,9670.0,1125250.0
2014-01-23,LBBL,0.0,128.0,121.0,128.0,3071.0,380928.0
2014-01-26,LBBL,0.0,126.0,124.0,124.0,660.0,82600.0
2014-01-27,LBBL,0.0,122.0,122.0,122.0,200.0,24400.0
2014-01-28,LBBL,0.0,120.0,112.0,112.0,1910.0,218380.0
2014-01-29,LBBL,0.0,117.0,110.0,115.0,2900.0,327860.0
2014-02-02,LBBL,0.0,116.0,110.0,110.0,3160.0,354560.0
2014-02-03,LBBL,0.0,112.0,108.0,112.0,5011.0,551531.0
2014-02-04,LBBL,0.0,114.0,110.0,114.0,2090.0,234440.0
2014-02-05,LBBL,0.0,112.0,108.0,112.0,3790.0,416210.0
2014-02-06,LBBL,0.0,114.0,111.0,114.0,4570.0,514990.0
2014-02-09,LBBL,0.0,115.0,113.0,113.0,260.0,29420.0
2014-02-10,LBBL,0.0,117.0,113.0,113.0,1620.0,186430.0
2014-02-11,LBBL,0.0,115.0,111.0,111.0,4400.0,499730.0
2014-02-12,LBBL,0.0,111.0,109.0,109.0,980.0,107270.0
2014-02-13,LBBL,0.0,113.0,109.0,113.0,1670.0,184120.0
2014-02-16,LBBL,0.0,113.0,109.0,112.0,5894.0,652160.0
2014-02-17,LBBL,0.0,112.0,110.0,112.0,4510.0,501750.0
2014-02-18,LBBL,0.0,114.0,110.0,112.0,7460.0,839600.0
2014-02-20,LBBL,0.0,112.0,111.0,111.0,1070.0,119170.0
2014-02-23,LBBL,0.0,114.0,110.0,113.0,4707.0,530768.0
2014-02-24,LBBL,0.0,120.0,115.0,120.0,3907.0,460770.0
2014-02-25,LBBL,0.0,120.0,116.0,118.0,3573.0,421151.0
2014-02-26,LBBL,0.0,118.0,113.0,115.0,6648.0,766338.0
2014-03-03,LBBL,0.0,116.0,112.0,116.0,10083.0,1141582.0
2014-03-04,LBBL,0.0,117.0,111.0,117.0,2982.0,340874.0
2014-03-05,LBBL,0.0,117.0,115.0,116.0,770.0,89330.0
2014-03-06,LBBL,0.0,116.0,110.0,116.0,2409.0,273644.0
2014-03-09,LBBL,0.0,117.0,113.0,116.0,5040.0,581770.0
2014-03-10,LBBL,0.0,120.0,112.0,118.0,4390.0,503550.0
2014-03-11,LBBL,0.0,117.0,112.0,113.0,5626.0,644980.0
2014-03-12,LBBL,0.0,115.0,111.0,115.0,1310.0,147530.0
2014-03-13,LBBL,0.0,120.0,115.0,116.0,2850.0,333870.0
2014-03-17,LBBL,0.0,116.0,112.0,112.0,2041.0,232494.0
2014-03-18,LBBL,0.0,112.0,108.0,109.0,1430.0,157290.0
2014-03-19,LBBL,0.0,112.0,108.0,110.0,4966.0,545510.0
2014-03-20,LBBL,0.0,114.0,110.0,114.0,2920.0,323560.0
2014-03-23,LBBL,0.0,112.0,110.0,110.0,500.0,55040.0
2014-03-24,LBBL,0.0,111.0,108.0,110.0,1080.0,118700.0
2014-03-25,LBBL,0.0,112.0,110.0,112.0,2293.0,253230.0
2014-03-26,LBBL,0.0,112.0,111.0,111.0,1470.0,163520.0
2014-03-27,LBBL,0.0,111.0,109.0,111.0,1300.0,143320.0
2014-03-31,LBBL,0.0,110.0,110.0,110.0,2122.0,233420.0
2014-04-01,LBBL,0.0,110.0,107.0,110.0,5770.0,624490.0
2014-04-02,LBBL,0.0,114.0,109.0,112.0,1171.0,130524.0
2014-04-03,LBBL,0.0,114.0,112.0,112.0,1730.0,196640.0
2014-04-06,LBBL,0.0,111.0,110.0,111.0,280.0,30850.0
2014-04-07,LBBL,0.0,109.0,107.0,108.0,450.0,48480.0
2014-04-09,LBBL,0.0,110.0,108.0,108.0,970.0,105980.0
2014-04-10,LBBL,0.0,110.0,108.0,108.0,1820.0,199170.0
2014-04-13,LBBL,0.0,111.0,106.0,111.0,2130.0,228300.0
2014-04-15,LBBL,0.0,116.0,106.0,113.0,3440.0,390130.0
2014-04-16,LBBL,0.0,111.0,110.0,110.0,310.0,34210.0
2014-04-17,LBBL,0.0,112.0,110.0,110.0,450.0,49900.0
2014-04-20,LBBL,0.0,112.0,110.0,112.0,4697.0,519171.0
2014-04-21,LBBL,0.0,116.0,110.0,116.0,4920.0,566170.0
2014-04-22,LBBL,0.0,118.0,114.0,114.0,2710.0,313170.0
2014-04-23,LBBL,0.0,115.0,113.0,113.0,1715.0,195565.0
2014-04-27,LBBL,0.0,117.0,112.0,113.0,2670.0,306870.0
2014-04-28,LBBL,0.0,115.0,111.0,114.0,1730.0,197280.0
2014-04-29,LBBL,0.0,114.0,110.0,114.0,790.0,88100.0
